Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,"439,000","8,897,000","1,252,000","2,461,000","2,517,000","1,057,000","2,048,000","2,845,000","1,813,000","2,365,000","1,589,000","1,616,000","1,159,000","482,000","380,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-82.559%,741.722%,-38.867%,-13.497%,38.831%,-55.307%,28.886%,76.052%,56.428%,390.664%,318.158%,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"18,614,000","14,898,000","14,070,000","12,241,000","11,892,000","14,924,000","15,865,000","15,434,000","13,737,000","14,086,000","10,184,000","11,169,000","8,406,000","4,737,000","1,925,000","985,000","834,000","673,000","549,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-18,175,000","-6,001,000","-12,818,000","-9,780,000","-9,375,000","-13,867,000","-13,817,000","-12,589,000","-11,924,000","-11,721,000","-8,595,000","-9,553,000","-7,247,000","-4,255,000","-1,545,000","-985,000","-834,000","-673,000","-549,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","17,667,000","7,821,000","7,343,000","6,357,000","6,438,000","6,881,000","6,464,000","5,677,000","6,098,000","5,540,000","4,947,000","3,937,000","3,656,000","1,997,000","739,000","670,000","422,000","433,000","277,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"17,667,000","7,821,000","7,343,000","6,357,000","6,438,000","6,881,000","6,464,000","5,677,000","6,098,000","5,540,000","4,947,000","3,937,000","3,656,000","1,997,000","739,000","670,000","422,000","433,000","277,000",Financials in USD,Fiscal year is January - December
Operating Income,"-35,842,000","-13,822,000","-20,161,000","-16,137,000","-15,813,000","-20,748,000","-20,281,000","-18,266,000","-18,022,000","-17,261,000","-13,542,000","-13,490,000","-10,903,000","-6,252,000","-2,284,000","-1,655,000","-1,256,000","-1,106,000","-826,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-109,000","-97,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"7,783,000","7,863,000","5,401,000","4,379,000","4,245,000","3,240,000","2,822,000","2,201,000","1,326,000","373,000","132,000","74,000","137,000","46,000",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,245,000","-490,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-28,059,000","-5,959,000","-14,760,000","-11,758,000","-11,568,000","-17,508,000","-17,459,000","-16,065,000","-16,696,000","-16,888,000","-13,410,000","-13,416,000","-10,766,000","-6,206,000","-2,284,000","-1,655,000","-1,256,000","-2,460,000","-1,413,000",Financials in USD,Fiscal year is January - December
Net Income,"-28,059,000","-5,959,000","-14,760,000","-11,758,000","-11,568,000","-17,508,000","-17,459,000","-16,065,000","-16,696,000","-16,888,000","-13,410,000","-13,416,000","-10,766,000","-6,206,000","-2,284,000","-1,655,000","-1,256,000","-2,460,000","-1,413,000",Financials in USD,Fiscal year is January - December
