Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+7 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+7 Quarters,,
Revenue,"4,894,000","4,831,000","4,216,000","2,802,000","3,308,000","-2,481,000","5,152,000","3,268,000","2,905,000","3,231,000","3,000,000",-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),47.944%,-,-18.168%,-14.259%,13.873%,-,71.733%,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"4,894,000","4,831,000","4,216,000","2,802,000","3,308,000","-2,481,000","5,152,000","3,268,000","2,905,000","3,231,000","3,000,000",-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","12,692,000","13,037,000","10,220,000","10,610,000","10,271,000","10,230,000","10,211,000","9,384,000","9,944,000","10,111,000","9,486,000","8,724,000","8,325,000","7,934,000","6,914,000","5,682,000","5,602,000","5,044,000","4,520,000","3,979,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"22,205,000","21,136,000","22,368,000","21,778,000","20,271,000","20,551,000","19,631,000","21,060,000","20,109,000","18,358,000","18,309,000","15,802,000","14,358,000","14,095,000","9,913,000","8,904,000","8,109,000","7,968,000","7,215,000","7,089,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"34,897,000","34,173,000","32,588,000","32,388,000","30,542,000","30,781,000","29,842,000","30,444,000","30,053,000","28,469,000","27,795,000","24,526,000","22,683,000","22,029,000","16,827,000","14,586,000","13,711,000","13,012,000","11,735,000","11,068,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-30,003,000","-29,342,000","-28,372,000","-29,586,000","-27,234,000","-33,262,000","-24,690,000","-27,176,000","-27,148,000","-25,238,000","-24,795,000","-24,526,000","-22,683,000","-22,029,000","-16,827,000","-14,586,000","-13,711,000","-13,012,000","-11,735,000","-11,068,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-3,000","-1,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"3,545,000","3,695,000","2,426,000","2,587,000","2,651,000","2,567,000","2,103,000","1,479,000","995,000","544,000","104,000","36,000","44,000","34,000","6,000",-,-,"39,000","674,000","904,000",Upgrade,Financials in USD,Fiscal year is January - December
