Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"264,790,000","233,662,000","2,785,000","6,689,000","152,000","152,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),39.531%,8290.018%,-58.364%,4300.658%,0%,0%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"30,941,000","14,131,000","265,000","790,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"233,849,000","219,531,000","2,520,000","5,899,000","152,000","152,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","146,488,000","122,706,000","70,007,000","128,090,000","107,850,000","15,027,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"87,866,000","76,192,000","125,352,000","222,579,000","165,896,000","154,180,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"234,354,000","198,898,000","195,359,000","350,669,000","273,746,000","169,207,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-505,000","20,633,000","-192,839,000","-344,770,000","-273,594,000","-169,055,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-19,398,000","-12,615,000","-10,191,000","-5,638,000","-6,329,000","-5,287,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"6,018,000","5,044,000","4,695,000","2,307,000","542,000","1,471,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-13,885,000","13,062,000","-198,335,000","-348,101,000","-279,381,000","-172,871,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-13,885,000","13,062,000","-198,335,000","-348,101,000","-279,381,000","-172,871,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"479,000","390,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-14,364,000","12,672,000","-198,335,000","-348,101,000","-279,381,000","-172,871,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-14,364,000","12,672,000","-198,335,000","-348,101,000","-279,381,000","-172,871,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"144,783,026","141,955,112","135,411,258","132,222,753","115,333,693","88,368,844",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"144,783,026","148,508,465","135,411,258","132,222,753","115,333,693","88,368,844",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),3.077%,9.672%,2.411%,14.644%,30.514%,17.096%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.099,0.089,-1.465,-2.633,-2.422,-1.956,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.099,0.089,-1.465,-2.633,-2.422,-1.956,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-28,110,000","-31,413,000","-176,184,000","-296,035,000","-214,864,000","-132,937,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.194,-0.212,-1.301,-2.239,-1.863,-1.504,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,88.315%,93.952%,90.485%,88.189%,100.000%,100.000%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-0.191%,8.830%,-6924.201%,-5154.283%,-179996.053%,-111220.395%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-5.425%,5.423%,-7121.544%,-5204.081%,-183803.289%,-113730.921%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-10.616%,-13.444%,-6326.176%,-4425.699%,-141357.895%,-87458.553%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-408,000","20,844,000","-192,536,000","-344,488,000","-273,436,000","-168,955,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-0.154%,8.921%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"97,000","211,000","303,000","282,000","158,000","100,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-505,000","20,633,000","-192,839,000","-344,770,000","-273,594,000","-169,055,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-0.191%,8.830%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,2.986%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"264,790,000","233,662,000","2,785,000","6,689,000","152,000","152,000",Upgrade,Financials in USD,Fiscal year is January - December
