Fiscal Quarter,Q2 2025,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"30,000","39,000","29,000","5,000",-,"75,000","162,000","131,000","77,000",-,"1,500,000",-,-,-,-,-,-,-,-,"298,000",Upgrade,Financials in USD,Fiscal year is April - March
Revenue Growth (YoY),-,-48.000%,-82.099%,-96.183%,-,-,-89.200%,-,-,-,-,-,-,-,-,-,-,-,-,-61.746%,Upgrade,Financials in USD,Fiscal year is April - March
Cost of Revenue,"985,000","1,404,000","1,063,000","1,434,000","1,335,000","1,666,000","5,449,000","1,185,000","1,231,000","1,020,000","1,135,000","926,000","679,000","580,000","673,000","402,000","28,000",-,"-129,000","158,000",Upgrade,Financials in USD,Fiscal year is April - March
Gross Profit,"-955,000","-1,365,000","-1,034,000","-1,429,000","-1,335,000","-1,591,000","-5,287,000","-1,054,000","-1,154,000","-1,020,000","365,000","-926,000","-679,000","-580,000","-673,000","-402,000","-28,000",-,"129,000","140,000",Upgrade,Financials in USD,Fiscal year is April - March
"Selling, General & Admin","1,653,000","2,021,000","2,062,000","2,251,000","2,780,000","2,604,000","2,492,000","2,305,000","2,200,000","2,219,000","2,278,000","2,574,000","2,828,000","1,979,000","-883,000","2,090,000","8,922,000","2,786,000","-605,000","3,133,000",Upgrade,Financials in USD,Fiscal year is April - March
Operating Expenses,"1,653,000","2,021,000","2,062,000","2,251,000","2,780,000","2,604,000","2,492,000","2,305,000","2,200,000","2,219,000","2,278,000","2,574,000","2,828,000","1,979,000","-883,000","2,090,000","8,922,000","2,786,000","-605,000","3,133,000",Upgrade,Financials in USD,Fiscal year is April - March
Operating Income,"-2,608,000","-3,386,000","-3,096,000","-3,680,000","-4,115,000","-4,195,000","-7,779,000","-3,359,000","-3,354,000","-3,239,000","-1,913,000","-3,500,000","-3,507,000","-2,559,000","210,000","-2,492,000","-8,950,000","-2,786,000","734,000","-2,993,000",Upgrade,Financials in USD,Fiscal year is April - March
Interest & Investment Income,"59,000","44,000","51,000","76,000","121,000","157,000","177,000","143,000","103,000","31,000","2,000","2,000","2,000","2,000","2,000","1,000","4,000","8,000","87,000","127,000",Upgrade,Financials in USD,Fiscal year is April - March
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,-,-,-,"25,000",-,-,"1,000","5,000","81,000","1,187,000",Upgrade,Financials in USD,Fiscal year is April - March
