Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020",,
Revenue,"4,172,000","7,614,000","3,801,000","4,822,000","5,477,000","6,946,000","16,919,000","35,345,000","6,910,000","7,199,000","9,623,000","15,280,000","6,277,000","5,585,000","6,595,500","13,328,000","4,987,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-23.827%,9.617%,-77.534%,-86.357%,-20.738%,-3.514%,75.818%,131.315%,10.084%,28.899%,45.903%,14.646%,25.867%,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"4,172,000","7,614,000","3,801,000","4,822,000","5,477,000","6,946,000","16,919,000","35,345,000","6,910,000","7,199,000","9,623,000","15,280,000","6,277,000","5,585,000","6,595,500","13,328,000","4,987,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","8,397,000","7,965,000","8,337,000","9,120,000","9,677,000","8,738,000","8,195,000","10,489,000","7,035,000","5,003,000","4,112,000","6,571,000","3,697,000","4,821,000","4,453,000","3,241,000","2,608,000",Financials in USD,Fiscal year is January - December
Research & Development,"12,000,000","13,935,000","14,551,000","13,515,000","12,701,000","14,133,000","13,759,000","12,636,000","11,736,000","11,484,000","10,772,000","8,798,000","9,925,000","8,941,000","9,141,000","7,353,000","7,542,000",Financials in USD,Fiscal year is January - December
Other Operating Expenses,"146,000",-,"54,000","-480,000","16,000",-,"49,000",-,-,-,-,-,"-817,000",-,-,-,"170,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"23,936,000","26,443,000","26,354,000","25,562,000","25,792,000","26,251,000","25,372,000","26,401,000","22,027,000","19,600,000","18,289,000","18,597,000","16,083,000","16,993,000","16,825,000","13,824,000","13,290,000",Financials in USD,Fiscal year is January - December
Operating Income,"-19,764,000","-18,829,000","-22,553,000","-20,740,000","-20,315,000","-19,305,000","-8,453,000","8,944,000","-15,117,000","-12,401,000","-8,666,000","-3,317,000","-9,806,000","-11,408,000","-10,229,500","-496,000","-8,303,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,"-1,000",-,-,"-3,000","-5,000",-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"691,000","785,000","975,000","1,181,000","1,265,000","1,285,000","1,324,000","587,000",-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-8,000","-9,000",-,"-3,000","8,000","-4,000",-,-,-,-,-,"1,000",-,-,-,"5,000",-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-19,081,000","-18,053,000","-21,578,000","-19,562,000","-19,042,000","-18,024,000","-7,129,000","9,531,000","-15,117,000","-12,401,000","-8,666,000","-3,317,000","-9,806,000","-11,408,000","-10,232,500","-496,000","-8,303,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,"1,265,000",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,"2,524,000",-,"-466,000",-,"-140,000",-,"106,000","208,000","-165,000","443,000","-1,756,000",-,"764,000","-135,500","-1,900,000",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-19,081,000","-15,529,000","-21,578,000","-20,028,000","-19,042,000","-18,164,000","-7,129,000","9,637,000","-14,909,000","-12,566,000","-8,223,000","-3,808,000","-9,806,000","-10,644,000","-10,368,000","-2,396,000","-8,303,000",Financials in USD,Fiscal year is January - December
