Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"1,957,500","385,896","334,617","686,535","397,060","837,159","978,052","743,726","879,597","658,553","648,427","313,290","692,929","937,092","460,520","345,917","416,361","524,271","315,372","433,168",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),392.999%,-53.904%,-65.787%,-7.690%,-54.859%,27.121%,50.835%,137.392%,26.939%,-29.724%,40.803%,-9.432%,66.425%,78.742%,46.024%,-20.143%,-8.393%,34.128%,-21.652%,-36.936%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"395,894","301,956","143,955","350,118","105,869","792,944","726,918","704,491","602,847","411,109","404,746","331,628","392,544","829,504","390,762","255,580","266,929","624,240","278,182","424,767",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"1,561,606","83,940","190,662","336,417","291,191","44,215","251,134","39,235","276,750","247,444","243,681","-18,338","300,385","107,588","69,758","90,337","149,432","-99,969","37,190","8,401",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,297,984","1,607,756","1,788,594","1,652,043","1,282,361","1,402,569","1,480,040","1,668,343","1,383,433","1,714,029","1,655,700","1,703,159","1,692,837","1,747,614","1,554,007","1,312,682","1,643,493","1,475,232","1,653,392","1,164,981",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"460,241","515,629","522,723","852,797","716,351","917,552","810,566","584,120","743,585","1,830,798","1,342,862","2,473,482","1,901,548","2,209,242","1,808,098","1,010,451","986,054","1,116,163","755,453","776,732",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"112,433","74,955",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"1,758,225","2,123,385","2,311,317","2,504,840","1,998,712","2,320,121","2,290,606","2,252,463","2,127,018","3,544,827","2,998,562","4,176,641","3,594,385","3,956,856","3,362,105","2,323,133","2,741,980","2,666,350","2,408,845","1,941,713",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-196,619","-2,039,445","-2,120,655","-2,168,423","-1,707,521","-2,275,906","-2,039,472","-2,213,228","-1,850,268","-3,297,383","-2,754,881","-4,194,979","-3,294,000","-3,849,268","-3,292,347","-2,232,796","-2,592,548","-2,766,319","-2,371,655","-1,933,312",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-128,177","-141,103","-32,458",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
