Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+1 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+1 Quarters,,
Revenue,"288,000","180,000","3,150,000","8,587,000","7,031,000","11,552,000","5,836,000","4,924,000","6,844,000","5,420,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-90.857%,-97.904%,-55.198%,-25.667%,20.476%,134.606%,-14.728%,-9.151%,56.006%,-65.633%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"38,928,000","43,089,000","53,146,000","67,854,000","84,579,000","-48,330,000","48,330,000","43,609,000","38,250,000","40,341,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-38,640,000","-42,909,000","-49,996,000","-59,267,000","-77,548,000","59,882,000","-42,494,000","-38,685,000","-31,406,000","-34,921,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","27,758,000","27,129,000","26,166,000","37,347,000","23,644,000","31,613,000","25,586,000","28,064,000","21,376,000","30,162,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-,"110,471,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"27,758,000","27,129,000","26,166,000","37,347,000","23,644,000","142,084,000","25,586,000","28,064,000","21,376,000","30,162,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-66,398,000","-70,038,000","-76,162,000","-96,614,000","-101,192,000","-82,202,000","-68,080,000","-66,749,000","-52,782,000","-65,083,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-11,554,000","-8,500,000","-4,988,000","-1,991,000","-1,962,000","-2,004,000","-2,710,000","-1,733,000","-1,213,000","-1,930,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"11,732,000","8,281,000","7,731,000","5,169,000","630,000","95,000","119,000","151,000","1,032,000","1,979,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,"8,255,000","-22,316,000","-11,369,000","-12,427,000","-15,322,000","4,405,000","-78,108,000","-26,846,000","-7,271,000","30,791,000",Upgrade,Financials in USD,Fiscal year is January - December
