Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,-,-,-,"281,000","117,000","253,000",-,-,-,-,-,-,"1,862,000","443,000","511,000","738,000","1,368,000","2,924,000","386,000","475,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,-,-,-,-,-,-,-,-,36.111%,-84.850%,32.383%,55.368%,125.000%,210.733%,45.660%,-22.512%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"2,053,000","1,909,000","1,433,000","1,769,000","1,178,000","1,552,000","1,047,000","612,000","799,000","1,094,000","836,000",-,"1,855,000","1,764,000","2,009,000","2,136,000","2,807,000","2,183,000","2,923,000","2,681,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-2,053,000","-1,909,000","-1,433,000","-1,488,000","-1,061,000","-1,299,000","-1,047,000","-612,000","-799,000","-1,094,000","-836,000",-,"7,000","-1,321,000","-1,498,000","-1,398,000","-1,439,000","741,000","-2,537,000","-2,206,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,696,000","2,361,000","2,804,000","2,795,000","2,248,000","2,670,000","4,281,000","5,227,000","3,724,000","3,960,000","4,100,000",-,"8,640,000","8,694,000","7,644,000","7,846,000","7,598,000","7,575,000","13,311,000","12,786,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"1,696,000","2,361,000","2,804,000","2,795,000","2,248,000","2,670,000","4,281,000","5,227,000","3,724,000","3,960,000","4,100,000",-,"8,640,000","8,694,000","7,644,000","7,846,000","7,598,000","7,575,000","13,311,000","12,786,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-3,749,000","-4,270,000","-4,237,000","-4,283,000","-3,309,000","-3,969,000","-5,328,000","-5,839,000","-4,523,000","-5,054,000","-4,936,000",-,"-8,633,000","-10,015,000","-9,142,000","-9,244,000","-9,037,000","-6,834,000","-15,848,000","-14,992,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,"-213,000","-181,000",-,-,"-15,000","-119,000","-188,000","-245,000","-293,000","-390,000",-,"-538,000","-614,000","-672,000","-754,000","-824,000","-872,000","-855,000","-831,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"155,000","201,000","220,000","6,191,000","187,000","858,000","200,000","137,000","140,000","514,000","711,000",-,"777,000","799,000","793,000","428,000","846,000","949,000","1,087,000","1,837,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"241,000","455,000","244,000","-6,418,000","1,706,000","-1,299,000","5,311,000",-,-,-,-,-,"19,000","-16,000","65,000","652,000","85,000","155,000","-309,000","-437,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-3,353,000","-3,827,000","-3,954,000","-4,510,000","-1,416,000","-4,425,000","64,000","-5,890,000","-4,628,000","-4,833,000","-4,615,000",-,"-8,375,000","-9,846,000","-8,956,000","-8,918,000","-8,930,000","-6,602,000","-15,925,000","-14,423,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,-,-,"-47,000",-,"-4,901,000",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,"84,052,000",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-3,353,000","-3,827,000","-3,954,000","-4,510,000","-1,416,000","-4,425,000","64,000","-5,937,000","-4,628,000","74,318,000","-4,615,000",-,"-8,375,000","-9,846,000","-8,956,000","-8,918,000","-8,930,000","-6,602,000","-15,925,000","-14,423,000",Upgrade,Financials in USD,Fiscal year is January - December
