Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+3 Quarters,,
Revenue,"186,038,000","172,814,000","154,615,000","168,412,000","160,268,000","134,216,000","119,126,000","128,308,000","117,206,000","107,028,000","85,313,000","91,213,000","80,732,000","73,821,000","59,674,000","56,288,000","45,609,000","38,005,000","19,840,000","5,995,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),16.079%,28.758%,29.791%,31.256%,36.740%,25.403%,39.634%,40.669%,45.179%,44.983%,42.965%,62.047%,77.009%,94.240%,200.776%,838.916%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"42,778,000","32,144,000","27,484,000","43,152,000","32,296,000","25,008,000","20,780,000","26,885,000","22,959,000","18,921,000","14,716,000","17,817,000","14,604,000","12,687,000","10,409,000","9,918,000","7,890,000","6,456,000","3,474,000","1,577,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"143,260,000","140,670,000","127,131,000","125,260,000","127,972,000","109,208,000","98,346,000","101,423,000","94,247,000","88,107,000","70,597,000","73,396,000","66,128,000","61,134,000","49,265,000","46,370,000","37,719,000","31,549,000","16,366,000","4,418,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","56,163,000","55,731,000","52,909,000","54,758,000","45,964,000","47,337,000","44,634,000","43,718,000","41,798,000","42,323,000","35,463,000","37,314,000","33,336,000","31,324,000","30,053,000","30,993,000","23,109,000","20,071,000","22,544,000","27,369,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"25,387,000","63,583,000","22,189,000","30,306,000","17,499,000","14,969,000","13,289,000","10,092,000","40,548,000","12,668,000","7,578,000","7,451,000","11,739,000","6,498,000","4,679,000","7,619,000","4,230,000","4,169,000","3,431,000","7,276,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"81,550,000","119,314,000","75,098,000","85,064,000","63,463,000","62,306,000","57,923,000","53,810,000","82,346,000","54,991,000","43,041,000","44,765,000","45,075,000","37,822,000","34,732,000","38,612,000","27,339,000","24,240,000","25,975,000","34,645,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"61,710,000","21,356,000","52,033,000","40,196,000","64,509,000","46,902,000","40,423,000","47,613,000","11,901,000","33,116,000","27,556,000","28,631,000","21,053,000","23,312,000","14,533,000","7,758,000","10,380,000","7,309,000","-9,609,000","-30,227,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-4,348,000","-4,404,000","-4,535,000","-4,862,000","-7,012,000","-6,218,000","-5,731,000","-5,564,000","-4,818,000","-4,177,000","-4,169,000","-4,410,000","-5,429,000","-7,227,000","-7,127,000","-7,966,000","-6,946,000","-6,936,000","-6,372,000","-2,747,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"4,932,000","4,705,000","4,428,000","6,193,000","4,106,000","3,442,000","3,086,000","1,981,000","828,000","250,000",-,"223,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-124,000","37,000","-141,000","193,000","-5,000","-31,000","2,000","73,000","56,000","42,000","-2,000","31,000",-,"4,000","-20,000",-,"-1,525,000","-400,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"62,170,000","21,694,000","51,785,000","41,720,000","61,598,000","44,095,000","37,780,000","44,103,000","7,967,000","29,231,000","23,385,000","24,475,000","15,624,000","16,089,000","7,386,000","-208,000","1,909,000","-27,000","-15,981,000","-32,974,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"-2,031,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-3,466,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,"-9,766,000",-,-,-,-,-,-,-,"-26,146,000",-,-,-,-,-,"-22,639,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"62,170,000","21,694,000","51,785,000","39,689,000","51,832,000","44,095,000","37,780,000","44,103,000","7,967,000","29,231,000","23,385,000","24,475,000","-10,522,000","16,089,000","7,386,000","-208,000","1,909,000","-27,000","-38,620,000","-36,440,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"16,077,000","10,103,000","13,451,000","13,082,000","13,371,000","9,795,000","8,295,000","-4,406,000","-79,976,000","5,700,000","1,900,000","1,761,000","-902,000","1,972,000",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"46,093,000","11,591,000","38,334,000","26,607,000","38,461,000","34,300,000","29,485,000","48,509,000","87,943,000","23,531,000","21,485,000","22,714,000","-9,620,000","14,117,000","7,386,000","-208,000","1,909,000","-27,000","-38,620,000","-36,440,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,013,000","10,446,000","10,445,000","9,575,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"46,093,000","11,591,000","38,334,000","26,607,000","38,461,000","34,300,000","29,485,000","48,509,000","87,943,000","23,531,000","21,485,000","22,714,000","-9,620,000","14,117,000","7,386,000","-208,000","-4,104,000","-10,473,000","-49,065,000","-46,015,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,19.843%,-66.207%,30.012%,-45.150%,-56.266%,45.765%,37.235%,113.564%,-,66.686%,190.888%,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"56,870,234","56,802,357","56,771,251","58,320,400","59,863,102","59,974,123","59,732,157","59,478,933","59,234,720","59,063,358","58,908,526","58,550,657","57,722,163","56,940,840","56,891,451","56,889,460","30,212,959","7,805,848","7,790,667","7,778,464",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"58,103,963","57,541,696","57,597,627","58,853,292","60,681,676","60,743,953","61,221,511","61,620,712","61,207,625","60,922,672","60,586,875","60,314,395","57,722,163","58,592,876","58,805,285","56,889,460","30,212,959","7,805,848","7,790,667","7,778,464",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),-4.248%,-5.272%,-5.919%,-4.491%,-0.859%,-0.293%,1.047%,2.166%,6.038%,3.976%,3.030%,6.020%,91.051%,650.628%,654.817%,631.371%,288.486%,0.370%,0.174%,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),0.810,0.204,0.675,0.456,0.642,0.572,0.494,0.816,1.485,0.398,0.365,0.388,-0.167,0.248,0.130,-0.004,-0.136,-1.342,-6.298,-5.916,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),0.790,0.200,0.670,0.447,0.630,0.560,0.480,0.789,1.440,0.390,0.350,0.374,-0.170,0.240,0.130,-0.006,-0.140,-1.342,-6.300,-5.920,Upgrade,Financials in USD,Fiscal year is January - December
EPS Growth,25.397%,-64.286%,39.583%,-43.413%,-56.250%,43.590%,37.143%,110.851%,-,62.500%,169.591%,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"70,498,000","41,985,000","31,136,000","76,558,000","63,100,000","36,858,000","42,559,000","26,678,000","55,119,000","33,690,000","28,807,000","37,533,000","30,331,000","17,869,000","12,526,000","10,047,000","8,838,000","4,830,000","-26,702,000","-24,023,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,1.213,0.730,0.541,1.301,1.040,0.607,0.695,0.433,0.901,0.553,0.475,0.622,0.525,0.305,0.213,0.177,0.293,0.619,-3.427,-3.088,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,77.006%,81.400%,82.224%,74.377%,79.849%,81.367%,82.556%,79.046%,80.411%,82.321%,82.751%,80.467%,81.910%,82.814%,82.557%,82.380%,82.701%,83.013%,82.490%,73.695%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,33.171%,12.358%,33.653%,23.868%,40.251%,34.945%,33.933%,37.108%,10.154%,30.941%,32.300%,31.389%,26.078%,31.579%,24.354%,13.783%,22.759%,19.232%,-48.432%,-504.204%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,24.776%,6.707%,24.793%,15.799%,23.998%,25.556%,24.751%,37.807%,75.033%,21.986%,25.184%,24.902%,-11.916%,19.123%,12.377%,-0.370%,-8.998%,-27.557%,-247.303%,-767.556%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,37.894%,24.295%,20.138%,45.459%,39.372%,27.462%,35.726%,20.792%,47.027%,31.478%,33.766%,41.149%,37.570%,24.206%,20.991%,17.849%,19.378%,12.709%,-134.587%,-400.717%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"67,678,000","27,408,000","58,157,000","46,321,000","70,615,000","52,966,000","46,487,000","53,681,000","17,964,000","39,171,000","32,755,000","33,391,000","25,725,000","28,041,000","19,212,000","12,141,000","12,347,000","9,313,000","-7,726,000","-28,282,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,36.379%,15.860%,37.614%,27.505%,44.060%,39.463%,39.023%,41.838%,15.327%,36.599%,38.394%,36.608%,31.865%,37.985%,32.195%,21.569%,27.071%,24.505%,-38.941%,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"5,968,000","6,052,000","6,124,000","6,125,000","6,106,000","6,064,000","6,064,000","6,068,000","6,063,000","6,055,000","5,199,000","4,760,000","4,672,000","4,729,000","4,679,000","4,383,000","1,967,000","2,004,000","1,883,000","1,945,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"61,710,000","21,356,000","52,033,000","40,196,000","64,509,000","46,902,000","40,423,000","47,613,000","11,901,000","33,116,000","27,556,000","28,631,000","21,053,000","23,312,000","14,533,000","7,758,000","10,380,000","7,309,000","-9,609,000","-30,227,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,33.171%,12.358%,33.653%,23.868%,40.251%,34.945%,33.933%,37.108%,10.154%,30.941%,32.300%,31.389%,26.078%,31.579%,24.354%,13.783%,22.759%,19.232%,-48.432%,-,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,25.860%,46.570%,25.975%,32.961%,25.797%,22.213%,21.956%,-,-,19.500%,8.125%,7.195%,-,12.257%,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Advertising Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,454,000",-,Upgrade,Financials in USD,Fiscal year is January - December
