Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
"Selling, General & Admin","3,361,000","7,078,000","11,556,000","6,033,000","1,288,000","960,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"12,013,000","18,381,000","16,977,000","6,334,000","4,684,000","5,818,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"15,374,000","25,459,000","28,533,000","12,367,000","5,972,000","6,778,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-15,374,000","-25,459,000","-28,533,000","-12,367,000","-5,972,000","-6,778,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-111,000",-,"-2,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"989,000","1,252,000","960,000",-,"38,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-14,000","-14,000","-607,000",-,"-17,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-14,399,000","-24,221,000","-28,180,000","-12,478,000","-5,951,000","-6,780,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,"-534,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-14,399,000","-24,221,000","-27,646,000","-12,478,000","-5,951,000","-6,780,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-14,399,000","-24,221,000","-27,646,000","-12,478,000","-5,951,000","-6,780,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"14,769,203","11,749,943","11,379,464","10,373,433","6,837,775",-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"14,769,203","11,749,943","11,379,464","10,373,433","6,837,775",-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),30.606%,3.256%,9.698%,51.708%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.975,-2.061,-2.429,-1.203,-0.870,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.975,-2.061,-2.429,-1.203,-0.870,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,-,"-23,614,000","-20,438,000","-12,613,000","-5,280,000","-6,629,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-,-2.010,-1.796,-1.216,-0.772,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-15,307,750","-25,392,000","-28,475,000","-12,333,000","-5,948,000","-6,758,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"66,250","67,000","58,000","34,000","24,000","20,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-15,374,000","-25,459,000","-28,533,000","-12,367,000","-5,972,000","-6,778,000",Upgrade,Financials in USD,Fiscal year is January - December
