Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"815,746","18,111,491","9,292,724","10,175,258","700,913","480,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-96.401%,94.900%,-8.673%,1351.715%,46.024%,-68.236%,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"815,746","18,111,491","9,292,724","10,175,258","700,913","480,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","7,813,115","8,686,357","11,908,596","14,439,962","10,314,536","3,613,712",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"30,060,751","36,625,632","81,304,811","68,099,385","33,538,035","16,035,938",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,"-65,402","-3,480,632",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"37,808,464","41,831,357","93,213,407","82,539,347","43,852,571","19,649,650",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-36,992,718","-23,719,866","-83,920,683","-72,364,089","-43,151,658","-19,169,650",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-962,641","-1,107,820","-693,323","-363,762","-202,165","-138,096",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"4,340,673","4,283,085","377,501","76,166","629,288","922,680",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-457,981","1,446,202","2,555,325","-603,459","-644,693","21,867",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,603,047","1,843,437","2,168,388","1,778,822","971,949","1,930,891",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-32,469,620","-17,254,962","-79,512,792","-71,476,322","-42,397,279","-16,432,308",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-620,340","1,691,408","459,055","1,701,613",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-31,849,280","-18,946,370","-79,971,847","-73,177,935","-42,397,279","-16,432,308",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,"28,553","248,113","246,184",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-31,849,280","-18,946,370","-79,971,847","-73,206,488","-42,645,392","-16,678,492",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"44,033,330","43,790,024","43,308,067","40,025,607","12,760,558","12,142,586",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"44,033,330","43,790,024","43,308,067","40,025,607","12,760,558","12,142,586",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),1.607%,1.113%,8.201%,213.667%,5.089%,0.126%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.723,-0.433,-1.847,-1.829,-3.342,-1.374,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.725,-0.438,-1.850,-1.829,-3.342,-1.375,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-28,467,875","-28,539,851","-49,302,625","-45,924,545","-29,464,919","-18,305,385",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.647,-0.652,-1.138,-1.147,-2.309,-1.508,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-4534.833%,-130.966%,-903.079%,-711.177%,-6156.493%,-3993.677%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-3904.313%,-104.610%,-860.586%,-719.456%,-6084.263%,-3474.686%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-3489.796%,-157.579%,-530.551%,-451.335%,-4203.791%,-3813.622%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-36,131,066","-22,739,813","-82,774,688","-71,239,057","-42,293,250","-18,352,964",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-125.555%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"861,652","980,053","1,145,995","1,125,032","858,408","816,686",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-36,992,718","-23,719,866","-83,920,683","-72,364,089","-43,151,658","-19,169,650",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-130.966%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
