Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+7 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+7 Quarters,,
Revenue,"2,973,000",-,"966,000","1,528,000","1,225,000","980,000","796,000","1,051,000","1,338,000","1,883,000","1,236,000","989,000","1,251,000","1,168,000","1,066,000","504,000","288,000","31,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),142.694%,-,21.357%,45.385%,-8.445%,-47.955%,-35.599%,6.269%,6.954%,61.216%,15.947%,96.230%,334.375%,3667.742%,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"323,000","8,475,000","8,016,000","7,928,000","144,000","8,259,000","9,604,000","9,569,000","8,400,000","9,020,000","8,028,000","4,814,000","5,626,000","5,225,000","4,350,000","4,980,000","4,066,000","2,648,000","2,750,000","168,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"2,650,000","-8,475,000","-7,050,000","-6,400,000","1,081,000","-7,279,000","-8,808,000","-8,518,000","-7,062,000","-7,137,000","-6,792,000","-3,825,000","-4,375,000","-4,057,000","-3,284,000","-4,476,000","-3,778,000","-2,617,000","-2,750,000","-168,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,244,000","3,439,000","3,178,000","3,179,000","3,583,000","2,350,000","2,538,000","1,810,000","1,561,000","2,083,000","1,983,000","2,223,000","1,768,000","2,139,000","2,151,000","1,977,000","1,845,000","1,973,000","2,171,000","3,545,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"9,162,000",-,-,-,"7,834,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"12,406,000","3,439,000","3,178,000","3,179,000","11,417,000","2,350,000","2,538,000","1,810,000","1,561,000","2,083,000","1,983,000","2,223,000","1,768,000","2,139,000","2,151,000","1,977,000","1,845,000","1,973,000","2,171,000","3,545,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-9,756,000","-11,914,000","-10,228,000","-9,579,000","-10,336,000","-9,629,000","-11,346,000","-10,328,000","-8,623,000","-9,220,000","-8,775,000","-6,048,000","-6,143,000","-6,196,000","-5,435,000","-6,453,000","-5,623,000","-4,590,000","-4,921,000","-3,713,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-2,923,000","-2,718,000","-1,820,000","-1,450,000","-1,176,000",-,-,-,-,-,-,-,"-2,000",-,"-62,000","-177,000","-150,000","-142,000","-159,000","-205,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"294,000","221,000","52,000","68,000","47,000","46,000","18,000","14,000","9,000","5,000","1,000","1,000",-,"2,000","2,000",-,"4,000","22,000","2,000","7,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,000",-,-,-,"-12,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-12,385,000","-14,411,000","-11,996,000","-10,961,000","-11,465,000","-9,583,000","-11,328,000","-10,314,000","-8,614,000","-9,215,000","-8,774,000","-6,047,000","-6,145,000","-6,194,000","-5,495,000","-6,624,000","-5,769,000","-4,710,000","-5,078,000","-3,923,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-663,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"6,904,000","23,397,000","-13,025,000","-8,886,000","-19,696,000","6,036,000","-3,162,000",-,-,-,-,-,"726,000",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-5,481,000","8,986,000","-25,021,000","-19,847,000","-31,161,000","-3,547,000","-14,490,000","-10,314,000","-8,614,000","-9,215,000","-8,774,000","-6,047,000","-5,419,000","-6,194,000","-5,495,000","-6,624,000","-5,769,000","-4,710,000","-5,078,000","-4,586,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-5,481,000","8,986,000","-25,021,000","-19,847,000","-31,161,000","-3,547,000","-14,490,000","-10,314,000","-8,614,000","-9,215,000","-8,774,000","-6,047,000","-5,419,000","-6,194,000","-5,495,000","-6,624,000","-5,769,000","-4,710,000","-5,078,000","-4,586,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-5,481,000","8,986,000","-25,021,000","-19,847,000","-31,161,000","-3,547,000","-14,490,000","-10,314,000","-8,614,000","-9,215,000","-8,774,000","-6,047,000","-5,419,000","-6,194,000","-5,495,000","-6,624,000","-5,769,000","-4,710,000","-5,078,000","-4,586,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"36,180,124","36,154,521","36,124,980","36,100,869","36,086,990","36,068,130","36,045,040","36,045,040","36,038,686","35,999,642","28,996,499","26,303,081","24,820,233","24,762,818","20,458,355","18,422,821","18,394,614","18,347,051","10,451,746","9,579,265",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"36,180,124","58,246,626","36,124,980","36,100,869","36,086,990","56,544,698","36,045,040","36,045,040","36,038,686","35,999,642","28,996,499","26,303,081","24,820,233","24,762,818","20,458,355","18,422,821","18,394,614","18,347,051","10,451,746","9,579,265",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.258%,3.010%,0.222%,0.155%,0.134%,57.070%,24.308%,37.037%,45.199%,45.378%,41.734%,42.774%,34.932%,34.969%,95.741%,92.320%,92.560%,137.626%,124.635%,105.883%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.151,0.249,-0.693,-0.550,-0.863,-0.098,-0.402,-0.286,-0.239,-0.256,-0.303,-0.230,-0.218,-0.250,-0.269,-0.360,-0.314,-0.257,-0.486,-0.479,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.151,-0.247,-0.693,-0.550,-0.863,-0.169,-0.402,-0.289,-0.239,-0.260,-0.303,-0.230,-0.218,-0.250,-0.269,-0.360,-0.314,-0.257,-0.486,-0.480,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-9,203,000","-11,543,000","-10,834,000","-10,506,000","-13,199,000","-12,282,000","-19,580,000","-10,030,000","-11,627,000","-9,284,000","-3,751,000","-8,826,000","-5,546,000","-4,734,000","-5,773,000","-6,668,000","-3,961,000","-4,129,000","-4,336,000","-2,750,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.254,-0.198,-0.300,-0.291,-0.366,-0.217,-0.543,-0.278,-0.323,-0.258,-0.129,-0.336,-0.223,-0.191,-0.282,-0.362,-0.215,-0.225,-0.415,-0.287,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,89.135%,-,-,-,88.245%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-328.153%,-,-1058.799%,-626.898%,-843.755%,-982.551%,-1425.377%,-982.683%,-644.469%,-489.644%,-709.951%,-611.527%,-491.047%,-530.479%,-509.850%,-1280.357%,-1952.431%,-14806.452%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
