Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,"773,000","468,000","548,000","63,000","150,000","217,000","279,000","121,000","265,000","466,000","370,000","209,000","232,000","489,000","376,000","1,180,000","1,865,000","876,000","1,708,000","1,843,257",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),415.333%,115.668%,96.416%,-47.934%,-43.396%,-53.433%,-24.595%,-42.105%,14.224%,-4.703%,-1.596%,-82.288%,-87.560%,-44.178%,-77.986%,-35.983%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"91,000","124,000","219,000","65,000","96,000","124,000","203,000","176,000","173,000","306,000","205,000","140,000","68,000","281,000","227,000","651,000","1,492,000","764,000","896,000","1,236,024",Financials in USD,Fiscal year is January - December
Gross Profit,"682,000","344,000","329,000","-2,000","54,000","93,000","76,000","-55,000","92,000","160,000","165,000","69,000","164,000","208,000","149,000","529,000","373,000","112,000","812,000","607,233",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,125,000","2,122,000","2,200,000","3,282,000","3,372,000","3,518,000","2,012,000","1,923,000","2,319,000","2,661,000","2,267,000","2,368,000","3,021,000","3,310,000","2,257,000","761,000","746,000","696,000","736,000","738,701",Financials in USD,Fiscal year is January - December
Research & Development,"2,206,000","1,722,000","2,219,000","2,156,000","1,843,000","2,287,000","2,780,000","3,263,000","2,960,000","1,720,000","1,292,000","1,733,000","2,048,000","1,960,000","1,350,000","1,151,000","585,000","642,000","289,000","342,567",Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,-,"-23,000",-,-,-,"-306,000",-,-,-,"-58,000",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"5,331,000","3,844,000","4,419,000","5,415,000","5,215,000","5,805,000","4,792,000","4,880,000","5,279,000","4,381,000","3,559,000","4,043,000","5,069,000","5,270,000","3,607,000","1,912,000","1,331,000","1,338,000","1,025,000","1,081,268",Financials in USD,Fiscal year is January - December
Operating Income,"-4,649,000","-3,500,000","-4,090,000","-5,417,000","-5,161,000","-5,712,000","-4,716,000","-4,935,000","-5,187,000","-4,221,000","-3,394,000","-3,974,000","-4,905,000","-5,062,000","-3,458,000","-1,383,000","-958,000","-1,226,000","-213,000","-474,035",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-204,000",-,-,-,-,-,-,-,"-1,000","-1,000","-2,000",-,"-3,000","-4,000",-,-,-65,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"230,000",-,-,-,-,-,-,-,-,-,-,"52,000",-,-,-,-,-,-,-,406,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,-,-,-,"27,000",-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,"87,000","32,000","213,000","55,000",-,"-31,000","451,000","-57,000","-5,000","-16,000","-146,000","51,000","54,000","30,000","30,000","24,000","10,000",-,-1,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-4,419,000","-3,413,000","-4,058,000","-5,408,000","-5,106,000","-5,712,000","-4,747,000","-4,457,000","-5,244,000","-4,226,000","-3,410,000","-4,069,000","-4,855,000","-5,010,000","-3,428,000","-1,356,000","-938,000","-1,216,000","-213,000","-473,695",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"-300,000",-,"80,000","100,000",-,-,-,"-100,000",-,-,-,"17,000",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,"-290,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Legal Settlements,-,-,-,"-30,000",-,-,-,-,-,"-1,398,000",-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"300,000",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-4,419,000","-3,413,000","-4,058,000","-6,028,000","-5,106,000","-5,632,000","-4,647,000","-4,457,000","-5,244,000","-5,624,000","-3,510,000","-4,069,000","-4,855,000","-5,010,000","-3,111,000","-1,356,000","-938,000","-1,216,000","-213,000","-473,695",Financials in USD,Fiscal year is January - December
Net Income,"-4,419,000","-3,413,000","-4,058,000","-6,028,000","-5,106,000","-5,632,000","-4,647,000","-4,457,000","-5,244,000","-5,624,000","-3,510,000","-4,069,000","-4,855,000","-5,010,000","-3,111,000","-1,356,000","-938,000","-1,216,000","-213,000","-473,695",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"149,000","8,501,000",-,-,"798,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income to Common,"-4,568,000","-11,914,000","-4,058,000","-6,028,000","-5,904,000","-5,632,000","-4,647,000","-4,457,000","-5,244,000","-5,624,000","-3,510,000","-4,069,000","-4,855,000","-5,010,000","-3,111,000","-1,356,000","-938,000","-1,216,000","-213,000","-473,695",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"13,627,793","6,509,881","2,513,587","2,362,022","2,117,877","2,110,544","2,103,362","2,101,789","2,100,161","2,094,390","2,091,120","2,001,914","1,911,515","1,900,501","1,749,107","1,604,099","1,604,086","1,597,042",-,"204,370",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"13,627,793","6,509,881","2,513,587","2,362,022","2,117,877","2,110,544","2,103,362","2,101,789","2,100,161","2,094,390","2,091,120","2,001,914","1,911,515","1,900,501","1,749,107","1,604,099","1,604,086","1,597,042",-,"204,370",Financials in USD,Fiscal year is January - December
Shares Change (YoY),543.465%,208.446%,19.503%,12.381%,0.844%,0.771%,0.585%,4.989%,9.869%,10.202%,19.554%,24.800%,19.165%,19.001%,-,684.899%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.335,-1.830,-1.614,-2.552,-2.788,-2.669,-2.209,-2.121,-2.497,-2.685,-1.679,-2.033,-2.540,-2.636,-1.779,-0.845,-0.585,-0.761,-,-2.318,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.335,-1.830,-1.614,-2.552,-2.788,-2.669,-2.209,-2.121,-2.497,-2.685,-1.679,-2.033,-2.540,-2.636,-1.779,-0.845,-0.585,-0.761,-,-2.318,Financials in USD,Fiscal year is January - December
