Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Operating Revenue,"111,229,000","87,241,000","86,749,000","64,561,000","46,719,000","23,750,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"111,229,000","87,241,000","86,749,000","64,561,000","46,719,000","23,750,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),30.307%,0.567%,34.367%,38.190%,96.712%,95.941%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"87,809,000","75,332,000","71,313,000","82,154,000","72,552,000","41,347,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"23,420,000","11,909,000","15,436,000","-17,593,000","-25,833,000","-17,597,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","65,263,000","72,176,000","85,720,000","111,836,000","114,955,000","104,527,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"4,652,000","5,843,000","13,131,000","21,841,000","20,366,000","12,155,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,-,-,-,"5,328,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"82,127,000","91,819,000","119,826,000","147,934,000","153,554,000","135,719,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-58,707,000","-79,910,000","-104,390,000","-165,527,000","-179,387,000","-153,316,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,"-186,000","-1,244,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"54,370,000","51,235,000","22,514,000","9,068,000","18,601,000","29,213,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,"3,117,000","1,583,000","3,114,000","-6,313,000","-4,510,000","-2,009,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"1,047,000","-7,324,000","-2,286,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-765,000","-12,127,000","28,799,000","159,971,000","127,420,000","1,277,016,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-938,000","-46,543,000","-52,249,000","-2,801,000","-38,062,000","1,149,660,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-8,377,000","-1,524,000","-3,545,000","-119,900,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,"-35,000,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-16,531,000","-23,350,000","-61,392,000",-,"4,789,000","16,277,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"-9,308,000","1,114,000","-324,000","733,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-19,716,000","-3,366,000","-3,493,000","-6,542,000","-5,000,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-54,870,000","-73,669,000","-121,003,000","-128,510,000","-73,273,000","1,165,937,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-5,800,000","-3,230,000","34,175,000","-431,000","1,347,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-49,070,000","-70,439,000","-155,178,000","-128,079,000","-74,620,000","1,165,937,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,"124,000","-4,114,000","-13,556,000","-269,125,000","-650,000","-363,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Company,"-48,946,000","-74,553,000","-168,734,000","-397,204,000","-75,270,000","1,165,574,000",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"1,507,000","590,000",-,"1,097,000","2,133,000","932,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-47,439,000","-73,963,000","-168,734,000","-396,107,000","-73,137,000","1,166,506,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-47,439,000","-73,963,000","-168,734,000","-396,107,000","-73,137,000","1,166,506,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"381,761,811","380,964,739","376,961,797","370,390,965","351,576,848","310,067,179",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"381,761,811","380,964,739","376,961,797","370,390,965","351,576,848","342,811,992",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.375%,1.062%,1.774%,5.351%,2.557%,98.998%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.124,-0.194,-0.448,-1.069,-0.208,3.762,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.124,-0.194,-0.448,-1.069,-0.212,3.332,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"17,852,000","-45,340,000","-92,399,000","-164,760,000","-176,283,000","-169,857,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.047,-0.119,-0.245,-0.445,-0.501,-0.495,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,21.056%,13.651%,17.794%,-27.250%,-55.294%,-74.093%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-52.780%,-91.597%,-120.336%,-256.389%,-383.970%,-645.541%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-42.650%,-84.780%,-194.508%,-613.539%,-156.547%,4911.604%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,16.050%,-51.971%,-106.513%,-255.201%,-377.326%,-715.187%,Upgrade,Financials in USD,Fiscal year is January - December
