Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,"35,358,000","34,071,000","28,674,000","24,100,000","18,849,000","26,181,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),5.173%,18.822%,18.979%,27.858%,-28.005%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"18,703,000","17,444,000","15,185,000","12,742,000","9,066,000","12,408,000",Financials in USD,Fiscal year is January - December
Gross Profit,"16,655,000","16,627,000","13,489,000","11,358,000","9,783,000","13,773,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","34,679,000","37,902,000","35,000,000","25,959,000","18,117,000","28,395,000",Financials in USD,Fiscal year is January - December
Research & Development,"1,339,000","77,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"36,018,000","37,979,000","35,000,000","25,959,000","18,117,000","28,395,000",Financials in USD,Fiscal year is January - December
Operating Income,"-19,363,000","-21,352,000","-21,511,000","-14,601,000","-8,334,000","-14,622,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-2,284,000","-600,000","-370,000","-360,000","-2,897,000","-2,159,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"77,000","132,000","175,000","16,000","28,000","25,000",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-114,000","-114,000","-28,000",-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"2,461,000","3,044,000","16,356,000","-12,651,000","81,000","175,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-19,223,000","-18,890,000","-5,378,000","-27,596,000","-11,122,000","-16,581,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,"-752,000","-1,132,000","-3,531,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-798,000","-7,421,000","1,747,000",-,-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,"-586,000",Financials in USD,Fiscal year is January - December
Legal Settlements,"7,385,000","6,160,000","-870,000","-11,250,000",-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-182,000","34,000","3,893,000","1,941,000","1,331,000","9,749,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-12,818,000","-20,117,000","-608,000","-37,657,000","-10,923,000","-10,949,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"19,000","14,000","32,000","56,000","64,000","33,000",Financials in USD,Fiscal year is January - December
Net Income,"-12,837,000","-20,131,000","-640,000","-37,713,000","-10,987,000","-10,982,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-12,837,000","-20,131,000","-640,000","-37,713,000","-10,987,000","-10,982,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"4,161,417","1,546,297","1,056,988","440,412",-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"4,161,417","1,546,297","1,056,988","440,412",-,-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),212.144%,46.293%,140.000%,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-3.085,-13.019,-0.605,-85.631,-,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-3.085,-13.019,-0.605,-85.631,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-18,119,000","-24,900,000","-16,237,000","-26,726,000","-12,369,000","-38,215,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-4.354,-16.103,-15.362,-60.684,-,-,Financials in USD,Fiscal year is January - December
Gross Margin,47.104%,48.801%,47.043%,47.129%,51.902%,52.607%,Financials in USD,Fiscal year is January - December
Operating Margin,-54.763%,-62.669%,-75.019%,-60.585%,-44.215%,-55.850%,Financials in USD,Fiscal year is January - December
Profit Margin,-36.306%,-59.085%,-2.232%,-156.485%,-58.290%,-41.946%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-51.244%,-73.083%,-56.626%,-110.896%,-65.622%,-145.965%,Financials in USD,Fiscal year is January - December
EBITDA,"-18,851,000","-20,848,000","-20,992,000","-14,061,000","-7,772,000","-13,955,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-53.315%,-61.190%,-73.209%,-58.344%,-41.233%,-53.302%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"512,000","504,000","519,000","540,000","562,000","667,000",Financials in USD,Fiscal year is January - December
EBIT,"-19,363,000","-21,352,000","-21,511,000","-14,601,000","-8,334,000","-14,622,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-54.763%,-62.669%,-75.019%,-60.585%,-44.215%,-55.850%,Financials in USD,Fiscal year is January - December
Revenue as Reported,"35,358,000","34,071,000","28,674,000","24,100,000","18,849,000","26,181,000",Financials in USD,Fiscal year is January - December
Advertising Expenses,-,"200,000","100,000","500,000",-,-,Financials in USD,Fiscal year is January - December
