Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"378,734,000","394,091,000","369,975,000","353,999,000","319,946,000","321,700,000","300,784,000","263,166,000","239,292,000","223,723,000","208,880,000","129,562,000","102,073,000","101,064,000","92,509,000","94,152,000","88,544,000","66,010,000","90,704,000","89,346,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),18.374%,22.503%,23.004%,34.515%,33.705%,43.794%,43.998%,103.120%,134.432%,121.368%,125.794%,37.609%,15.279%,53.104%,1.990%,5.379%,3.227%,-22.980%,4.848%,3.564%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"136,608,000","138,317,000","128,129,000","130,130,000","119,995,000","119,053,000","107,308,000","95,995,000","91,859,000","85,694,000","79,810,000","71,654,000","59,404,000","54,976,000","51,479,000","55,476,000","52,284,000","40,162,000","45,427,000","44,781,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"242,126,000","255,774,000","241,846,000","223,869,000","199,951,000","202,647,000","193,476,000","167,171,000","147,433,000","138,029,000","129,070,000","57,908,000","42,669,000","46,088,000","41,030,000","38,676,000","36,260,000","25,848,000","45,277,000","44,565,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","84,235,000","92,444,000","93,441,000","56,759,000","73,140,000","62,607,000","55,888,000","66,622,000","49,173,000","60,090,000","57,942,000","81,993,000","36,205,000","60,808,000","30,311,000","26,841,000","28,226,000","19,475,000","26,829,000","27,693,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"24,148,000","60,601,000","48,024,000","16,824,000","14,450,000","15,901,000","14,932,000","272,226,000","12,517,000","14,735,000","12,203,000","11,293,000","11,252,000","12,061,000","10,360,000","9,938,000","11,684,000","4,418,000","4,048,000","4,434,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"108,383,000","153,045,000","141,465,000","73,583,000","87,590,000","78,508,000","70,820,000","338,848,000","61,690,000","74,825,000","70,145,000","93,286,000","47,457,000","72,869,000","40,671,000","36,779,000","39,910,000","23,893,000","30,877,000","32,127,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"133,743,000","102,729,000","100,381,000","150,286,000","112,361,000","124,139,000","122,656,000","-171,677,000","85,743,000","63,204,000","58,925,000","-35,378,000","-4,788,000","-26,781,000","359,000","1,897,000","-3,650,000","1,955,000","14,400,000","12,438,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-4,903,000","-4,862,000","-4,859,000","-5,041,000","-5,054,000","-4,933,000","-4,991,000","-2,581,000","-1,626,000","-1,469,000","-1,509,000","-1,528,000","-1,569,000","-1,937,000","-2,718,000","-2,811,000","-2,808,000","-1,914,000","-1,946,000","-2,126,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"9,801,000","8,924,000","8,548,000","7,548,000","4,540,000","4,027,000","3,523,000","2,062,000","504,000","39,000","8,000","6,000","11,000","11,000","17,000","17,000","7,000","105,000","109,000","73,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"46,000","-455,000","217,000","10,000","-9,000","224,000","-246,000","-67,000","-145,000","-125,000","81,000","-118,000","-127,000","13,000","-42,000","-73,000","33,000","94,000","-314,000","40,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"106,000","575,000","23,000","-1,600,000","-3,671,000","231,000","-46,000","-3,392,000","-1,460,000","396,000","396,000","-4,029,000","-3,824,000","158,000","574,000","552,000","556,000","557,000","555,000","-11,482,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"138,793,000","106,911,000","104,310,000","151,203,000","108,167,000","123,688,000","120,896,000","-175,655,000","83,016,000","62,045,000","57,901,000","-41,047,000","-10,297,000","-28,536,000","-1,810,000","-418,000","-5,862,000","797,000","12,804,000","-1,057,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,400,000","-1,600,000","-7,500,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"37,325,000","-22,537,000","60,704,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,"6,254,000",-,"51,789,000",-,-,-,-,-,-,-,-,-,"15,263,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,"6,000,000",-,-,"-132,000,000",-,-,-,-,"40,000","-9,540,000",-,-,"-2,725,000",-,-,"-7,275,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"-18,800,000",-,-,-,"-588,000",-,-,-,-,-,-,"889,000","1,700,000",-,-,-,"3,453,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"176,118,000","84,374,000","171,268,000","138,403,000","159,956,000","123,688,000","-11,104,000","-176,243,000","83,016,000","62,045,000","57,901,000","-41,007,000","-19,837,000","-28,536,000","14,342,000","-2,843,000","-7,462,000","-6,703,000","5,529,000","2,396,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"45,025,000","22,301,000","40,202,000","35,023,000","27,999,000","29,557,000","-8,297,000","-57,058,000","21,784,000","18,987,000","14,939,000","-792,000","-6,422,000","-1,879,000","5,334,000","569,000","-1,076,000","309,000","2,192,000","-8,054,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"131,093,000","62,073,000","131,066,000","103,380,000","131,957,000","94,131,000","-2,807,000","-119,185,000","61,232,000","43,058,000","42,962,000","-40,215,000","-13,415,000","-26,657,000","9,008,000","-3,412,000","-6,386,000","-7,012,000","3,337,000","10,450,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"131,093,000","62,073,000","131,066,000","103,380,000","131,957,000","94,131,000","-2,807,000","-119,185,000","61,232,000","43,058,000","42,962,000","-40,215,000","-13,415,000","-26,657,000","9,008,000","-3,412,000","-6,386,000","-7,012,000","3,337,000","10,450,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,-0.655%,-34.057%,-,-,115.503%,118.614%,-,-,-,-,376.932%,-,-,-,169.943%,-,-,-,-66.459%,-21.387%,Upgrade,Financials in USD,Fiscal year is January - December
