Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023",,
"Selling, General & Admin","4,764,000","3,625,500","3,625,500","2,591,000","1,780,000","1,780,000",Financials in USD,Fiscal year is January - December
Research & Development,"15,864,000","13,936,500","13,936,500","6,939,000","6,556,000","6,556,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"20,628,000","17,562,000","17,562,000","9,530,000","8,336,000","8,336,000",Financials in USD,Fiscal year is January - December
Operating Income,"-20,628,000","-17,562,000","-17,562,000","-9,530,000","-8,336,000","-8,336,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"3,147,000","2,784,000","2,784,000","13,000",-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,"-13,328,000","-14,000","-14,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-17,481,000","-14,778,000","-14,778,000","-22,845,000","-8,350,000","-8,350,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,500,500,-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-17,481,000","-14,778,500","-14,778,500","-22,845,000","-8,350,000","-8,350,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-17,481,000","-14,778,500","-14,778,500","-22,845,000","-8,350,000","-8,350,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"10,901,138","774,013","774,013","597,586","546,172","546,172",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"10,901,138","774,013","774,013","597,586","546,172","546,172",Financials in USD,Fiscal year is January - December
Shares Change (YoY),1895.917%,41.716%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.604,-19.093,-19.093,-38.229,-15.288,-15.288,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.604,-19.093,-19.093,-38.229,-15.288,-15.288,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-17,232,000","-13,759,000","-13,759,000","-10,682,000","-13,530,000","-13,530,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.581,-17.776,-17.776,-17.875,-24.772,-24.772,Financials in USD,Fiscal year is January - December
EBITDA,"-20,613,000","-17,549,000","-17,549,000","-9,528,000","-8,334,500","-8,334,500",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"15,000","13,000","13,000","2,000","1,500","1,500",Financials in USD,Fiscal year is January - December
EBIT,"-20,628,000","-17,562,000","-17,562,000","-9,530,000","-8,336,000","-8,336,000",Financials in USD,Fiscal year is January - December
