Fiscal Quarter,Q2 2025,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"412,000","272,000","295,000","204,000","291,000","555,000","166,000","332,000","202,000","212,000","122,000","142,000","56,000","77,000","81,000","108,000","125,000","584,000","29,000","573,000",Upgrade,Financials in USD,Fiscal year is April - March
Revenue Growth (YoY),41.581%,-50.991%,77.711%,-38.554%,44.059%,161.792%,36.066%,133.803%,260.714%,175.325%,50.617%,31.481%,-55.200%,-86.815%,179.310%,-81.152%,-93.136%,-64.585%,-98.119%,-55.409%,Upgrade,Financials in USD,Fiscal year is April - March
Cost of Revenue,"214,000","109,000","124,000","71,000","117,000","300,000","103,000","230,000","67,000","70,000","54,000","80,000","18,000","51,000","54,000","94,000","99,000","538,000","13,000","543,000",Upgrade,Financials in USD,Fiscal year is April - March
Gross Profit,"198,000","163,000","171,000","133,000","174,000","255,000","63,000","102,000","135,000","142,000","68,000","62,000","38,000","26,000","27,000","14,000","26,000","46,000","16,000","30,000",Upgrade,Financials in USD,Fiscal year is April - March
"Selling, General & Admin","1,041,000","1,644,000","2,232,000","2,228,000","1,397,000","1,627,000","3,719,000","1,574,000","1,855,000","1,550,000","4,503,000","2,070,000","4,110,000","1,776,000","2,484,000","1,941,000","1,483,000","1,755,000","2,212,000","1,413,000",Upgrade,Financials in USD,Fiscal year is April - March
Research & Development,"917,000","889,000","855,000","903,000","1,268,000","747,000","493,000","806,000","768,000","1,394,000","1,233,000","377,000","276,000","444,000","334,000","154,000","219,000","222,000","247,000","295,000",Upgrade,Financials in USD,Fiscal year is April - March
Operating Expenses,"1,958,000","2,533,000","3,087,000","3,131,000","2,665,000","2,374,000","4,212,000","2,380,000","2,623,000","2,944,000","5,736,000","2,447,000","4,386,000","2,220,000","2,818,000","2,095,000","1,702,000","1,977,000","2,459,000","1,708,000",Upgrade,Financials in USD,Fiscal year is April - March
Operating Income,"-1,760,000","-2,370,000","-2,916,000","-2,998,000","-2,491,000","-2,119,000","-4,149,000","-2,278,000","-2,488,000","-2,802,000","-5,668,000","-2,385,000","-4,348,000","-2,194,000","-2,791,000","-2,081,000","-1,676,000","-1,931,000","-2,443,000","-1,678,000",Upgrade,Financials in USD,Fiscal year is April - March
Other Non Operating Income (Expenses),"43,000","18,000","6,000","32,000","40,000","64,000","48,000","29,000","46,000","17,000","10,000","4,000","4,000","13,000","11,000","3,000","19,000","49,000","71,000","75,000",Upgrade,Financials in USD,Fiscal year is April - March
