Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,-,-,-,-,"226,000","834,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,-72.902%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"43,205,000","57,063,000","48,613,000","24,778,000","6,060,000","1,654,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-43,205,000","-57,063,000","-48,613,000","-24,778,000","-5,834,000","-820,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","17,605,000","21,127,000","18,980,000","11,053,000","2,496,000","1,088,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"17,605,000","21,127,000","18,980,000","11,053,000","2,496,000","1,088,000",Financials in USD,Fiscal year is January - December
Operating Income,"-60,810,000","-78,190,000","-67,593,000","-35,831,000","-8,330,000","-1,908,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"6,947,000","5,244,000","2,889,000","221,000","-21,000","-139,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-53,863,000","-72,946,000","-64,704,000","-35,610,000","-8,351,000","-2,047,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"6,084,000","6,084,000","1,396,000","77,000","71,000",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-47,779,000","-66,862,000","-63,308,000","-35,533,000","-8,280,000","-2,047,000",Financials in USD,Fiscal year is January - December
Net Income,"-47,779,000","-66,862,000","-63,308,000","-35,533,000","-8,280,000","-2,047,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-47,779,000","-66,862,000","-63,308,000","-35,533,000","-8,280,000","-2,047,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"56,439,504","55,984,670","55,707,517","45,936,235","15,796,674","15,475,418",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"56,439,504","55,984,670","55,707,517","45,936,235","15,796,674","15,475,418",Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.914%,0.498%,21.271%,190.797%,2.076%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.847,-1.194,-1.136,-0.774,-0.524,-0.132,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.847,-1.194,-1.136,-0.774,-0.524,-0.132,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-46,410,000","-58,816,000","-52,235,000","-30,915,000","-8,745,000","-139,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.822,-1.051,-0.938,-0.673,-0.554,-0.009,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,-,-98.321%,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-,-3685.841%,-228.777%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-,-3663.717%,-245.444%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-3869.469%,-16.667%,Financials in USD,Fiscal year is January - December
EBITDA,"-60,225,000","-77,653,000","-67,187,000","-35,702,000","-8,325,000",-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"585,000","537,000","406,000","129,000","5,000",-,Financials in USD,Fiscal year is January - December
EBIT,"-60,810,000","-78,190,000","-67,593,000","-35,831,000","-8,330,000","-1,908,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-,-228.777%,Financials in USD,Fiscal year is January - December
