Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,"3,418,853","181,797","305,722","515,032","435,380","490,472","789,635","1,433,463","279,351","207,471","603,098","1,635,292","1,200,816","444,516","250,576","416,489","827,639","1,824,681","862,400",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),685.257%,-62.934%,-61.283%,-64.071%,55.854%,136.405%,30.930%,-12.342%,-76.737%,-53.327%,140.685%,292.638%,45.089%,-75.639%,-70.944%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"1,690,674","947,229","778,904","2,232,760","1,914,970","1,643,726","1,796,015","6,441,927","4,756,096","5,311,298","3,140,096","2,187,850","1,714,635","463,219","284,378","1,253,372","892,991","1,404,246","838,970",Financials in USD,Fiscal year is January - December
Gross Profit,"1,728,179","-765,432","-473,182","-1,717,728","-1,479,590","-1,153,254","-1,006,380","-5,008,464","-4,476,745","-5,103,827","-2,536,998","-552,558","-513,819","-18,703","-33,802","-836,883","-65,352","420,435","23,430",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,083,433","1,190,010","1,369,782","1,437,957","1,227,724","1,140,700","1,554,855","1,192,322","1,686,580","1,951,356","2,265,806","1,454,187","16,372,976","393,914","490,471","256,447","339,422","281,354","277,693",Financials in USD,Fiscal year is January - December
Operating Expenses,"1,083,433","1,190,010","1,369,782","1,437,957","1,227,724","1,140,700","1,554,855","1,192,322","1,686,580","1,951,356","2,265,806","1,454,187","16,372,976","393,914","490,471","256,447","339,422","281,354","277,693",Financials in USD,Fiscal year is January - December
Operating Income,"644,746","-1,955,442","-1,842,964","-3,155,685","-2,707,314","-2,293,954","-2,561,235","-6,200,786","-6,163,325","-7,055,183","-4,802,804","-2,006,745","-16,886,795","-412,617","-524,273","-1,093,330","-404,774","139,081","-254,263",Financials in USD,Fiscal year is January - December
Interest Expense,"-4,063","-27,563","-1,248,065","-344,799","-7,649",-,"-1,497","-70,882","-1,123,580","-37,781","-15,021","-1,432,487","-524,818","-910,327","-347,834","-247,966","-216,166","-201,715","-329,650",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"21,086","15,212","-25,534","-3,877","24,157","54,652","224,447","1,171,212","-4,655,296","151,243","2,802,364","-3,798,007","212,139","365,333","-39,585","1,359,636","2,171,446","-643,840","-439,334",Financials in USD,Fiscal year is January - December
