Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021",,
"Selling, General & Admin","5,730,000","5,676,000","5,064,000","4,487,000","4,878,000","5,374,000","5,251,000","4,293,000","3,831,000","3,602,000","1,575,000","1,466,000","780,000","505,000","505,000",Financials in USD,Fiscal year is January - December
Research & Development,"11,343,000","8,394,000","6,226,000","5,918,000","5,969,000","5,340,000","6,737,000","9,257,000","4,757,000","4,181,000","6,212,000","4,285,000","4,917,000","3,273,000","3,273,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"17,073,000","14,070,000","11,290,000","10,405,000","10,847,000","10,714,000","11,988,000","13,550,000","8,588,000","7,783,000","7,787,000","5,751,000","5,697,000","3,778,000","3,778,000",Financials in USD,Fiscal year is January - December
Operating Income,"-17,073,000","-14,070,000","-11,290,000","-10,405,000","-10,847,000","-10,714,000","-11,988,000","-13,550,000","-8,588,000","-7,783,000","-7,787,000","-5,751,000","-5,697,000","-3,778,000","-3,778,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,"-2,000",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"3,278,000","3,364,000","3,433,000","3,597,000","3,470,000","3,158,000","2,905,000","2,062,000","383,000","107,000","3,000","5,000",-,"1,000","1,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-4,000","-1,000","1,000","-28,000","34,000","-4,000","-2,000",-,-,-,-,"-3,000","1,000",-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-13,799,000","-10,707,000","-7,856,000","-6,836,000","-7,343,000","-7,560,000","-9,085,000","-11,490,000","-8,205,000","-7,676,000","-7,784,000","-5,749,000","-5,696,000","-3,777,000","-3,777,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,"-10,033,000","-1,685,000","554,000","554,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-13,799,000","-10,707,000","-7,856,000","-6,836,000","-7,343,000","-7,560,000","-9,085,000","-11,490,000","-8,205,000","-7,676,000","-7,784,000","-15,782,000","-7,381,000","-3,223,000","-3,223,000",Financials in USD,Fiscal year is January - December
Net Income,"-13,799,000","-10,707,000","-7,856,000","-6,836,000","-7,343,000","-7,560,000","-9,085,000","-11,490,000","-8,205,000","-7,676,000","-7,784,000","-15,782,000","-7,381,000","-3,223,000","-3,223,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-13,799,000","-10,707,000","-7,856,000","-6,836,000","-7,343,000","-7,560,000","-9,085,000","-11,490,000","-8,205,000","-7,676,000","-7,784,000","-15,782,000","-7,381,000","-3,223,000","-3,223,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"41,317,517","40,555,518","39,438,572","39,879,950","39,689,819","39,570,464","40,213,158","39,606,790","9,118,937","4,361,735","4,269,129","4,189,312","8,159,044","3,939,705","3,939,705",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"41,317,517","40,555,518","39,438,572","39,879,950","39,689,819","39,570,464","40,213,158","39,606,790","9,118,937","4,361,735","4,269,129","4,189,312","8,159,044","3,939,705","3,939,705",Financials in USD,Fiscal year is January - December
Shares Change (YoY),4.101%,2.489%,-1.926%,0.690%,335.246%,807.218%,841.952%,845.425%,11.765%,10.712%,8.362%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.334,-0.264,-0.199,-0.171,-0.185,-0.191,-0.226,-0.290,-0.900,-1.760,-1.823,-3.767,-0.905,-0.818,-0.818,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.334,-0.264,-0.199,-0.171,-0.185,-0.191,-0.226,-0.290,-0.900,-1.760,-1.823,-3.767,-0.905,-0.818,-0.818,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-8,173,000","-8,807,000","-6,293,000","-5,608,000","-4,183,000","-4,128,000","-6,675,000","-9,323,000","-10,778,000","-6,739,000","-8,113,000","-4,341,000","-4,154,000","-3,625,500","-3,625,500",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.198,-0.217,-0.160,-0.141,-0.105,-0.104,-0.166,-0.235,-1.182,-1.545,-1.900,-1.036,-0.509,-0.920,-0.920,Financials in USD,Fiscal year is January - December
EBITDA,"-17,061,000","-14,058,000","-11,278,000","-10,392,000","-10,835,000","-10,707,000","-11,985,000","-13,549,750",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"12,000","12,000","12,000","13,000","12,000","7,000","3,000",250,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBIT,"-17,073,000","-14,070,000","-11,290,000","-10,405,000","-10,847,000","-10,714,000","-11,988,000","-13,550,000","-8,588,000","-7,783,000","-7,787,000","-5,751,000","-5,697,000","-3,778,000","-3,778,000",Financials in USD,Fiscal year is January - December
