Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,"1,701,000","1,270,000","898,000","338,000","744,000","3,367,000","1,269,000","1,557,000","2,369,000","1,002,000","819,000","1,452,000","1,539,000","728,000","1,063,000","2,728,000","916,000","564,000","572,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),128.629%,-62.281%,-29.236%,-78.292%,-68.594%,236.028%,54.945%,7.231%,53.931%,37.637%,-22.954%,-46.774%,68.013%,29.078%,85.839%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"2,010,000","15,261,000","12,236,000","11,769,000","978,000","12,112,000","12,657,000","11,315,000","15,525,000","16,241,000","15,077,000","15,766,000","10,730,000","11,040,000","7,050,000","4,597,000","2,692,000","2,252,000","1,907,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-309,000","-13,991,000","-11,338,000","-11,431,000","-234,000","-8,745,000","-11,388,000","-9,758,000","-13,156,000","-15,239,000","-14,258,000","-14,314,000","-9,191,000","-10,312,000","-5,987,000","-1,869,000","-1,776,000","-1,688,000","-1,335,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","9,256,000","9,346,000","8,744,000","9,324,000","9,505,000","9,410,000","9,593,000","7,749,000","11,407,000","10,507,000","10,889,000","9,183,000","9,733,000","5,179,000","4,685,000","2,413,000","1,257,000","861,000","971,000",Financials in USD,Fiscal year is January - December
Research & Development,"15,975,000",-,-,-,"10,051,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"28,586,000","12,730,000","12,160,000","12,808,000","23,069,000","12,908,000","13,097,000","11,335,000","14,811,000","13,648,000","13,795,000","11,942,000","11,951,000","6,380,000","5,161,000","2,764,000","1,588,000","1,126,000","1,155,000",Financials in USD,Fiscal year is January - December
Operating Income,"-28,895,000","-26,721,000","-23,498,000","-24,239,000","-23,303,000","-21,653,000","-24,485,000","-21,093,000","-27,967,000","-28,887,000","-28,053,000","-26,256,000","-21,142,000","-16,692,000","-11,148,000","-4,633,000","-3,364,000","-2,814,000","-2,490,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-130,000","-150,000","-176,000","-204,000","-229,000","-256,000","-321,000","-287,000","-279,000","-211,000","-195,000","-200,000","-768,000","-2,009,000","-455,000","-175,000","-172,000","-189,000","-98,000",Financials in USD,Fiscal year is January - December
