Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,"331,000","314,000","233,000","20,376,000",-,-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-0.898%,34.764%,-98.856%,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"331,000","314,000","233,000","20,376,000",-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","54,349,000","62,182,000","70,350,000","92,745,000","80,734,000","5,090,000",Financials in USD,Fiscal year is January - December
Research & Development,"49,969,000","60,403,000","74,313,000","47,956,000","11,408,000","3,084,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"104,318,000","122,585,000","144,663,000","140,701,000","92,142,000","8,174,000",Financials in USD,Fiscal year is January - December
Operating Income,"-103,987,000","-122,271,000","-144,430,000","-120,325,000","-92,142,000","-8,174,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-2,863,000","-2,656,000","-923,000",-,-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,241,000","1,847,000","548,000","205,000","71,000","23,000",Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,"-2,394,000","-3,593,000","-16,006,000","-58,555,000","-76,507,000","-6,908,000",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"375,000","-894,000","6,902,000","8,481,000","-194,000",-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-10,101,000","-806,000","-206,000","-339,000","5,000","356,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-117,729,000","-128,373,000","-154,115,000","-170,533,000","-168,767,000","-14,703,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-2,000,000","-3,200,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-10,711,000","86,289,000","300,000","4,577,000","19,856,000","-628,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"-2,140,000","60,000","1,484,000",-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,"200,000","-100,000","1,500,000","3,203,000","-17,389,000","623,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-132,380,000","-45,324,000","-151,188,000","-178,233,000","-178,320,000","-24,382,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"-2,180,000","-1,429,000","6,229,000","-3,989,000","305,000","2,000",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-130,200,000","-43,895,000","-157,417,000","-174,244,000","-178,625,000","-24,384,000",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"1,597,000","3,671,000","5,032,000","6,436,000","8,782,000","10,246,000",Financials in USD,Fiscal year is January - December
Net Income,"-128,603,000","-40,224,000","-152,385,000","-167,808,000","-169,843,000","-14,138,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-128,603,000","-40,224,000","-152,385,000","-167,808,000","-169,843,000","-14,138,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"161,968,485","158,833,785","155,719,585","138,265,859","93,019,072","8,665,805",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"161,968,485","158,833,785","155,719,585","138,265,859","93,019,072","8,665,805",Financials in USD,Fiscal year is January - December
Shares Change (YoY),3.475%,2.000%,12.623%,48.642%,973.404%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.794,-0.253,-0.979,-1.214,-1.826,-1.631,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.795,-0.253,-0.979,-1.214,-1.826,-1.631,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-80,112,000","-84,377,000","-105,240,000","-64,419,000","-20,825,000","-7,865,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.495,-0.531,-0.676,-0.466,-0.224,-0.908,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,100.000%,100.000%,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-31416.012%,-38939.809%,-61987.124%,-590.523%,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-38852.870%,-12810.191%,-65401.288%,-823.557%,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-24203.021%,-26871.656%,-45167.382%,-316.151%,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-103,638,000","-121,952,000","-144,262,000","-120,278,000","-92,118,000","-8,168,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"349,000","319,000","168,000","47,000","24,000","6,000",Financials in USD,Fiscal year is January - December
EBIT,"-103,987,000","-122,271,000","-144,430,000","-120,325,000","-92,142,000","-8,174,000",Financials in USD,Fiscal year is January - December
