Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"47,651,000","50,474,000","47,462,000","45,271,000","38,815,000","46,056,000","62,498,000","64,482,000","65,318,000","64,390,000","60,192,000","68,019,000","70,095,000","67,899,000","62,669,000","67,653,000","60,308,000","62,207,000","58,000,000","60,930,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),22.764%,9.593%,-24.058%,-29.793%,-40.575%,-28.473%,3.831%,-5.200%,-6.815%,-5.168%,-3.953%,0.541%,16.228%,9.150%,8.050%,11.034%,1.384%,5.328%,21.560%,14.873%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"2,551,000","2,733,000","3,440,000","3,460,000","3,063,000","3,499,000","4,774,000","6,238,000","6,320,000","6,059,000","5,665,000","6,236,000","6,797,000","6,566,000","6,030,000","6,412,000","5,898,000","5,847,000","5,207,000","6,225,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"45,100,000","47,741,000","44,022,000","41,811,000","35,752,000","42,557,000","57,724,000","58,244,000","58,998,000","58,331,000","54,527,000","61,783,000","63,298,000","61,333,000","56,639,000","61,241,000","54,410,000","56,360,000","52,793,000","54,705,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","37,573,000","39,474,000","30,085,000","23,613,000","24,767,000","28,399,000","36,104,000","32,782,000","29,854,000","33,001,000","40,848,000","33,447,000","32,456,000","28,347,000","29,797,000","35,571,000","34,001,000","33,917,000","37,021,000","37,018,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"16,776,000","16,661,000","21,154,000","24,339,000","16,600,000","16,647,000","19,237,000","18,454,000","24,857,000","21,490,000","20,969,000","19,331,000","19,653,000","20,248,000","16,131,000","14,849,000","12,298,000","12,903,000","15,527,000","13,074,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"56,100,000","57,887,000","53,257,000","48,905,000","41,747,000","45,424,000","55,720,000","51,615,000","55,090,000","54,870,000","62,196,000","53,147,000","52,479,000","48,964,000","46,298,000","50,790,000","46,668,000","47,189,000","52,918,000","50,462,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-11,000,000","-10,146,000","-9,235,000","-7,094,000","-5,995,000","-2,867,000","2,004,000","6,629,000","3,908,000","3,461,000","-7,669,000","8,636,000","10,819,000","12,369,000","10,341,000","10,451,000","7,742,000","9,171,000","-125,000","4,243,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-14,858,000",-,-,-,"-1,987,000",-,-,-,"-26,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"4,756,000","4,630,000","4,571,000",-,"5,875,000","5,459,000","3,524,000",-,"1,553,000","329,000","105,000",-,-,"235,000","87,000","473,000","659,000","1,918,000","1,366,000","1,567,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,"11,492,000",-,-,-,"2,008,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-6,244,000","-5,516,000","-4,664,000","-10,460,000","-120,000","2,592,000","5,528,000","6,650,000","5,461,000","3,790,000","-7,564,000","8,610,000","10,819,000","12,604,000","10,428,000","10,924,000","8,401,000","11,089,000","1,241,000","5,810,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"8,799,000",-,-,-,"2,963,000",-,-,-,-,"-97,000",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-6,244,000","-5,516,000","-4,664,000","-1,661,000","-120,000","2,592,000","5,528,000","9,613,000","5,461,000","3,790,000","-7,564,000","8,610,000","10,722,000","12,604,000","10,428,000","10,924,000","8,401,000","11,089,000","1,241,000","5,810,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-920,000","-998,000","-518,000","739,000","-257,000","1,072,000","2,276,000","2,752,000","2,191,000","1,216,000","-1,134,000","1,532,000","2,951,000","2,951,000","1,778,000","2,734,000","2,454,000","2,375,000","755,000","1,594,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-5,324,000","-4,518,000","-4,146,000","-2,400,000","137,000","1,520,000","3,252,000","6,861,000","3,270,000","2,574,000","-6,430,000","7,078,000","7,771,000","9,653,000","8,650,000","8,190,000","5,947,000","8,714,000","486,000","4,216,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-5,324,000","-4,518,000","-4,146,000","-2,400,000","137,000","1,520,000","3,252,000","6,861,000","3,270,000","2,574,000","-6,430,000","7,078,000","7,771,000","9,653,000","8,650,000","8,190,000","5,947,000","8,714,000","486,000","4,216,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,-,-,-95.810%,-40.948%,-,-3.066%,-57.920%,-73.335%,-,-13.578%,30.671%,10.776%,1679.835%,94.260%,-94.078%,-24.397%,-,-59.305%,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"58,261,961","58,220,838","57,760,940","57,532,309","57,519,031","57,453,916","57,011,396","56,651,984","56,574,503","56,508,533","56,105,239","55,787,252","55,668,156","55,582,916","55,145,789","54,731,042","54,666,128","54,501,308","53,806,317","53,389,950",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"58,261,961","58,220,838","57,760,940","57,532,309","57,595,344","57,535,615","57,400,152","57,188,551","56,969,033","56,821,024","56,105,239","57,229,805","57,040,736","56,903,340","56,505,087","55,596,697","55,209,032","55,081,397","54,870,146","54,973,952",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),1.157%,1.191%,0.629%,0.601%,1.099%,1.258%,2.308%,-0.072%,-0.126%,-0.145%,-0.708%,2.937%,3.318%,3.308%,2.980%,1.133%,1.224%,0.919%,4.014%,-0.439%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.091,-0.078,-0.072,-0.042,0.002,0.026,0.057,0.121,0.058,0.046,-0.115,0.127,0.140,0.174,0.157,0.150,0.109,0.160,0.009,0.079,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.091,-0.080,-0.072,-0.050,0.002,0.026,0.057,0.119,0.058,0.046,-0.115,0.120,0.140,0.170,0.150,0.140,0.109,0.160,0.009,0.079,Upgrade,Financials in USD,Fiscal year is January - December
EPS Growth,-,-,-,-,-95.886%,-41.921%,-,-0.599%,-58.595%,-73.206%,-,-13.945%,28.320%,6.326%,1560.751%,76.863%,-94.088%,-23.863%,-,-59.677%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-14,742,000","-8,560,000","4,857,000","-104,650,000","-2,074,000","-13,275,000","31,752,000","9,153,000","12,689,000","5,492,000","3,971,000","26,473,000","9,407,000","18,719,000","9,063,000","18,336,000","9,128,000","23,796,000","-1,280,000","9,723,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.253,-0.147,0.084,-1.819,-0.036,-0.231,0.553,0.160,0.223,0.097,0.071,0.463,0.165,0.329,0.160,0.330,0.165,0.432,-0.023,0.177,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,94.646%,94.585%,92.752%,92.357%,92.109%,92.403%,92.361%,90.326%,90.324%,90.590%,90.588%,90.832%,90.303%,90.330%,90.378%,90.522%,90.220%,90.601%,91.022%,89.783%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-23.085%,-20.101%,-19.458%,-15.670%,-15.445%,-6.225%,3.207%,10.280%,5.983%,5.375%,-12.741%,12.696%,15.435%,18.217%,16.501%,15.448%,12.837%,14.743%,-0.216%,6.964%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-11.173%,-8.951%,-8.735%,-5.301%,0.353%,3.300%,5.203%,10.640%,5.006%,3.998%,-10.682%,10.406%,11.086%,14.217%,13.803%,12.106%,9.861%,14.008%,0.838%,6.919%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-30.937%,-16.959%,10.233%,-231.163%,-5.343%,-28.824%,50.805%,14.195%,19.426%,8.529%,6.597%,38.920%,13.420%,27.569%,14.462%,27.103%,15.136%,38.253%,-2.207%,15.958%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-9,033,000","-8,178,000","-7,011,000","-5,936,000","-5,415,000","-2,265,000","2,674,000","7,292,000","4,586,000","4,151,000","-6,967,000","9,342,000","11,527,000","13,081,000","11,056,000","11,164,000","8,460,000","9,883,000","596,000","4,978,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-18.956%,-16.202%,-14.772%,-13.112%,-13.951%,-4.918%,4.279%,11.309%,7.021%,6.447%,-11.575%,13.734%,16.445%,19.265%,17.642%,16.502%,14.028%,15.887%,1.028%,8.170%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,967,000","1,968,000","2,224,000","1,158,000","580,000","602,000","670,000","663,000","678,000","690,000","702,000","706,000","708,000","712,000","715,000","713,000","718,000","712,000","721,000","735,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-11,000,000","-10,146,000","-9,235,000","-7,094,000","-5,995,000","-2,867,000","2,004,000","6,629,000","3,908,000","3,461,000","-7,669,000","8,636,000","10,819,000","12,369,000","10,341,000","10,451,000","7,742,000","9,171,000","-125,000","4,243,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-23.084%,-20.101%,-19.458%,-15.670%,-15.445%,-6.225%,3.207%,10.280%,5.983%,5.375%,-12.741%,12.696%,15.435%,18.217%,16.501%,15.448%,12.837%,14.743%,-0.215%,6.964%,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,-,-,41.358%,41.172%,28.628%,40.121%,32.084%,-,17.793%,27.523%,23.413%,17.050%,25.027%,29.211%,21.418%,60.838%,27.435%,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"47,651,000","50,474,000","47,462,000","45,271,000","38,815,000","46,056,000","62,498,000","64,482,000","65,318,000","64,390,000","60,192,000","68,019,000","70,095,000","67,899,000","62,669,000","67,653,000","60,308,000","62,207,000","58,000,000","60,930,000",Upgrade,Financials in USD,Fiscal year is January - December
