Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,-,-,-,-,-,"689,626",Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,-,-,"689,626",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","5,694,732","7,431,108","7,834,155","4,639,928","1,287,656","3,828,040",Financials in USD,Fiscal year is January - December
Research & Development,"8,240,625","15,489,997","23,115,123","13,966,368","9,509,055","19,654,135",Financials in USD,Fiscal year is January - December
Operating Expenses,"14,285,712","22,921,105","30,949,278","18,606,296","10,796,711","23,482,175",Financials in USD,Fiscal year is January - December
Operating Income,"-14,285,712","-22,921,105","-30,949,278","-18,606,296","-10,796,711","-22,792,549",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-2,431,614","-2,440,903","-1,560,868",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"174,520","463,256","253,323",-,-,-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,"-407,000","487,000","43,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"145,897",-10,"-86,066","628,920","352,191",164,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-13,965,295","-22,457,859","-30,782,021","-20,815,990","-12,398,423","-24,310,253",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"2,790,809","-9,396,780","-3,840,475","508,071",Financials in USD,Fiscal year is January - December
Pretax Income,"-13,780,295","-22,457,859","-27,991,212","-30,212,770","-16,238,898","-23,802,182",Financials in USD,Fiscal year is January - December
Net Income,"-13,780,295","-22,457,859","-27,991,212","-30,212,770","-16,238,898","-23,802,182",Financials in USD,Fiscal year is January - December
Net Income to Common,"-13,780,295","-22,457,859","-27,991,212","-30,212,770","-16,238,898","-23,802,182",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"36,476,396","34,359,945","33,672,927","26,025,489","24,108,316","24,059,035",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"36,476,396","34,359,945","33,672,927","26,025,489","24,108,316","24,059,035",Financials in USD,Fiscal year is January - December
Shares Change (YoY),6.744%,2.040%,29.384%,7.952%,0.205%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.378,-0.654,-0.831,-1.161,-0.674,-0.989,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.378,-0.654,-0.831,-1.161,-0.674,-0.989,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-10,863,741","-15,836,073","-19,116,889","-13,076,100","-8,432,982","-15,370,785",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.298,-0.461,-0.568,-0.502,-0.350,-0.639,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,-,100.000%,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-,-,-3305.059%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-,-,-3451.462%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-,-2228.858%,Financials in USD,Fiscal year is January - December
EBITDA,"-14,070,572","-22,716,488","-30,827,529","-18,528,336","-10,741,651","-22,755,733",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"215,140","204,617","121,749","77,960","55,060","36,816",Financials in USD,Fiscal year is January - December
EBIT,"-14,285,712","-22,921,105","-30,949,278","-18,606,296","-10,796,711","-22,792,549",Financials in USD,Fiscal year is January - December
