Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"307,028,000","186,374,000","77,062,000","19,138,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),112.144%,141.849%,302.665%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"83,883,000","47,039,000","12,374,000","1,903,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"223,145,000","139,335,000","64,688,000","17,235,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","191,575,000","145,880,000","89,066,000","59,220,000","22,691,000","11,752,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"127,539,000","102,609,000","106,842,000","131,428,000","81,605,000","42,991,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"319,114,000","248,489,000","195,908,000","190,648,000","104,296,000","54,743,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-95,969,000","-109,154,000","-131,220,000","-173,413,000","-104,296,000","-54,743,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-14,295,000","-15,105,000","-15,979,000","-17,590,000","-335,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"14,363,000","13,735,000","3,857,000","366,000","1,559,000","2,232,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-1,979,000","-51,900,000","1,271,000","106,686,000","-192,000","-21,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-97,980,000","-162,424,000","-142,071,000","-83,951,000","-103,264,000","-52,532,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-97,980,000","-162,424,000","-142,071,000","-83,951,000","-103,264,000","-52,532,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"1,831,000","991,000","-6,406,000","37,000","6,000","21,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-99,811,000","-163,415,000","-135,665,000","-83,988,000","-103,270,000","-52,553,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-99,811,000","-163,415,000","-135,665,000","-83,988,000","-103,270,000","-52,553,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"47,142,921","40,885,124","33,839,072","30,321,722","25,251,968","11,486,367",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"47,142,921","40,885,124","33,982,493","30,321,722","25,251,968","11,486,367",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),22.571%,20.312%,12.073%,20.077%,119.843%,1177.212%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.117,-3.997,-4.009,-2.770,-4.090,-4.575,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.120,-4.000,-4.019,-2.770,-4.090,-4.575,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-2,198,000","-71,053,000","-120,414,000","-132,782,000","-89,300,000","-39,643,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.047,-1.738,-3.543,-4.379,-3.536,-3.451,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,72.679%,74.761%,83.943%,90.056%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-31.257%,-58.567%,-170.278%,-906.119%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-32.509%,-87.681%,-176.047%,-438.855%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-0.716%,-38.124%,-156.256%,-693.813%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-72,902,000","-98,325,000","-127,982,000","-172,818,000","-103,991,000","-54,604,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-23.744%,-52.757%,-166.077%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"23,067,000","10,829,000","3,238,000","595,000","305,000","139,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-95,969,000","-109,154,000","-131,220,000","-173,413,000","-104,296,000","-54,743,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-31.257%,-58.567%,-170.278%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"307,028,000","186,374,000","77,062,000","19,138,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Advertising Expenses,-,"6,300,000","4,000,000","9,200,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
