Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+15 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+15 Quarters,,
"Selling, General & Admin","1,179,841","1,274,708","1,390,744","1,519,404","1,150,808","1,047,499","1,903,159","2,065,654","1,858,550","2,563,844","2,462,613","2,053,451","2,371,840","2,084,676","2,788,711","1,407,106","1,491,173","930,779","1,240,667","886,969",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"1,031,633","1,012,522","454,278","264,437","207,128","429,896","365,616","531,841","696,073","679,966","596,341","2,333,288","1,691,688","2,319,049","2,051,623","2,063,491","1,847,178","888,013","1,059,578","1,203,913",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"2,211,474","2,287,230","1,845,022","1,783,841","1,357,936","1,477,395","2,268,775","2,597,495","2,554,623","3,243,810","3,058,954","4,386,739","4,063,528","4,403,725","4,840,334","3,470,597","3,338,351","1,818,792","2,300,245","2,090,882",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-2,211,474","-2,287,230","-1,845,022","-1,783,841","-1,357,936","-1,477,395","-2,268,775","-2,597,495","-2,554,623","-3,243,810","-3,058,954","-4,386,739","-4,063,528","-4,403,725","-4,840,334","-3,470,597","-3,338,351","-1,818,792","-2,300,245","-2,090,882",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"50,694","51,404","22,801","11,225","10,236","19,426","28,892","47,821","3,472","6,930","5,115","2,201","2,862","1,181",295,"1,349","2,532","5,182","23,432","32,394",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,-,"-222,472","-189,870","-193,884",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-42,"62,063",-,"-51,901",-,-,-,-,-,-,"17,406",-,-,-,-,"2,500",-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,160,780","-2,458,298","-2,012,133","-1,904,437","-1,347,700","-1,509,870","-2,239,883","-2,549,674","-2,551,151","-3,236,880","-3,053,839","-4,384,538","-4,043,260","-4,402,544","-4,840,039","-3,469,248","-3,335,819","-1,811,110","-2,276,813","-2,058,488",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-,-,"-46,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-31,023",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,-,-,-,-,-,-,"-1,548,397",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"-4,464,427",-,-,-,-,-,-,-,"146,000","54,014","-274,524","-38,390","6,275",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-2,191,803","-2,458,298","-6,476,560","-1,904,437","-1,347,700","-1,509,870","-2,239,883","-2,549,674","-2,551,151","-3,236,880","-2,907,839","-5,924,921","-4,317,784","-4,440,934","-4,833,764","-3,469,248","-3,335,819","-1,811,110","-2,276,813","-2,058,488",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,-,-,-,-,-,-,"-94,077",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-2,191,803","-2,458,298","-6,476,560","-1,904,437","-1,347,700","-1,509,870","-2,239,883","-2,549,674","-2,551,151","-3,236,880","-2,907,839","-5,830,844","-4,317,784","-4,440,934","-4,833,764","-3,469,248","-3,335,819","-1,811,110","-2,276,813","-2,058,488",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,-,-,-,"-15,896","-37,276","2,597,674","-665,953","-317,021","-558,199","-610,652",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-2,191,803","-2,458,298","-6,476,560","-1,920,333","-1,384,976","1,087,804","-2,905,836","-2,866,695","-3,109,350","-3,847,532","-2,907,839","-5,830,844","-4,317,784","-4,440,934","-4,833,764","-3,469,248","-3,335,819","-1,811,110","-2,276,813","-2,058,488",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-2,191,803","-2,458,298","-6,476,560","-1,920,333","-1,384,976","1,087,804","-2,905,836","-2,866,695","-3,109,350","-3,847,532","-2,907,839","-5,830,844","-4,317,784","-4,440,934","-4,833,764","-3,469,248","-3,335,819","-1,811,110","-2,276,813","-2,058,488",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"5,835,682","4,182,760","2,953,913","2,334,660","1,178,537","1,131,436","1,058,542","1,029,552","1,028,982","972,641","926,048","830,448","793,924","703,554","636,476","575,079","545,846","451,681","419,893","424,492",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"5,835,682","4,182,760","2,953,913","2,334,660","1,178,537","1,131,436","1,058,542","1,029,552","1,028,982","972,641","926,048","830,448","793,924","703,554","636,476","575,079","545,846","451,681","419,893","424,492",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),395.163%,269.686%,179.055%,126.765%,14.534%,16.326%,14.307%,23.975%,29.607%,38.247%,45.496%,44.406%,45.448%,55.763%,51.581%,35.475%,33.101%,10.449%,27.230%,59.809%,Upgrade,Financials in USD,Fiscal year is January - December
