Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,-,"3,000","55,000","13,000","357,000","43,000","64,000","106,000","212,000","974,000","60,000","79,000","821,000","69,000","46,000","46,000","34,000","27,000","38,000","215,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-93.023%,-14.063%,-87.736%,68.396%,-95.585%,6.667%,34.177%,-74.178%,1311.594%,30.435%,71.739%,2314.706%,155.556%,21.053%,-78.605%,-82.474%,-68.605%,-82.407%,108.738%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"931,000","800,000","1,241,000","1,156,000","1,872,000","2,314,000","2,384,000","2,200,000","2,144,000","2,304,000","2,186,000","2,115,000","2,240,000","2,362,000","1,841,000","2,325,000","2,474,000","2,224,000","2,790,000","2,207,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-931,000","-797,000","-1,186,000","-1,143,000","-1,515,000","-2,271,000","-2,320,000","-2,094,000","-1,932,000","-1,330,000","-2,126,000","-2,036,000","-1,419,000","-2,293,000","-1,795,000","-2,279,000","-2,440,000","-2,197,000","-2,752,000","-1,992,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","825,000","852,000","1,089,000","941,000","1,083,000","1,181,000","1,190,000","924,000","1,128,000","1,166,000","1,201,000","1,425,000","1,289,000","1,196,000","1,177,000","1,219,000","1,408,000","1,377,000","1,857,000","1,543,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"825,000","852,000","1,089,000","941,000","1,083,000","1,181,000","1,190,000","924,000","1,128,000","1,166,000","1,201,000","1,425,000","1,289,000","1,196,000","1,177,000","1,219,000","1,408,000","1,377,000","1,857,000","1,543,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-1,756,000","-1,649,000","-2,275,000","-2,084,000","-2,598,000","-3,452,000","-3,510,000","-3,018,000","-3,060,000","-2,496,000","-3,327,000","-3,461,000","-2,708,000","-3,489,000","-2,972,000","-3,498,000","-3,848,000","-3,574,000","-4,609,000","-3,535,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-3,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,"73,000",-,-,-,-,-,-,-,-,-,-,-,"2,000","1,000","2,000","16,000","34,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"19,000","3,000","8,000","-61,000","24,000","28,000","9,000","-10,000","3,000","-1,000","2,000",-,"2,000","2,000","3,000","1,000","-1,000","-1,000","-1,000",-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-1,737,000","-1,646,000","-2,267,000","-2,072,000","-2,574,000","-3,424,000","-3,501,000","-3,028,000","-3,057,000","-2,497,000","-3,325,000","-3,461,000","-2,706,000","-3,487,000","-2,969,000","-3,498,000","-3,848,000","-3,573,000","-4,594,000","-3,501,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"509,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-1,737,000","-1,646,000","-2,267,000","-2,072,000","-2,574,000","-3,424,000","-3,501,000","-3,028,000","-3,057,000","-2,497,000","-3,325,000","-3,461,000","-2,706,000","-3,487,000","-2,969,000","-2,989,000","-3,848,000","-3,573,000","-4,594,000","-3,501,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-1,737,000","-1,646,000","-2,267,000","-2,072,000","-2,574,000","-3,424,000","-3,501,000","-3,028,000","-3,057,000","-2,497,000","-3,325,000","-3,461,000","-2,706,000","-3,487,000","-2,969,000","-2,989,000","-3,848,000","-3,573,000","-4,594,000","-3,501,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-1,737,000","-1,646,000","-2,267,000","-2,072,000","-2,574,000","-3,424,000","-3,501,000","-3,028,000","-3,057,000","-2,497,000","-3,325,000","-3,461,000","-2,706,000","-3,487,000","-2,969,000","-2,989,000","-3,848,000","-3,573,000","-4,594,000","-3,501,000",Upgrade,Financials in USD,Fiscal year is January - December
