Fiscal Quarter,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"326,000","96,000","71,000","105,000","54,000","111,000","87,000","2,000","87,000",-,"234,000",-,-,-,-,-,-,-,-,"23,000",Upgrade,Financials in USD,Fiscal year is July - June
Revenue Growth (YoY),503.704%,-13.514%,-18.391%,5150.000%,-37.931%,-,-62.821%,-,-,-,-,-,-,-,-,-,-,-,-,-54.000%,Upgrade,Financials in USD,Fiscal year is July - June
Cost of Revenue,"126,000","4,000",-,-,-,"9,000",-,-,-,-,-,-,-,-,-,-,-,"-1,000",-,"1,000",Upgrade,Financials in USD,Fiscal year is July - June
Gross Profit,"200,000","92,000","71,000","105,000","54,000","102,000","87,000","2,000","87,000",-,"234,000",-,-,-,-,-,-,"1,000",-,"22,000",Upgrade,Financials in USD,Fiscal year is July - June
"Selling, General & Admin","2,509,000","2,731,000","2,511,000","2,354,000","2,438,000","3,124,000","3,020,000","2,896,000","2,740,000","3,521,000","4,553,000","4,288,000","5,088,000","7,086,000","6,559,000","5,097,000","2,799,000","3,596,000","1,682,000","1,750,000",Upgrade,Financials in USD,Fiscal year is July - June
Research & Development,"2,889,000","3,395,000","3,094,000","2,964,000","2,993,000","3,522,000","4,167,000","3,785,000","4,270,000","5,361,000","6,156,000","6,507,000","6,353,000","7,501,000","7,666,000","7,977,000","5,938,000","4,919,000","5,717,000","4,640,000",Upgrade,Financials in USD,Fiscal year is July - June
Operating Expenses,"5,398,000","6,126,000","5,605,000","5,318,000","5,431,000","6,646,000","7,187,000","6,681,000","7,010,000","8,882,000","10,709,000","10,795,000","11,441,000","14,587,000","14,225,000","13,074,000","8,737,000","8,515,000","7,399,000","6,390,000",Upgrade,Financials in USD,Fiscal year is July - June
Operating Income,"-5,198,000","-6,034,000","-5,534,000","-5,213,000","-5,377,000","-6,544,000","-7,100,000","-6,679,000","-6,923,000","-8,882,000","-10,475,000","-10,795,000","-11,441,000","-14,587,000","-14,225,000","-13,074,000","-8,737,000","-8,514,000","-7,399,000","-6,368,000",Upgrade,Financials in USD,Fiscal year is July - June
Interest Expense,"-217,000","-218,000","-218,000","-216,000","-214,000","-220,000","-217,000","-212,000","-194,000","-211,000","-223,000","-225,000","-228,000","-420,000","-154,000","-126,000","-53,000",-,"-108,000",-,Upgrade,Financials in USD,Fiscal year is July - June
Interest & Investment Income,-,"1,314,000",-,-,-,"1,084,000",-,-,-,"581,000",-,-,-,"95,000","125,000","646,000","301,000","438,000",-,"24,000",Upgrade,Financials in USD,Fiscal year is July - June
