Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"49,412,000","356,000","481,000","2,042,000","9,398,000","6,835,000","157,957,000","27,230,000","26,460,000","29,378,000","28,231,000","27,986,000","28,563,000","27,872,000","26,280,000","25,800,000","57,763,000","21,553,000","13,076,000","54,851,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),425.771%,-94.792%,-99.695%,-92.501%,-64.482%,-76.734%,459.516%,-2.701%,-7.363%,5.403%,7.424%,8.473%,-50.551%,29.318%,100.979%,-52.963%,163.061%,22.823%,62.012%,104.386%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"27,732,000","24,823,000","35,291,000","42,306,000","57,089,000","59,246,000","63,216,000","66,179,000","65,116,000","60,019,000","58,584,000","51,801,000","62,498,000","60,086,000","56,434,000","52,358,000","45,287,000","41,523,000","41,479,000","38,329,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"21,680,000","-24,467,000","-34,810,000","-40,264,000","-47,691,000","-52,411,000","94,741,000","-38,949,000","-38,656,000","-30,641,000","-30,353,000","-23,815,000","-33,935,000","-32,214,000","-30,154,000","-26,558,000","12,476,000","-19,970,000","-28,403,000","16,522,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","8,649,000","14,745,000","11,467,000","10,299,000","13,918,000","14,814,000","18,136,000","16,443,000","16,238,000","15,093,000","14,908,000","16,084,000","14,501,000","16,486,000","16,148,000","16,874,000","16,177,000","17,927,000","16,119,000","15,053,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"8,649,000","14,745,000","11,467,000","10,299,000","13,918,000","14,814,000","18,136,000","16,443,000","16,238,000","15,093,000","14,908,000","16,084,000","14,501,000","16,486,000","16,148,000","16,874,000","16,177,000","17,927,000","16,119,000","15,053,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"13,031,000","-39,212,000","-46,277,000","-50,563,000","-61,609,000","-67,225,000","76,605,000","-55,392,000","-54,894,000","-45,734,000","-45,261,000","-39,899,000","-48,436,000","-48,700,000","-46,302,000","-43,432,000","-3,701,000","-37,897,000","-44,522,000","1,469,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"129,000","1,030,000","2,535,000","2,292,000","3,515,000","2,802,000","3,293,000","3,678,000","1,769,000","2,643,000","1,342,000","2,336,000","834,000","1,550,000","625,000","2,865,000","2,430,000","1,932,000","1,548,000","3,032,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,"-1,200,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"13,160,000","-38,182,000","-43,742,000","-49,471,000","-58,094,000","-64,423,000","79,898,000","-51,714,000","-53,125,000","-43,091,000","-43,919,000","-37,563,000","-47,602,000","-47,150,000","-45,677,000","-40,567,000","-1,271,000","-35,965,000","-42,974,000","4,501,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-2,400,000","3,300,000","-900,000","-11,200,000",-,"-5,000,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,"-38,000",-,-,"-38,138,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"400,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,"-1,172,000","-4,349,000","-258,000","-44,799,000","-51,347,000","-20,433,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"10,760,000","-36,054,000","-48,991,000","-60,567,000","-102,893,000","-120,770,000","21,327,000","-51,714,000","-53,125,000","-43,091,000","-43,919,000","-37,563,000","-47,602,000","-47,150,000","-45,677,000","-40,567,000","-1,271,000","-35,965,000","-42,974,000","4,501,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"88,000","74,000","98,000","-272,000","1,270,000","-6,264,000","194,000","259,000","30,000","82,000","58,000","-67,000","86,000","24,000","262,000","108,000","237,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"10,672,000","-36,128,000","-49,089,000","-60,295,000","-104,163,000","-114,506,000","21,133,000","-51,973,000","-53,155,000","-43,173,000","-43,977,000","-37,496,000","-47,688,000","-47,174,000","-45,939,000","-40,675,000","-1,508,000","-35,965,000","-42,974,000","4,501,000",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,000","6,000","71,000","-42,000","36,000","61,000","54,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"10,672,000","-36,128,000","-49,089,000","-60,295,000","-104,163,000","-114,506,000","21,133,000","-51,973,000","-53,155,000","-43,173,000","-43,977,000","-37,496,000","-47,688,000","-47,169,000","-45,933,000","-40,604,000","-1,550,000","-35,929,000","-42,913,000","4,555,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"1,287,000","-1,287,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"9,385,000","-34,841,000","-49,089,000","-60,295,000","-104,163,000","-114,506,000","21,133,000","-51,973,000","-53,155,000","-43,173,000","-43,977,000","-37,496,000","-47,688,000","-47,169,000","-45,933,000","-40,604,000","-1,550,000","-35,929,000","-42,913,000","4,555,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"208,345,000","203,946,000","180,342,000","177,619,000","177,171,000","174,325,000","168,533,000","164,717,000","158,042,000","148,158,000","146,218,000","145,740,000","145,399,000","143,984,000","143,112,000","141,508,000","141,100,000","138,977,000","116,060,000","115,903,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"214,325,000","203,946,000","180,342,000","177,619,000","177,171,000","174,325,000","169,181,000","164,717,000","158,042,000","148,158,000","146,218,000","145,740,000","145,399,000","143,984,000","143,112,000","141,508,000","141,100,000","138,977,000","116,060,000","126,653,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),20.971%,16.992%,6.597%,7.833%,12.104%,17.662%,15.705%,13.021%,8.695%,2.899%,2.170%,2.991%,3.047%,3.603%,23.309%,11.729%,21.943%,21.503%,13.484%,24.100%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),0.045,-0.171,-0.272,-0.339,-0.588,-0.657,0.125,-0.316,-0.336,-0.291,-0.301,-0.257,-0.328,-0.328,-0.321,-0.287,-0.011,-0.259,-0.370,0.039,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),0.040,-0.171,-0.272,-0.341,-0.590,-0.657,0.120,-0.320,-0.340,-0.291,-0.301,-0.257,-0.328,-0.328,-0.321,-0.287,-0.011,-0.259,-0.370,0.036,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"11,644,000","-26,884,000","-48,663,000","-53,209,000","-50,037,000","-66,251,000","-76,500,000","-64,523,000","-58,031,000","-59,430,000","-61,814,000","-55,572,000","-64,627,000","-59,830,000","-76,500,000","-8,306,000","29,058,000","157,074,000","-22,665,000","-27,597,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.054,-0.132,-0.270,-0.300,-0.282,-0.380,-0.452,-0.392,-0.367,-0.401,-0.423,-0.381,-0.444,-0.416,-0.535,-0.059,0.206,1.130,-0.195,-0.218,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,43.876%,-,-,-,-,-,59.979%,-143.037%,-146.092%,-104.299%,-107.516%,-85.096%,-118.808%,-115.578%,-114.741%,-102.938%,21.599%,-92.655%,-217.215%,30.122%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,26.372%,-11014.607%,-9620.998%,-2476.151%,-655.554%,-983.541%,48.497%,-203.423%,-207.460%,-155.674%,-160.324%,-142.568%,-169.576%,-174.727%,-176.187%,-168.341%,-6.407%,-175.832%,-340.486%,2.678%,Upgrade,Financials in USD,Fiscal year is January - December
