Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2015,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Jun '23 Jun 30, 2023","Jun '22 Jun 30, 2022","Jun '21 Jun 30, 2021","Jun '20 Jun 30, 2020",2019 - 2015,,
"Selling, General & Admin","3,748,631","3,078,814","2,551,054","2,328,737","2,629,565","3,300,935",Upgrade,Financials in USD,Fiscal year is July - June
Research & Development,"5,903,723","5,437,297","6,392,414","5,784,862","6,114,541","4,695,524",Upgrade,Financials in USD,Fiscal year is July - June
Operating Expenses,"9,652,354","8,516,111","8,943,468","8,113,599","8,744,106","7,996,459",Upgrade,Financials in USD,Fiscal year is July - June
Operating Income,"-9,652,354","-8,516,111","-8,943,468","-8,113,599","-8,744,106","-7,996,459",Upgrade,Financials in USD,Fiscal year is July - June
Interest Expense,"-13,315","-49,808",-938,"-5,123","-85,405","-93,670",Upgrade,Financials in USD,Fiscal year is July - June
Interest & Investment Income,"213,458","271,773","355,833","11,859","9,348","17,079",Upgrade,Financials in USD,Fiscal year is July - June
Other Non Operating Income (Expenses),-,-,-,-,-,"-5,987,982",Upgrade,Financials in USD,Fiscal year is July - June
EBT Excluding Unusual Items,"-9,452,211","-8,294,146","-8,588,573","-8,106,863","-8,820,163","-14,061,032",Upgrade,Financials in USD,Fiscal year is July - June
Gain (Loss) on Sale of Assets,-,-,-,-,"-2,026",-,Upgrade,Financials in USD,Fiscal year is July - June
Other Unusual Items,-,-,-,-,-,"614,494",Upgrade,Financials in USD,Fiscal year is July - June
Pretax Income,"-9,452,211","-8,294,146","-8,588,573","-8,106,863","-8,822,189","-13,446,538",Upgrade,Financials in USD,Fiscal year is July - June
Net Income,"-9,452,211","-8,294,146","-8,588,573","-8,106,863","-8,822,189","-13,446,538",Upgrade,Financials in USD,Fiscal year is July - June
Net Income to Common,"-9,452,211","-8,294,146","-8,588,573","-8,106,863","-8,822,189","-13,446,538",Upgrade,Financials in USD,Fiscal year is July - June
Shares Outstanding (Basic),"12,370,346","11,871,054","11,626,220","11,534,698","10,900,955","5,616,728",Upgrade,Financials in USD,Fiscal year is July - June
Shares Outstanding (Diluted),"12,370,346","11,871,054","11,626,220","11,534,698","10,900,955","5,616,728",Upgrade,Financials in USD,Fiscal year is July - June
Shares Change (YoY),6.112%,2.106%,0.793%,5.814%,94.080%,56.452%,Upgrade,Financials in USD,Fiscal year is July - June
EPS (Basic),-0.764,-0.699,-0.739,-0.703,-0.809,-2.394,Upgrade,Financials in USD,Fiscal year is July - June
EPS (Diluted),-0.764,-0.699,-0.739,-0.703,-0.809,-2.394,Upgrade,Financials in USD,Fiscal year is July - June
Free Cash Flow,"-7,933,709","-6,472,067","-5,821,763","-6,215,602","-8,452,601","-6,674,241",Upgrade,Financials in USD,Fiscal year is July - June
Free Cash Flow Per Share,-0.641,-0.545,-0.501,-0.539,-0.775,-1.188,Upgrade,Financials in USD,Fiscal year is July - June
EBITDA,"-8,886,851","-7,757,097","-8,195,939","-7,390,274","-8,039,568","-7,296,735",Upgrade,Financials in USD,Fiscal year is July - June
D&A For EBITDA,"765,503","759,014","747,529","723,325","704,538","699,724",Upgrade,Financials in USD,Fiscal year is July - June
EBIT,"-9,652,354","-8,516,111","-8,943,468","-8,113,599","-8,744,106","-7,996,459",Upgrade,Financials in USD,Fiscal year is July - June
