Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,-,-,"500,000","500,000","500,000","500,000",Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"1,671,818",-,-,"10,619,287","11,344,819","13,065,309",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-1,671,818",-,"500,000","-10,119,287","-10,844,819","-12,565,309",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","7,994,382","9,742,739","13,687,899","10,887,903","7,641,593","8,000,164",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"11,287,691","11,287,691","11,733,666",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"19,282,073","21,030,430","25,421,565","10,887,903","7,641,593","8,000,164",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-20,953,891","-21,030,430","-24,921,565","-21,007,190","-18,486,412","-20,565,473",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,"-197,080","-5,028,618","-569,881","-1,292,338","-1,393,400",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"618,675","1,157,625","453,356","10,996","119,907","500,882",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-396,319","-396,319","1,801","1,899",7,29,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-20,731,535","-20,466,204","-29,495,026","-21,564,176","-19,658,836","-21,457,962",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,"-1,976,101",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,"-329,158","5,396,000","1,387,581","-1,300,291","2,789,955",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-20,731,535","-20,795,362","-37,465,260","-22,152,696","-23,329,384","-18,668,007",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-1,280,385","-1,280,385","-1,567,026","-1,383,446","-1,845,823","-1,816,474",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-19,451,150","-19,514,977","-35,898,234","-20,769,250","-21,483,561","-16,851,533",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-19,451,150","-19,514,977","-35,898,234","-20,769,250","-21,483,561","-16,851,533",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"10,228,260","9,045,320","7,142,970","5,426,953","2,130,750","1,455,530",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"10,228,260","9,045,320","7,142,970","5,426,953","2,130,750","1,455,530",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),15.299%,26.632%,31.620%,154.697%,46.390%,24.172%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.902,-2.157,-5.026,-3.827,-10.083,-11.578,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.902,-2.157,-5.026,-3.827,-10.083,-11.578,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-18,220,885","-19,473,907","-23,364,695","-16,535,216","-15,637,768","-20,608,140",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.781,-2.153,-3.271,-3.047,-7.339,-14.159,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,100.000%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-4984.313%,-4201.438%,-3697.282%,-4113.095%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-7179.647%,-4153.850%,-4296.712%,-3370.307%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-4672.939%,-3307.043%,-3127.554%,-4121.628%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-20,679,308","-20,782,276","-24,725,055","-20,304,272","-17,744,888","-19,843,808",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"274,583","248,154","196,510","702,918","741,524","721,665",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-20,953,891","-21,030,430","-24,921,565","-21,007,190","-18,486,412","-20,565,473",Upgrade,Financials in USD,Fiscal year is January - December
