Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022",,
Revenue,-,-,-,-,"50,000,000",-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"33,530,000","33,807,000","22,645,000","21,458,000","9,352,000","14,916,000","15,347,000","15,973,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-33,530,000","-33,807,000","-22,645,000","-21,458,000","40,648,000","-14,916,000","-15,347,000","-15,973,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","7,454,000","5,895,000","4,933,000","4,361,000","5,024,000","3,990,000","3,739,000","3,224,000",Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,"-1,040,000",-,-,-,"-208,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"7,454,000","5,895,000","4,933,000","3,321,000","5,024,000","3,990,000","3,739,000","3,016,000",Financials in USD,Fiscal year is January - December
Operating Income,"-40,984,000","-39,702,000","-27,578,000","-24,779,000","35,624,000","-18,906,000","-19,086,000","-18,989,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,300,000",-,-,"700,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-100,000",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"178,000","1,725,000","-222,000","-207,000","-16,000","-142,000","-11,000","-5,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-38,606,000","-37,977,000","-27,800,000","-24,286,000","35,608,000","-19,048,000","-19,097,000","-18,994,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-38,606,000","-37,977,000","-27,800,000","-24,286,000","35,608,000","-29,048,000","-19,097,000","-18,994,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,"301,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-38,606,000","-37,977,000","-27,800,000","-24,587,000","35,608,000","-29,048,000","-19,097,000","-18,994,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,"31,885,000","-31,885,000",-,-,Financials in USD,Fiscal year is January - December
Net Income to Common,"-38,606,000","-37,977,000","-27,800,000","-24,587,000","3,723,000","2,837,000","-19,097,000","-18,994,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"7,697,695","1,567,269","1,554,087","1,541,532","1,537,918","1,533,069","1,512,203","1,501,732",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"7,697,695","1,567,269","1,554,087","1,541,532","1,898,391","1,533,069","1,512,203","1,501,732",Financials in USD,Fiscal year is January - December
Shares Change (YoY),305.485%,2.231%,2.770%,2.650%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-5.015,-24.231,-17.888,-15.950,2.421,1.851,-12.629,-12.648,Financials in USD,Fiscal year is January - December
EPS (Diluted),-5.020,-24.231,-17.888,-15.950,1.960,1.848,-12.629,-12.648,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-31,059,000","-30,994,000","-19,124,000","-15,417,000","31,846,000","-20,912,000","-26,063,000","-17,201,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-4.035,-19.776,-12.306,-10.001,16.775,-13.641,-17.235,-11.454,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,81.296%,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-,71.248%,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-,7.446%,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,63.692%,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-40,948,000","-39,667,000","-27,545,000","-24,749,000","35,650,000","-18,877,000","-19,058,000","-18,964,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,71.300%,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"36,000","35,000","33,000","30,000","26,000","29,000","28,000","25,000",Financials in USD,Fiscal year is January - December
EBIT,"-40,984,000","-39,702,000","-27,578,000","-24,779,000","35,624,000","-18,906,000","-19,086,000","-18,989,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,71.248%,-,-,-,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,-,"50,000,000",-,-,-,Financials in USD,Fiscal year is January - December
