Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2015,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Sep '24 Sep 30, 2024","Sep '23 Sep 30, 2023","Sep '22 Sep 30, 2022","Sep '21 Sep 30, 2021","Sep '20 Sep 30, 2020",2019 - 2015,,
Revenue,"3,551,000","3,551,000","240,735,000","243,231,000","138,287,000","87,992,000",Upgrade,Financials in USD,Fiscal year is October - September
Revenue Growth (YoY),-98.525%,-98.525%,-1.026%,75.889%,57.159%,-47.871%,Upgrade,Financials in USD,Fiscal year is October - September
Gross Profit,"3,551,000","3,551,000","240,735,000","243,231,000","138,287,000","87,992,000",Upgrade,Financials in USD,Fiscal year is October - September
"Selling, General & Admin","124,543,000","124,543,000","108,816,000","132,437,000","85,444,000","54,003,000",Upgrade,Financials in USD,Fiscal year is October - September
Research & Development,"480,088,000","480,088,000","336,921,000","289,301,000","201,879,000","127,148,000",Upgrade,Financials in USD,Fiscal year is October - September
Operating Expenses,"604,631,000","604,631,000","445,737,000","421,738,000","287,323,000","181,151,000",Upgrade,Financials in USD,Fiscal year is October - September
Operating Income,"-601,080,000","-601,080,000","-205,002,000","-178,507,000","-149,036,000","-93,159,000",Upgrade,Financials in USD,Fiscal year is October - September
Interest Expense,"-32,352,000","-32,352,000","-18,326,000",-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Interest & Investment Income,"22,720,000","22,720,000","15,299,000","5,033,000","6,120,000","9,191,000",Upgrade,Financials in USD,Fiscal year is October - September
Other Non Operating Income (Expenses),"-1,748,000","-1,748,000","1,538,000","765,000","2,070,000","-603,000",Upgrade,Financials in USD,Fiscal year is October - September
EBT Excluding Unusual Items,"-612,460,000","-612,460,000","-206,491,000","-172,709,000","-140,846,000","-84,571,000",Upgrade,Financials in USD,Fiscal year is October - September
Gain (Loss) on Sale of Investments,-,-,-,-,-,"20,000",Upgrade,Financials in USD,Fiscal year is October - September
Pretax Income,"-612,460,000","-612,460,000","-206,491,000","-172,709,000","-140,846,000","-84,551,000",Upgrade,Financials in USD,Fiscal year is October - September
Income Tax Expense,"-2,767,000","-2,767,000","2,784,000","3,785,000","2,000","2,000",Upgrade,Financials in USD,Fiscal year is October - September
Earnings From Continuing Operations,"-609,693,000","-609,693,000","-209,275,000","-176,494,000","-140,848,000","-84,553,000",Upgrade,Financials in USD,Fiscal year is October - September
Minority Interest in Earnings,"10,200,000","10,200,000","4,000,000","431,000",-,-,Upgrade,Financials in USD,Fiscal year is October - September
Net Income,"-599,493,000","-599,493,000","-205,275,000","-176,063,000","-140,848,000","-84,553,000",Upgrade,Financials in USD,Fiscal year is October - September
Net Income to Common,"-599,493,000","-599,493,000","-205,275,000","-176,063,000","-140,848,000","-84,553,000",Upgrade,Financials in USD,Fiscal year is October - September
Shares Outstanding (Basic),"119,784,000","119,784,000","106,750,000","105,426,000","103,745,000","100,722,000",Upgrade,Financials in USD,Fiscal year is October - September
Shares Outstanding (Diluted),"119,784,000","119,784,000","106,750,000","105,426,000","103,745,000","100,722,000",Upgrade,Financials in USD,Fiscal year is October - September
Shares Change (YoY),12.210%,12.210%,1.256%,1.620%,3.001%,2.144%,Upgrade,Financials in USD,Fiscal year is October - September
EPS (Basic),-5.005,-5.005,-1.923,-1.670,-1.358,-0.839,Upgrade,Financials in USD,Fiscal year is October - September
EPS (Diluted),-5.005,-5.005,-1.923,-1.670,-1.360,-0.840,Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow,"-604,320,000","-604,320,000","-330,627,000","-188,908,000","147,745,000","-107,753,000",Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow Per Share,-5.045,-5.045,-3.097,-1.792,1.424,-1.070,Upgrade,Financials in USD,Fiscal year is October - September
Gross Margin,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,Upgrade,Financials in USD,Fiscal year is October - September
Operating Margin,-16927.063%,-16927.063%,-85.157%,-73.390%,-107.773%,-105.872%,Upgrade,Financials in USD,Fiscal year is October - September
Profit Margin,-16882.371%,-16882.371%,-85.270%,-72.385%,-101.852%,-96.092%,Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow Margin,-17018.305%,-17018.305%,-137.341%,-77.666%,106.839%,-122.458%,Upgrade,Financials in USD,Fiscal year is October - September
EBITDA,"-582,485,000","-582,485,000","-192,509,000","-168,086,000","-140,769,000","-87,217,000",Upgrade,Financials in USD,Fiscal year is October - September
EBITDA Margin,-,-,-79.967%,-69.106%,-101.795%,-99.119%,Upgrade,Financials in USD,Fiscal year is October - September
D&A For EBITDA,"18,595,000","18,595,000","12,493,000","10,421,000","8,267,000","5,942,000",Upgrade,Financials in USD,Fiscal year is October - September
EBIT,"-601,080,000","-601,080,000","-205,002,000","-178,507,000","-149,036,000","-93,159,000",Upgrade,Financials in USD,Fiscal year is October - September
EBIT Margin,-,-,-85.157%,-73.390%,-107.773%,-105.872%,Upgrade,Financials in USD,Fiscal year is October - September
