Fiscal Quarter,Q2 2025,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"3,579,000","3,391,000","3,439,000","3,138,000","2,731,000","3,427,000","3,014,000","2,944,000","3,331,000","3,983,000","2,298,000","2,902,000","3,744,000","3,684,000","2,157,000","4,936,000","5,769,000","5,767,000","4,312,000","4,395,000",Upgrade,Financials in USD,Fiscal year is April - March
Revenue Growth (YoY),31.051%,-1.050%,14.101%,6.590%,-18.013%,-13.959%,31.158%,1.447%,-11.031%,8.116%,6.537%,-41.207%,-35.101%,-36.119%,-49.977%,12.309%,22.044%,28.298%,-1.597%,-16.761%,Upgrade,Financials in USD,Fiscal year is April - March
Cost of Revenue,"2,218,000","2,085,000","2,348,000","1,678,000","1,741,000","2,223,000","2,150,000","2,113,000","1,795,000","2,337,000","2,202,000","1,699,000","2,503,000","2,231,000","2,351,000","2,941,000","3,267,000","3,512,000","2,659,000","2,394,000",Upgrade,Financials in USD,Fiscal year is April - March
Gross Profit,"1,361,000","1,306,000","1,091,000","1,460,000","990,000","1,204,000","864,000","831,000","1,536,000","1,646,000","96,000","1,203,000","1,241,000","1,453,000","-194,000","1,995,000","2,502,000","2,255,000","1,653,000","2,001,000",Upgrade,Financials in USD,Fiscal year is April - March
"Selling, General & Admin","1,705,000","2,009,000","2,091,000","1,703,000","1,662,000","2,119,000","1,810,000","2,665,000","2,067,000","2,295,000","3,152,000","2,135,000","2,195,000","2,273,000","2,490,000","2,100,000","2,418,000","2,444,000","4,394,000","2,861,000",Upgrade,Financials in USD,Fiscal year is April - March
Research & Development,"506,000","470,000","409,000","601,000","536,000","325,000","201,000",-,"200,000","206,000","4,000","26,000","10,000","84,000","130,000","33,000","-85,000","476,000","483,000","248,000",Upgrade,Financials in USD,Fiscal year is April - March
Operating Expenses,"2,211,000","2,479,000","2,500,000","2,304,000","2,198,000","2,444,000","2,011,000","2,665,000","2,267,000","2,501,000","3,156,000","2,161,000","2,205,000","2,357,000","2,620,000","2,133,000","2,333,000","2,920,000","4,877,000","3,109,000",Upgrade,Financials in USD,Fiscal year is April - March
Operating Income,"-850,000","-1,173,000","-1,409,000","-844,000","-1,208,000","-1,240,000","-1,147,000","-1,834,000","-731,000","-855,000","-3,060,000","-958,000","-964,000","-904,000","-2,814,000","-138,000","169,000","-665,000","-3,224,000","-1,108,000",Upgrade,Financials in USD,Fiscal year is April - March
Interest Expense,-,-,-,-,-,-,-,-,-,-,"-9,000",-,"-4,000","-1,000",-,"-2,000",-,"-2,000","-70,000","-1,000",Upgrade,Financials in USD,Fiscal year is April - March
