Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"1,852,000","709,000","1,222,000","1,306,000","5,629,000","5,639,466",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),141.460%,-41.980%,-6.432%,-76.799%,-0.186%,164.171%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"500,000","488,000","725,000","716,000","3,803,000","3,885,390",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"1,352,000","221,000","497,000","590,000","1,826,000","1,754,076",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","10,729,000","12,184,000","9,170,000","10,954,000","2,930,000","2,960,340",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"8,304,000","9,066,000","9,370,000","7,092,000","2,674,000","1,791,842",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,"-23,000","-23,000","-306,000","-58,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"19,010,000","21,227,000","18,234,000","17,988,000","5,604,000","4,752,182",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-17,658,000","-21,006,000","-17,737,000","-17,398,000","-3,778,000","-2,998,106",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-4,000","-7,000",-169,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,"60,000",-,"2,937",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,"27,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"358,000","213,000","273,000","-20,000","64,000","35,461",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-17,300,000","-20,793,000","-17,437,000","-17,362,000","-3,721,000","-2,959,877",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-300,000","-300,000",-,"17,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-290,000","-290,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,"-30,000","-30,000","-1,398,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"300,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-17,920,000","-21,413,000","-18,835,000","-17,045,000","-3,721,000","-2,959,877",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-17,920,000","-21,413,000","-18,835,000","-17,045,000","-3,721,000","-2,959,877",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"8,650,000","798,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-26,570,000","-22,211,000","-18,835,000","-17,045,000","-3,721,000","-2,959,877",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"6,269,956","2,173,490","2,096,903","1,891,509","1,602,335","204,370",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"6,269,956","2,173,490","2,096,903","1,891,509","1,602,335","204,370",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),197.373%,3.652%,10.859%,18.047%,684.036%,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-4.238,-10.219,-8.982,-9.011,-2.322,-14.483,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-4.238,-10.219,-8.982,-9.011,-2.322,-14.483,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-15,298,000","-19,303,000","-14,538,000","-9,966,000","-2,495,000","-2,428,379",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.440,-8.881,-6.933,-5.269,-1.557,-11.882,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,73.002%,31.171%,40.671%,45.176%,32.439%,31.104%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-953.456%,-2962.764%,-1451.473%,-1332.159%,-67.117%,-53.163%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-1434.665%,-3132.722%,-1541.326%,-1305.130%,-66.104%,-52.485%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-826.026%,-2722.567%,-1189.689%,-763.093%,-44.324%,-43.060%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-16,706,000","-20,060,000","-16,844,000","-16,484,000","-2,993,000","-2,229,270",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-53.171%,-39.530%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"952,000","946,000","893,000","914,000","785,000","768,836",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-17,658,000","-21,006,000","-17,737,000","-17,398,000","-3,778,000","-2,998,106",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-67.117%,-53.163%,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"1,852,000","709,000","1,222,000","1,306,000","5,629,000","5,639,466",Upgrade,Financials in USD,Fiscal year is January - December
