Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,-,-,-,-,-,-,-,"31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000",Financials in USD,Fiscal year is January - December
Cost of Revenue,"646,000","4,847,000","3,420,000","7,294,000","270,000","5,809,000","5,018,000","4,871,000","5,259,000","4,912,000","5,161,000","3,270,000","5,265,000","3,292,000","2,753,000",-,-,"1,795,000","1,621,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-646,000","-4,847,000","-3,420,000","-7,294,000","-270,000","-5,809,000","-5,018,000","-4,840,000","-5,228,000","-4,881,000","-5,130,000","-3,239,000","-5,234,000","-3,261,000","-2,722,000","31,000","31,000","-1,764,000","-1,590,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,485,000","3,724,000","3,929,000","3,186,000","3,151,000","3,770,000","4,304,000","3,261,000","3,653,000","3,872,000","3,714,000","4,501,000","2,795,000","2,040,000","1,935,000","3,434,000","967,000","855,000","728,000",Financials in USD,Fiscal year is January - December
Research & Development,"4,626,000",-,"553,000",-,"5,440,000",-,"311,000",-,-,-,"142,000",-,-,-,-,"2,722,000","1,813,000",-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"8,111,000","3,724,000","4,482,000","3,186,000","8,591,000","3,770,000","4,615,000","3,261,000","3,653,000","3,872,000","3,856,000","4,501,000","2,795,000","2,040,000","1,935,000","6,156,000","2,780,000","855,000","728,000",Financials in USD,Fiscal year is January - December
Operating Income,"-8,757,000","-8,571,000","-7,902,000","-10,480,000","-8,861,000","-9,579,000","-9,633,000","-8,101,000","-8,881,000","-8,753,000","-8,986,000","-7,740,000","-8,029,000","-5,301,000","-4,657,000","-6,125,000","-2,749,000","-2,619,000","-2,318,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-487,000","-567,000","-646,000","-673,000","-669,000","-644,000","-609,000","-578,000","-519,000","-435,000","-175,000","-11,000","-14,000","-15,000","-12,000",-,-,-,"-72,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"236,000","240,000","320,000","415,000","502,000","453,000","711,000","804,000","343,000","70,000",-,-,-,-,-,"49,000","41,000","94,000",-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-1,638,000","-13,339,000","7,000","-519,000","593,000","156,000","736,000","2,792,000","369,000","4,969,000","8,287,000","8,883,000","-8,119,000","-11,764,000","191,000","-4,402,000","154,000","-351,000","618,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-10,646,000","-22,237,000","-8,221,000","-11,257,000","-8,435,000","-9,614,000","-8,795,000","-5,083,000","-8,688,000","-4,149,000","-874,000","1,132,000","-16,162,000","-17,080,000","-4,478,000","-10,478,000","-2,554,000","-2,876,000","-1,772,000",Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,"162,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,"464,000",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-10,646,000","-22,237,000","-8,221,000","-11,095,000","-8,435,000","-9,614,000","-8,795,000","-5,083,000","-8,688,000","-4,149,000","-874,000","1,596,000","-16,162,000","-17,080,000","-4,478,000","-10,478,000","-2,554,000","-2,876,000","-1,772,000",Financials in USD,Fiscal year is January - December
Net Income,"-10,646,000","-22,237,000","-8,221,000","-11,095,000","-8,435,000","-9,614,000","-8,795,000","-5,083,000","-8,688,000","-4,149,000","-874,000","1,596,000","-16,162,000","-17,080,000","-4,478,000","-10,478,000","-2,554,000","-2,876,000","-1,772,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-10,646,000","-22,237,000","-8,221,000","-11,095,000","-8,435,000","-9,614,000","-8,795,000","-5,083,000","-8,688,000","-4,149,000","-874,000","1,596,000","-16,162,000","-17,080,000","-4,478,000","-10,478,000","-2,554,000","-2,876,000","-1,772,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"32,013,569","29,878,210","29,197,537","28,981,726","28,919,810","28,919,810","28,919,810","28,899,426","28,891,909","28,810,224","28,690,511","28,754,391","23,325,716","11,720,530","11,647,789","11,616,984","11,614,754","11,614,754","11,614,495",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"32,013,569","29,878,210","29,197,537","28,981,726","28,919,810","28,919,810","28,919,810","28,899,426","28,891,909","28,810,224","28,690,511","28,754,391","23,325,716","11,720,530","11,647,789","11,616,984","11,614,754","11,614,754","11,614,495",Financials in USD,Fiscal year is January - December
Shares Change (YoY),10.698%,3.314%,0.960%,0.285%,0.097%,0.380%,0.799%,0.504%,23.863%,145.810%,146.317%,147.520%,100.828%,0.911%,0.287%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.333,-0.744,-0.282,-0.383,-0.292,-0.332,-0.304,-0.176,-0.301,-0.144,-0.030,0.056,-0.693,-1.457,-0.384,-0.902,-0.220,-0.248,-0.153,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.333,-0.744,-0.282,-0.383,-0.292,-0.332,-0.304,-0.176,-0.301,-0.144,-0.030,0.056,-0.693,-1.457,-0.384,-0.902,-0.220,-0.248,-0.153,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-6,573,000","-6,204,000","-8,445,000","-7,469,000","-8,911,000","-7,364,000","-10,957,000","-7,161,000","-9,599,000","-7,732,000","-8,224,000","-5,742,000","-7,286,000","-5,169,000","-5,856,000","-3,869,000","-2,231,000","-2,233,000","-2,214,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.205,-0.208,-0.289,-0.258,-0.308,-0.255,-0.379,-0.248,-0.332,-0.268,-0.287,-0.200,-0.312,-0.441,-0.503,-0.333,-0.192,-0.192,-0.191,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.000%,100.000%,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-,-,-,-,-26132.258%,-28648.387%,-28235.484%,-28987.097%,-24967.742%,-25900.000%,-17100.000%,-15022.581%,-19758.065%,-8867.742%,-8448.387%,-7477.419%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-,-,-,-,-16396.774%,-28025.806%,-13383.871%,-2819.355%,5148.387%,-52135.484%,-55096.774%,-14445.161%,-33800.000%,-8238.710%,-9277.419%,-5716.129%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-,-,-,-23100.000%,-30964.516%,-24941.935%,-26529.032%,-18522.581%,-23503.226%,-16674.194%,-18890.323%,-12480.645%,-7196.774%,-7203.226%,-7141.935%,Financials in USD,Fiscal year is January - December
EBITDA,"-8,512,000","-8,322,000","-7,651,000","-10,231,000","-8,616,000","-9,343,000","-9,403,000","-7,880,000","-8,676,000","-8,566,000","-8,821,000","-7,562,000","-8,008,000","-5,294,000","-4,631,000","-6,119,000","-2,704,000","-2,611,000","-2,286,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"245,000","249,000","251,000","249,000","245,000","236,000","230,000","221,000","205,000","187,000","165,000","178,000","21,000","7,000","26,000","6,000","45,000","8,000","32,000",Financials in USD,Fiscal year is January - December
EBIT,"-8,757,000","-8,571,000","-7,902,000","-10,480,000","-8,861,000","-9,579,000","-9,633,000","-8,101,000","-8,881,000","-8,753,000","-8,986,000","-7,740,000","-8,029,000","-5,301,000","-4,657,000","-6,125,000","-2,749,000","-2,619,000","-2,318,000",Financials in USD,Fiscal year is January - December
