Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
"Selling, General & Admin","8,210,000","7,427,000","7,059,000","6,178,000","5,666,000","5,780,000","5,828,000","5,467,000","4,368,000","4,089,000","3,702,000","3,734,000","3,196,000","2,599,000","1,497,000","1,205,000","405,000","318,000","281,000",Financials in USD,Fiscal year is January - December
Research & Development,"32,222,000","30,680,000","27,694,000","27,684,000","23,786,000","19,559,000","19,876,000","16,612,000","13,894,000","12,402,000","11,124,000","9,088,000","9,880,000","7,861,000","5,360,000","5,139,000","3,238,000","3,639,000","2,967,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"40,432,000","38,107,000","34,753,000","33,862,000","29,452,000","25,339,000","25,704,000","22,079,000","18,262,000","16,491,000","14,826,000","12,822,000","13,076,000","10,460,000","6,857,000","6,344,000","3,643,000","3,957,000","3,248,000",Financials in USD,Fiscal year is January - December
Operating Income,"-40,432,000","-38,107,000","-34,753,000","-33,862,000","-29,452,000","-25,339,000","-25,704,000","-22,079,000","-18,262,000","-16,491,000","-14,826,000","-12,822,000","-13,076,000","-10,460,000","-6,857,000","-6,344,000","-3,643,000","-3,957,000","-3,248,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"6,303,000","6,610,000","6,228,000","3,719,000","3,739,000","3,870,000","2,866,000","2,664,000","764,000","424,000","166,000","126,000","127,000","107,000","42,000","2,000","1,000","3,000","63,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-34,129,000","-31,497,000","-28,525,000","-30,143,000","-25,713,000","-21,469,000","-22,838,000","-19,415,000","-17,498,000","-16,067,000","-14,660,000","-12,696,000","-12,949,000","-10,353,000","-6,815,000","-6,342,000","-3,642,000","-3,954,000","-3,185,000",Financials in USD,Fiscal year is January - December
Net Income,"-34,129,000","-31,497,000","-28,525,000","-30,143,000","-25,713,000","-21,469,000","-22,838,000","-19,415,000","-17,498,000","-16,067,000","-14,660,000","-12,696,000","-12,949,000","-10,353,000","-6,815,000","-6,342,000","-3,642,000","-3,954,000","-3,185,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-34,129,000","-31,497,000","-28,525,000","-30,143,000","-25,713,000","-21,469,000","-22,838,000","-19,415,000","-17,498,000","-16,067,000","-14,660,000","-12,696,000","-12,949,000","-10,353,000","-6,815,000","-6,342,000","-3,642,000","-3,954,000","-3,185,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"93,813,346","93,515,356","87,567,307","64,774,775","63,459,560","63,380,430","63,265,800","63,231,580","51,844,904","49,622,752","49,544,589","49,367,716","49,264,938","49,258,449","1,559,868","1,010,183","989,203","532,403","420,482",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"93,813,346","93,515,356","87,567,307","64,774,775","63,459,560","63,380,430","63,265,800","63,231,580","51,844,904","49,622,752","49,544,589","49,367,716","49,264,938","49,258,449","1,559,868","1,010,183","989,203","532,403","420,482",Financials in USD,Fiscal year is January - December
Shares Change (YoY),47.832%,47.546%,38.412%,2.441%,22.403%,27.725%,27.695%,28.083%,5.237%,0.740%,3076.204%,4787.007%,4880.266%,9152.098%,270.971%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.364,-0.337,-0.326,-0.465,-0.405,-0.339,-0.361,-0.307,-0.338,-0.324,-0.296,-0.257,-0.263,-0.210,-4.369,-6.278,-3.682,-7.427,-7.575,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.364,-0.337,-0.330,-0.465,-0.405,-0.339,-0.361,-0.307,-0.338,-0.324,-0.296,-0.257,-0.263,-0.210,-4.369,-6.278,-3.682,-7.427,-7.575,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-27,894,000","-26,320,000","-28,895,000","-26,991,000","-22,515,000","-20,993,000","-27,194,000","-15,148,000","-13,293,000","-16,799,000","-12,941,000","-9,498,000","-8,713,000","-9,845,000","-6,119,000","-4,638,000","-3,278,000","-4,173,000","-2,748,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.297,-0.281,-0.330,-0.417,-0.355,-0.331,-0.430,-0.240,-0.256,-0.339,-0.261,-0.192,-0.177,-0.200,-3.923,-4.591,-3.314,-7.838,-6.535,Financials in USD,Fiscal year is January - December
EBITDA,"-39,893,000","-37,627,000","-34,280,000","-33,379,000","-29,003,000","-24,915,000","-25,509,000","-21,991,000","-18,162,000","-16,394,000","-14,743,000","-12,744,000","-13,012,000","-10,409,000","-6,778,000","-6,294,000","-3,593,000","-3,912,000","-3,208,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"539,000","480,000","473,000","483,000","449,000","424,000","195,000","88,000","100,000","97,000","83,000","78,000","64,000","51,000","79,000","50,000","50,000","45,000","40,000",Financials in USD,Fiscal year is January - December
EBIT,"-40,432,000","-38,107,000","-34,753,000","-33,862,000","-29,452,000","-25,339,000","-25,704,000","-22,079,000","-18,262,000","-16,491,000","-14,826,000","-12,822,000","-13,076,000","-10,460,000","-6,857,000","-6,344,000","-3,643,000","-3,957,000","-3,248,000",Financials in USD,Fiscal year is January - December
