Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,"8,000","170,000","11,068,000",-,-,-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-96.639%,-98.464%,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"8,000","170,000","11,068,000",-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","12,319,000","11,568,000","5,003,000","8,294,000","6,195,000","3,338,000",Financials in USD,Fiscal year is January - December
Research & Development,"16,638,000","12,767,000","9,078,000","6,319,000","6,227,000","7,532,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"28,957,000","24,335,000","14,081,000","14,613,000","12,422,000","10,870,000",Financials in USD,Fiscal year is January - December
Operating Income,"-28,949,000","-24,165,000","-3,013,000","-14,613,000","-12,422,000","-10,870,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-6,000","-822,000","-1,408,000","-1,417,000","-1,221,000","-761,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,295,000","244,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,"-3,152,000",-,"-398,000",-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-27,660,000","-27,895,000","-4,421,000","-16,428,000","-13,643,000","-11,631,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,"-402,000","314,000","50,000",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-27,660,000","-28,297,000","-4,107,000","-16,378,000","-13,643,000","-11,631,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,"1,100,000",-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-27,660,000","-28,297,000","-5,207,000","-16,378,000","-13,643,000","-11,631,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-27,660,000","-28,297,000","-5,207,000","-16,378,000","-13,643,000","-11,631,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"29,502,743","24,429,278","9,116,489","9,033,027","8,359,832","7,764,782",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"29,502,743","24,429,278","9,116,489","9,033,027","8,359,832","7,764,782",Financials in USD,Fiscal year is January - December
Shares Change (YoY),47.422%,167.968%,0.924%,8.053%,7.663%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.938,-1.158,-0.571,-1.813,-1.632,-1.498,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.938,-1.158,-0.571,-1.813,-1.632,-1.498,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-24,364,000","-21,300,000","-3,620,000","-6,585,000","-7,225,000","-8,994,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.826,-0.872,-0.397,-0.729,-0.864,-1.158,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,100.000%,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-361862.500%,-14214.706%,-27.223%,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-345750.000%,-16645.294%,-47.046%,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-304550.000%,-12529.412%,-32.707%,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-28,676,000","-23,666,000","-2,460,000","-14,060,000","-11,869,000","-10,494,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-22.226%,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"273,000","499,000","553,000","553,000","553,000","376,000",Financials in USD,Fiscal year is January - December
EBIT,"-28,949,000","-24,165,000","-3,013,000","-14,613,000","-12,422,000","-10,870,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-27.223%,-,-,-,Financials in USD,Fiscal year is January - December
