Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,-,-,-,-,-,-,"1,427,601","1,427,601","494,665","494,665","494,665","494,664","494,665","494,665","494,665","494,664","494,665","494,665",Financials in GBP,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,-,-,188.600%,188.600%,0%,0%,0%,0%,0%,0%,-,-,-,-,Financials in GBP,Fiscal year is January - December
Gross Profit,-,-,-,-,-,-,"1,427,601","1,427,601","494,665","494,665","494,665","494,664","494,665","494,665","494,665","494,664","494,665","494,665",Financials in GBP,Fiscal year is January - December
"Selling, General & Admin","1,115,459","2,142,714","1,631,184","1,631,184","1,494,177","2,231,461","1,763,802","1,763,802","2,605,385","2,605,385","1,176,434","1,047,080","442,640","442,640","555,555","475,865","587,665","587,666",Financials in GBP,Fiscal year is January - December
Research & Development,"939,292","1,298,942","1,645,652","1,645,652","2,103,028","1,934,304","1,746,007","1,746,007","1,849,071","1,849,071","1,645,683","1,603,448","1,453,879","1,453,879","1,567,424","1,542,300","1,785,097","1,785,098",Financials in GBP,Fiscal year is January - December
Other Operating Expenses,"37,588","2,386",-,-,"131,379","17,794",-,-,-,-,-,-,-,-,"-21,272",-,-,-,Financials in GBP,Fiscal year is January - December
Operating Expenses,"2,092,339","3,444,042","3,276,836","3,276,836","3,728,584","4,183,559","3,509,809","3,509,809","4,454,456","4,454,456","2,822,117","2,650,528","1,896,519","1,896,519","2,101,707","2,018,165","2,372,763","2,372,763",Financials in GBP,Fiscal year is January - December
Operating Income,"-2,092,339","-3,444,042","-3,276,836","-3,276,836","-3,728,584","-4,183,559","-2,082,208","-2,082,208","-3,959,791","-3,959,791","-2,327,452","-2,155,864","-1,401,854","-1,401,854","-1,607,042","-1,523,501","-1,878,098","-1,878,098",Financials in GBP,Fiscal year is January - December
Interest Expense,-,-,-43,-43,-,-,"-381,322","-381,322","-2,995,296","-2,995,296","-1,921,872","-1,153,718","-181,479","-181,479","-69,221","-73,634","-74,603","-74,604",Financials in GBP,Fiscal year is January - December
Interest & Investment Income,-,-,"30,157","30,157",-,-,-,-,2,2,5,7,10,11,410,32,293,294,Financials in GBP,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,"3,781","3,781",-,-,"-87,488","-87,488","27,001","27,001","20,317","-103,081",-,-,-,-,-,-,Financials in GBP,Fiscal year is January - December
Other Non Operating Income (Expenses),-,"11,446","-81,692","-81,692","5,067,316","3,148,648","1,208,060","1,208,060","6,824,413","6,824,413","-291,666","-3,889,879",-,-,-,-,-,-,Financials in GBP,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,092,339","-3,432,596","-3,324,633","-3,324,633","1,338,732","-1,034,911","-1,342,958","-1,342,958","-103,671","-103,671","-4,520,668","-7,302,535","-1,583,322","-1,583,323","-1,675,853","-1,597,103","-1,952,408","-1,952,408",Financials in GBP,Fiscal year is January - December
Other Unusual Items,-,-,-,-,"-645,845",-,"-70,172","-70,172",-,-,435,-,"2,973","2,973","-7,562","155,600","199,945","199,945",Financials in GBP,Fiscal year is January - December
