Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Operating Revenue,"49,019,000","48,871,000","34,508,000","35,643,000","31,809,000","29,542,000","20,453,000","20,091,000","21,575,000","21,518,000","20,340,000","19,048,000","17,811,000","17,297,000","14,948,000","14,235,000","14,385,000","8,049,000","11,810,000","12,597,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Revenue,"238,000","68,000","79,000","712,000","2,456,000","3,928,000","5,650,000","238,000","1,248,000","1,805,000","1,780,000","1,140,000","900,000","837,000","495,000","360,000","14,000","11,000","7,000","7,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"49,257,000","48,939,000","34,587,000","36,355,000","34,265,000","33,470,000","26,103,000","20,329,000","22,823,000","23,323,000","22,120,000","20,188,000","18,711,000","18,134,000","15,443,000","14,595,000","14,399,000","8,060,000","11,817,000","12,604,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),43.753%,46.218%,32.502%,78.833%,50.134%,43.506%,18.006%,0.698%,21.976%,28.615%,43.236%,38.321%,29.947%,124.988%,30.685%,15.797%,12.889%,-40.367%,-3.849%,10.717%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"12,018,000","12,539,000","10,553,000","11,302,000","10,067,000","10,000,000","8,271,000","6,165,000","6,721,000","6,534,000","5,963,000","5,080,000","4,947,000","4,417,000","3,770,000","3,937,000","3,696,000","3,204,000","3,626,000","3,565,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"37,239,000","36,400,000","24,034,000","25,053,000","24,198,000","23,470,000","17,832,000","14,164,000","16,102,000","16,789,000","16,157,000","15,108,000","13,764,000","13,717,000","11,673,000","10,658,000","10,703,000","4,856,000","8,191,000","9,039,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","33,645,000","31,817,000","28,813,000","26,212,000","21,033,000","19,957,000","15,888,000","15,239,000","15,421,000","14,185,000","13,398,000","11,172,000","11,356,000","9,123,000","8,164,000","7,441,000","8,436,000","6,954,000","8,416,000","7,640,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"2,273,000","3,053,000","2,149,000","3,336,000","1,421,000","1,161,000","734,000","703,000","775,000","914,000","658,000","3,942,000","6,125,000","425,000","592,000","591,000","670,000","749,000","403,000","424,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"35,918,000","34,870,000","30,962,000","29,548,000","22,454,000","21,118,000","16,622,000","15,942,000","16,196,000","15,099,000","14,056,000","15,114,000","17,481,000","9,548,000","8,756,000","8,032,000","9,106,000","7,703,000","8,819,000","8,064,000",Upgrade,Financials in USD,Fiscal year is January - December
