Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"32,962,000","38,025,000","485,424,000","375,203,000","233,155,000","11,612,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-34.588%,-92.167%,29.376%,60.924%,1907.880%,31.491%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"169,805,000","175,658,000","174,315,000","107,578,000","56,536,000","10,113,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-136,843,000","-137,633,000","311,109,000","267,625,000","176,619,000","1,499,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","85,400,000","75,179,000","66,755,000","48,761,000","15,752,000","4,012,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"171,221,000","99,574,000","86,198,000","63,212,000","20,588,000","5,616,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-308,064,000","-237,207,000","224,911,000","204,413,000","156,031,000","-4,117,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,"-6,811,000","-209,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"40,774,000","42,247,000","16,079,000","3,330,000","293,000","155,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,-,"186,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"10,193,000","14,902,000","9,654,000","11,906,000","8,320,000","1,774,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-257,097,000","-180,058,000","250,644,000","219,649,000","157,833,000","-2,211,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"18,600,000","2,100,000","-1,700,000","-500,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,"-8,400,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"36,329,000","3,929,000","-1,445,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-202,168,000","-174,029,000","239,099,000","219,149,000","157,833,000","-2,211,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-26,371,000","-27,631,000","80,580,000","65,685,000","38,915,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-175,797,000","-146,398,000","158,519,000","153,464,000","118,918,000","-2,211,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,"33,817,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-175,797,000","-146,398,000","158,519,000","153,464,000","85,101,000","-2,211,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,3.294%,29.050%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"293,051,722","289,166,486","285,056,606","275,763,745","159,195,023","151,327,560",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"293,051,722","289,166,486","314,827,255","318,294,236","263,129,765","151,327,560",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),1.705%,-8.151%,-1.089%,20.965%,73.881%,-11.678%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.600,-0.506,0.556,0.557,0.535,-0.015,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.610,-0.510,0.500,0.480,0.452,-0.015,Upgrade,Financials in USD,Fiscal year is January - December
EPS Growth,-,-,4.167%,6.210%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-197,364,000","-120,824,000","206,700,000","186,132,000","13,017,000","-1,303,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.673,-0.418,0.657,0.585,0.049,-0.009,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,64.090%,71.328%,75.752%,12.909%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-934.603%,-623.819%,46.333%,54.481%,66.922%,-35.455%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-533.332%,-385.005%,32.656%,40.902%,36.500%,-19.041%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-598.762%,-317.749%,42.581%,49.608%,5.583%,-11.221%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-222,243,000","-212,812,000","244,354,000","218,878,000","160,867,000","-2,513,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,50.338%,58.336%,68.996%,-21.641%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"85,821,000","24,395,000","19,443,000","14,465,000","4,836,000","1,604,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-308,064,000","-237,207,000","224,911,000","204,413,000","156,031,000","-4,117,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,46.333%,54.481%,66.921%,-35.455%,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,33.702%,29.973%,24.656%,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"32,962,000","38,025,000","485,424,000","375,203,000","233,155,000","11,612,000",Upgrade,Financials in USD,Fiscal year is January - December
