Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"126,617,000","101,214,000","53,163,000","37,312,000","68,427,000","26,902,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),33.661%,90.384%,42.482%,-45.472%,154.357%,-54.788%,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"126,617,000","101,214,000","53,163,000","37,312,000","68,427,000","26,902,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","31,929,000","30,018,000","40,449,000","39,160,000","36,031,000","36,765,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"87,978,000","77,680,000","106,549,000","114,194,000","112,936,000","131,619,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"119,907,000","107,698,000","146,998,000","153,354,000","148,967,000","168,384,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"6,710,000","-6,484,000","-93,835,000","-116,042,000","-80,540,000","-141,482,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"8,361,000","9,837,000","1,678,000","255,000","1,836,000","8,365,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-10,000","-30,000","340,000","-83,000","-27,000","-135,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"15,061,000","3,323,000","-91,817,000","-115,870,000","-78,731,000","-133,252,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,"-7,500,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"15,061,000","3,323,000","-99,317,000","-115,870,000","-78,731,000","-133,252,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"1,231,000","3,892,000",-,-,"-13,911,000","-427,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"13,830,000","-569,000","-99,317,000","-115,870,000","-64,820,000","-132,825,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"13,830,000","-569,000","-99,317,000","-115,870,000","-64,820,000","-132,825,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"83,392,982","73,808,237","65,739,844","64,146,848","46,145,563","45,335,927",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"83,710,795","73,808,237","65,739,844","64,146,848","46,145,563","45,335,927",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),19.680%,12.273%,2.483%,39.010%,1.786%,8.812%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),0.166,-0.008,-1.511,-1.806,-1.405,-2.930,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),0.162,-0.008,-1.511,-1.806,-1.405,-2.930,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-88,782,000","-56,875,000","-112,528,000","-120,640,000","2,950,000","-143,977,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.061,-0.771,-1.712,-1.881,0.064,-3.176,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,5.299%,-6.406%,-176.504%,-311.005%,-117.702%,-525.916%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,10.923%,-0.562%,-186.816%,-310.544%,-94.729%,-493.737%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-70.119%,-56.193%,-211.666%,-323.328%,4.311%,-535.191%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"8,551,000","-4,309,000","-91,392,000","-113,336,000","-77,967,000","-138,877,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,6.753%,-4.257%,-171.909%,-,-113.942%,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,841,000","2,175,000","2,443,000","2,706,000","2,573,000","2,605,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"6,710,000","-6,484,000","-93,835,000","-116,042,000","-80,540,000","-141,482,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,5.299%,-6.406%,-176.504%,-,-117.702%,-,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,8.173%,117.123%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
