Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"6,011,573","5,472,890","7,257,577","5,095,961","5,396,500","3,532,681","3,446,527","3,910,880","4,796,025","3,861,372","5,999,684","5,443,840","5,150,173","4,541,810","4,107,146","3,743,346","3,722,517","2,965,953","4,910,388","3,631,895",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),11.398%,54.922%,110.577%,30.302%,12.520%,-8.512%,-42.555%,-28.160%,-6.876%,-14.982%,46.079%,45.427%,38.352%,53.132%,-16.358%,3.069%,25.316%,9.448%,11.333%,23.668%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"4,428,019","4,242,404","4,962,218","3,311,221","4,129,619","2,488,793","3,145,752","2,329,704","2,949,974","2,154,044","2,896,461","2,883,125","2,731,469","2,467,489","2,504,958","2,122,310","2,000,066","1,682,717","2,674,285","1,793,799",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"1,583,554","1,230,486","2,295,359","1,784,740","1,266,881","1,043,888","300,775","1,581,176","1,846,051","1,707,328","3,103,223","2,560,715","2,418,704","2,074,321","1,602,188","1,621,036","1,722,451","1,283,236","2,236,103","1,838,096",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,372,312","1,586,591","1,332,861","1,194,783","1,332,438","1,248,845","1,446,446","1,576,522","1,193,080","1,187,568","1,496,679","1,325,455","1,100,116","858,706","945,749","1,084,971","850,905","887,878","1,064,798","1,108,101",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"786,136","1,030,502","1,262,550","1,066,455","1,118,489","1,099,538","1,110,368","1,049,408","1,269,761","1,138,767","1,035,935","1,089,848","1,047,498","1,000,107","1,031,064","1,170,429","1,123,144","1,086,627","974,428","972,460",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"2,158,448","2,617,093","2,595,411","2,261,238","2,450,927","2,348,383","2,556,814","2,625,930","2,462,841","2,326,335","2,532,614","2,415,303","2,147,614","1,858,813","1,976,813","2,255,400","1,974,049","1,974,505","2,039,226","2,080,561",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-574,894","-1,386,607","-300,052","-476,498","-1,184,046","-1,304,495","-2,256,039","-1,044,754","-616,790","-619,007","570,609","145,412","271,090","215,508","-374,625","-634,364","-251,598","-691,269","196,877","-242,465",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-144,141","-142,386","-146,003","-152,421","-144,616","-88,577","-89,984","-93,652","-89,430","-90,240","-75,214","-76,781","-78,526","-79,417","-79,635","-77,797","-75,941","-77,049","-181,900","-98,758",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"18,685","13,264","9,527","17,436","23,696","14,806","40,631","64,716","55,009","26,187","7,188","5,310","5,521","5,022","2,957","3,824","4,651","2,525","16,000","29,619",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,107,-,-,60,852,-,-,-,-,-,-,-,"-164,610",-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-700,350","-1,515,729","-436,528","-611,483","-1,304,966","-1,378,266","-2,305,285","-1,073,690","-651,211","-683,000","503,435","73,941","198,085","141,113","-451,303","-708,337","-322,888","-765,793","-133,633","-311,604",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,"-14,557",-,-,68,77,"-8,243","-3,666",-,-,"11,000","1,315","-42,278",-,"10,000","-36,037",-,-,"-3,266","-2,469",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"-527,000",-,-,-,"-589,000",-,-,-,-,-,-,-,"937,700",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-700,350","-1,530,286","-436,528","-1,138,483","-939,771","-1,378,189","-2,313,528","-1,666,356","-651,211","-683,000","514,435","75,256","155,807","141,113","-441,303","193,326","-322,888","-765,793","-136,899","-314,073",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"1,340","1,340","1,340","1,348",229,"1,525","1,525","1,510","3,867","1,148","1,148","1,122","8,043",-,-,"4,496",-,-,"-14,632","-3,622",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-701,690","-1,531,626","-437,868","-1,139,831","-940,000","-1,379,714","-2,315,053","-1,667,866","-655,078","-684,148","513,287","74,134","147,764","141,113","-441,303","188,830","-322,888","-765,793","-122,267","-310,451",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-701,690","-1,531,626","-437,868","-1,139,831","-940,000","-1,379,714","-2,315,053","-1,667,866","-655,078","-684,148","513,287","74,134","147,764","141,113","-441,303","188,830","-322,888","-765,793","-122,267","-310,451",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,-,-,-,-,-,-,-,-,-,-60.740%,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"8,164,423","7,810,037","7,750,864","7,750,000","7,746,864","7,746,864","7,746,864","7,746,886","7,746,864","7,744,567","7,742,120","7,743,508","7,741,864","7,658,612","7,219,436","7,215,000","7,212,919","7,212,919","7,212,919","5,408,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"8,164,423","7,810,037","7,750,864","7,750,000","7,746,864","7,746,864","7,746,864","7,746,886","7,746,864","7,744,567","7,789,474","7,743,508","7,820,294","7,761,056","7,219,436","7,215,000","7,212,919","7,212,919","7,212,919","5,408,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),5.390%,0.815%,0.052%,0.040%,-,0.030%,-0.547%,0.044%,-0.939%,-0.212%,7.896%,7.325%,8.421%,7.599%,0.090%,33.413%,0.046%,0.046%,27.289%,-1.691%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.086,-0.196,-0.056,-0.147,-0.121,-0.178,-0.299,-0.215,-0.085,-0.088,0.066,0.010,0.019,0.018,-0.061,0.026,-0.045,-0.106,-0.017,-0.057,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.090,-0.200,-0.060,-0.150,-0.121,-0.180,-0.300,-0.215,-0.085,-0.090,0.066,0.010,0.019,0.018,-0.061,0.026,-0.045,-0.110,-0.020,-0.057,Upgrade,Financials in USD,Fiscal year is January - December
EPS Growth,-,-,-,-,-,-,-,-,-,-,-,-63.421%,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-727,743","471,039","348,149","-804,415","-928,269","-1,389,914","-3,444,151","-2,788,001","-1,992,351","-569,832","-168,961","-116,701","-416,409","-148,507","-972,862","-128,431","-2,140,451","-93,385","-394,694","-738,051",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.089,0.060,0.045,-0.104,-0.120,-0.179,-0.445,-0.360,-0.257,-0.074,-0.022,-0.015,-0.053,-0.019,-0.135,-0.018,-0.297,-0.013,-0.055,-0.136,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,26.342%,22.483%,31.627%,35.023%,23.476%,29.549%,8.727%,40.430%,38.491%,44.215%,51.723%,47.039%,46.964%,45.672%,39.010%,43.304%,46.271%,43.266%,45.538%,50.610%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-9.563%,-25.336%,-4.134%,-9.351%,-21.941%,-36.926%,-65.458%,-26.714%,-12.860%,-16.031%,9.511%,2.671%,5.264%,4.745%,-9.121%,-16.946%,-6.759%,-23.307%,4.009%,-6.676%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-11.672%,-27.986%,-6.033%,-22.367%,-17.419%,-39.056%,-67.171%,-42.647%,-13.659%,-17.718%,8.555%,1.362%,2.869%,3.107%,-10.745%,5.044%,-8.674%,-25.819%,-2.490%,-8.548%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-12.106%,8.607%,4.797%,-15.785%,-17.201%,-39.344%,-99.931%,-71.288%,-41.542%,-14.757%,-2.816%,-2.144%,-8.085%,-3.270%,-23.687%,-3.431%,-57.500%,-3.149%,-8.038%,-20.321%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"100,228","-715,649","367,201","198,387","-483,635","-619,700","-1,599,129","-440,499","15,531","10,377","1,192,232","746,612","889,256","837,811","244,846","-20,802","349,189","-118,235","756,777","319,579",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,1.667%,-13.076%,5.059%,3.893%,-8.962%,-17.542%,-46.398%,-11.263%,0.324%,0.269%,19.872%,13.715%,17.267%,18.447%,5.961%,-0.556%,9.380%,-3.986%,15.412%,8.799%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"675,122","670,958","667,253","674,885","700,411","684,795","656,910","604,255","632,321","629,384","621,623","601,200","618,166","622,303","619,471","613,562","600,787","573,034","559,900","562,044",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-574,894","-1,386,607","-300,052","-476,498","-1,184,046","-1,304,495","-2,256,039","-1,044,754","-616,790","-619,007","570,609","145,412","271,090","215,508","-374,625","-634,364","-251,598","-691,269","196,877","-242,465",Upgrade,Financials in USD,Fiscal year is January - December
