Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+9 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+9 Quarters,,
"Selling, General & Admin","1,234,743","1,079,504","1,588,262","783,217","1,118,606","1,056,427","1,253,939","1,955,255","1,216,180","1,291,912","1,671,043","1,423,603","1,090,681","1,415,408","2,642,258","632,319","1,417,902","1,144,319","980,148","2,759,235",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"897,510","566,335","465,896","914,599","974,374","652,202","938,878","1,465,645","1,468,233","1,007,635","989,651","1,956,512","2,162,515","1,783,611","1,626,852","170,557","748,929","1,282,379","687,060","1,036,170",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"89,119","149,242","122,197",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"2,132,253","1,645,839","2,054,158","1,697,816","2,092,980","1,708,629","2,192,817","3,420,900","2,684,413","2,299,547","2,660,694","3,380,115","3,253,196","3,199,019","4,269,110","802,876","2,166,831","2,515,817","1,816,450","3,917,602",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-2,132,253","-1,645,839","-2,054,158","-1,697,816","-2,092,980","-1,708,629","-2,192,817","-3,420,900","-2,684,413","-2,299,547","-2,660,694","-3,380,115","-3,253,196","-3,199,019","-4,269,110","-802,876","-2,166,831","-2,515,817","-1,816,450","-3,917,602",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,200,"13,365","13,956","16,500","5,611","1,548","28,113","7,949","14,202","19,579","25,553",-,-,"6,041","4,010","14,526","10,392","3,042","3,200","6,972",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-275,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-786,786,-,-,"410,309",-592,-262,"41,685","1,045","-29,135","37,844","-31,394","20,151","9,417","-5,292",-654,"-4,412",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,132,053","-1,632,474","-2,040,202","-1,682,102","-2,086,583","-1,707,081","-2,164,704","-3,002,642","-2,670,803","-2,280,230","-2,593,456","-3,379,070","-3,282,331","-3,155,134","-4,296,494","-768,199","-2,147,022","-2,518,067","-1,813,904","-3,915,317",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-581,"-20,167",-,"-165,950","-18,803","-475,980","26,572","-397,363","21,949","-101,024","-13,717","-120,745","34,810","11,412","30,099","20,537","-12,672","3,664",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-2,132,053","-1,632,474","-2,040,783","-1,702,269","-2,086,583","-1,873,031","-2,183,507","-3,478,622","-2,644,231","-2,677,593","-2,571,507","-3,480,094","-3,296,048","-3,275,879","-4,261,684","-756,787","-2,116,923","-2,497,530","-1,826,576","-3,911,653",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-2,132,053","-1,632,474","-2,040,783","-1,702,269","-2,086,583","-1,873,031","-2,183,507","-3,478,622","-2,644,231","-2,677,593","-2,571,507","-3,480,094","-3,296,048","-3,275,879","-4,261,684","-756,787","-2,116,923","-2,497,530","-1,826,576","-3,911,653",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-990,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-2,132,053","-1,632,474","-2,040,783","-1,702,269","-2,086,583","-1,873,031","-2,183,507","-3,477,632","-2,644,231","-2,677,593","-2,571,507","-3,480,094","-3,296,048","-3,275,879","-4,261,684","-756,787","-2,116,923","-2,497,530","-1,826,576","-3,911,653",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"6,903,804","6,876,331","4,398,909","4,357,088","3,483,735","3,302,113","2,482,824","1,297,562","1,288,481","1,241,398","959,021","959,718","955,538","947,780","707,098","537,815","537,395","492,171","410,043","405,184",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"6,903,804","6,876,331","4,398,909","4,357,088","3,483,735","3,302,113","2,482,824","1,297,562","1,288,481","1,241,398","959,021","959,718","955,538","947,780","707,098","537,815","537,395","492,171","410,043","405,184",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),98.172%,108.240%,77.174%,235.790%,170.375%,166.000%,158.892%,35.202%,34.844%,30.980%,35.628%,78.448%,77.809%,92.571%,72.445%,32.734%,35.888%,28.128%,46.294%,99.754%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.309,-0.237,-0.464,-0.391,-0.599,-0.567,-0.879,-2.680,-2.052,-2.157,-2.681,-3.626,-3.449,-3.456,-6.027,-1.407,-3.939,-5.075,-4.455,-9.654,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.309,-0.237,-0.464,-0.391,-0.599,-0.567,-0.879,-2.680,-2.052,-2.157,-2.681,-3.626,-3.449,-3.456,-6.027,-1.407,-3.939,-5.075,-4.455,-9.654,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-1,634,564","-1,591,725","-1,723,956","-3,071,399","-1,636,580","-1,449,697","-2,289,418","-2,550,063","-2,388,682","-2,222,620","-2,136,489","-3,902,198","-2,702,885","-2,762,455","-2,722,591","-657,276","-1,495,629","-2,397,424","-1,582,869","-1,499,079",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.237,-0.231,-0.392,-0.705,-0.470,-0.439,-0.922,-1.965,-1.854,-1.790,-2.228,-4.066,-2.829,-2.915,-3.850,-1.222,-2.783,-4.871,-3.860,-3.700,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,-,-,-,-,-,-,-,-,-,-,-,"-3,379,854","-3,252,935","-3,198,758","-4,268,849","-802,752","-2,166,522","-2,515,512","-1,816,145","-3,917,293",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,-,-,-,-,-,-,-,-,-,-,-,261,261,261,261,124,309,305,305,309,Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-2,132,253","-1,645,839","-2,054,158","-1,697,816","-2,092,980","-1,708,629","-2,192,817","-3,420,900","-2,684,413","-2,299,547","-2,660,694","-3,380,115","-3,253,196","-3,199,019","-4,269,110","-802,876","-2,166,831","-2,515,817","-1,816,450","-3,917,602",Upgrade,Financials in USD,Fiscal year is January - December
