Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Currency,Fiscal_Year_period
Period Ending,"Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021",,
Revenue,"135,349,256","164,976,546","96,818,454","176,274,000","106,017,070","181,649,277","194,058,723","205,476,000","116,758,234","116,758,234","134,716,713","134,716,713",Financials in CNY,Fiscal year is April - March
Revenue Growth (YoY),27.667%,-9.179%,-50.109%,-14.212%,-9.199%,55.577%,44.049%,52.525%,-,-,-,-,Financials in CNY,Fiscal year is April - March
Cost of Revenue,"100,986,144","34,186,858","17,507,142","34,680,000","21,134,262","38,525,221","42,566,779","51,134,000","26,733,234","26,733,234","31,799,810","31,799,811",Financials in CNY,Fiscal year is April - March
Gross Profit,"34,363,112","130,789,688","79,311,312","141,594,000","84,882,808","143,124,056","151,491,944","154,342,000","90,024,999","90,024,999","102,916,902","102,916,903",Financials in CNY,Fiscal year is April - March
"Selling, General & Admin","62,601,562","149,864,707","111,082,293","111,008,000","46,215,800","96,495,847","100,616,153","96,002,000","76,688,043","76,688,043","67,432,091","67,432,092",Financials in CNY,Fiscal year is April - March
Research & Development,"58,135,992","65,811,800","78,213,200","100,640,000","96,902,526","97,936,893","53,573,107","70,288,000","43,585,527","43,585,527","62,025,604","62,025,605",Financials in CNY,Fiscal year is April - March
Other Operating Expenses,"6,789,028","-3,220,434","3,220,434",-,"6,537,346","-3,196,939","3,196,939",-,"1,157,122","1,157,122","1,532,844","1,532,845",Financials in CNY,Fiscal year is April - March
Operating Expenses,"127,526,582","212,456,073","192,515,927","211,648,000","149,655,672","191,235,801","157,386,199","166,290,000","121,430,693","121,430,693","130,990,540","130,990,541",Financials in CNY,Fiscal year is April - March
Operating Income,"-93,163,470","-81,666,385","-113,204,615","-70,054,000","-64,772,864","-48,111,745","-5,894,255","-11,948,000","-31,405,694","-31,405,694","-28,073,638","-28,073,638",Financials in CNY,Fiscal year is April - March
Interest Expense,"-23,237,808","-8,145,902","-6,898,098","-8,028,000","-9,113,673","-7,445,133","-7,840,867","-7,375,000","-1,182,370","-1,182,370","-176,347","-176,347",Financials in CNY,Fiscal year is April - March
Interest & Investment Income,-,"7,380","1,957,620",-,-,"650,567","266,433",-,-,-,-,-,Financials in CNY,Fiscal year is April - March
Other Non Operating Income (Expenses),"1,997,796","4,595,058","12,929,942","7,954,000","-7,980,064","2,987,051","21,889,949","342,000","1,755,297","1,755,297","8,549,112","8,549,112",Financials in CNY,Fiscal year is April - March
EBT Excluding Unusual Items,"-114,403,482","-85,209,849","-105,215,151","-70,128,000","-81,866,601","-51,919,260","8,421,260","-18,981,000","-30,832,767","-30,832,767","-19,700,873","-19,700,873",Financials in CNY,Fiscal year is April - March
Gain (Loss) on Sale of Investments,-,-,-,-,"-29,695,697","-36,212,762","-37,610,238","-34,473,000","-32,824,287","-32,824,287","-32,506,875","-32,506,876",Financials in CNY,Fiscal year is April - March
Asset Writedown,"-80,236,996",-,-,-,-,-,-,-,-,-,-,-,Financials in CNY,Fiscal year is April - March
Pretax Income,"-194,640,478","-85,209,849","-105,215,151","-70,128,000","-111,562,298","-88,132,022","-29,188,978","-53,454,000","-63,657,054","-63,657,054","-52,207,748","-52,207,749",Financials in CNY,Fiscal year is April - March
Income Tax Expense,"-13,468,607","-7,439,647","-234,353","-586,000","-597,496","1,165,375","-46,375","612,000","-376,232","-376,232","2,844,793","2,844,793",Financials in CNY,Fiscal year is April - March
Net Income,"-181,171,871","-77,770,202","-104,980,798","-69,542,000","-110,964,802","-89,297,397","-29,142,603","-54,066,000","-63,280,822","-63,280,822","-55,052,541","-55,052,542",Financials in CNY,Fiscal year is April - March
Preferred Dividends & Other Adjustments,-,-,-,-,"-29,695,697","-36,212,762","-37,610,238","-34,473,000","-32,824,287","-32,824,287","-32,506,875","-32,506,876",Financials in CNY,Fiscal year is April - March
Net Income to Common,"-181,171,871","-77,770,202","-104,980,798","-69,542,000","-81,269,105","-53,084,635","8,467,635","-19,593,000","-30,456,535","-30,456,535","-22,545,666","-22,545,666",Financials in CNY,Fiscal year is April - March
Shares Outstanding (Basic),"14,851,788","9,305,820","9,305,820","9,305,820","6,178,547","6,178,547","6,174,306","6,182,788","353,309,256",-,"35,330,926","35,330,926",Financials in CNY,Fiscal year is April - March
Shares Outstanding (Diluted),"14,851,788","9,305,820","9,305,820","9,305,820","6,178,547","6,178,547","6,174,306","6,182,788","353,309,256",-,"35,330,926","35,330,926",Financials in CNY,Fiscal year is April - March
Shares Change (YoY),140.377%,50.615%,50.718%,50.512%,-98.251%,-,-82.524%,-82.500%,-,-,-,-,Financials in CNY,Fiscal year is April - March
EPS (Basic),-12.199,-8.357,-11.281,-7.473,-13.153,-8.592,1.371,-3.169,-0.086,-,-0.638,-0.638,Financials in CNY,Fiscal year is April - March
EPS (Diluted),-12.199,-8.357,-11.281,-7.473,-13.153,-8.592,1.371,-3.169,-0.086,-,-0.638,-0.638,Financials in CNY,Fiscal year is April - March
