Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022",,
"Selling, General & Admin","12,972,000","10,916,000","9,465,000","8,201,000","7,236,000","4,939,000","4,203,000","2,158,363","622,000","368,000","60,000",Financials in USD,Fiscal year is January - December
Research & Development,"45,714,000","33,206,000","28,716,000","28,954,000","17,069,000","13,946,000","8,455,000","14,733,997","9,885,000","1,448,000","4,245,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"58,686,000","44,122,000","38,181,000","37,155,000","24,305,000","18,885,000","12,658,000","16,892,361","10,507,000","1,816,000","4,305,000",Financials in USD,Fiscal year is January - December
Operating Income,"-58,686,000","-44,122,000","-38,181,000","-37,155,000","-24,305,000","-18,885,000","-12,658,000","-16,892,361","-10,507,000","-1,816,000","-4,305,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"9,668,000","10,306,000","6,087,000","5,420,000","3,465,000",-,"133,000","100,364",-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,"-831,817","-9,150,000",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-49,018,000","-33,816,000","-32,094,000","-31,735,000","-20,840,000","-18,885,000","-12,525,000","-17,623,815","-19,657,000","-1,816,000","-4,305,000",Financials in USD,Fiscal year is January - December
Net Income,"-49,018,000","-33,816,000","-32,094,000","-31,735,000","-20,840,000","-18,885,000","-12,525,000","-17,623,815","-19,657,000","-1,816,000","-4,305,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-49,018,000","-33,816,000","-32,094,000","-31,735,000","-20,840,000","-18,885,000","-12,525,000","-17,623,815","-19,657,000","-1,816,000","-4,305,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"56,795,544","56,515,003","50,189,808","48,393,570","41,231,379","5,000,000","5,000,000","5,298,736","2,078,804","1,250,000","1,026,786",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"56,795,544","56,515,003","50,189,808","48,393,570","41,231,379","5,000,000","5,000,000","5,298,736","2,078,804","1,250,000","1,026,786",Financials in USD,Fiscal year is January - December
Shares Change (YoY),37.748%,1030.300%,903.796%,813.304%,1883.418%,300.000%,386.956%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.863,-0.598,-0.639,-0.656,-0.505,-3.777,-2.505,-3.326,-9.456,-1.453,-4.193,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.863,-0.598,-0.639,-0.656,-0.505,-3.777,-2.505,-3.326,-9.456,-1.453,-4.193,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-43,275,000","-29,351,000","-31,987,000","-29,921,000","-19,880,000","-14,570,000","-10,557,000","-10,682,362","-7,238,000",-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.762,-0.519,-0.637,-0.618,-0.482,-2.914,-2.111,-2.016,-3.482,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-58,638,000","-44,086,000","-38,152,000",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"48,000","36,000","29,000",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBIT,"-58,686,000","-44,122,000","-38,181,000","-37,155,000","-24,305,000","-18,885,000","-12,658,000","-16,892,361","-10,507,000","-1,816,000","-4,305,000",Financials in USD,Fiscal year is January - December
