Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q2 2021,Q1 2021,Q4 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020",,
"Selling, General & Admin","16,016,000","15,194,000","14,317,000","11,236,000","15,263,000","9,293,000","9,683,000","7,195,000","8,053,000","7,786,000","8,087,000","7,638,000","6,306,000","3,942,000","4,295,000",Financials in USD,Fiscal year is January - December
Research & Development,"60,630,000","48,628,000","45,757,000","38,864,000","41,601,000","32,769,000","29,485,000","23,523,000","22,549,000","23,528,000","22,149,000","18,909,000","10,894,000","11,503,000","10,658,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"76,646,000","63,822,000","60,074,000","50,100,000","56,864,000","42,062,000","39,168,000","30,718,000","30,602,000","31,314,000","30,236,000","26,547,000","17,200,000","15,445,000","14,953,000",Financials in USD,Fiscal year is January - December
Operating Income,"-76,646,000","-63,822,000","-60,074,000","-50,100,000","-56,864,000","-42,062,000","-39,168,000","-30,718,000","-30,602,000","-31,314,000","-30,236,000","-26,547,000","-17,200,000","-15,445,000","-14,953,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"4,209,000","5,271,000","6,365,000","5,646,000","3,838,000","3,558,000","3,569,000","2,285,000","1,406,000","784,000","86,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-57,000","-24,000","-12,000","-104,000","-1,000","-39,000","-26,000","269,000","-148,000","158,000","108,000","-422,000","189,000","141,000","-70,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-72,494,000","-58,575,000","-53,721,000","-44,558,000","-53,027,000","-38,543,000","-35,625,000","-28,164,000","-29,344,000","-30,372,000","-30,042,000","-26,969,000","-17,011,000","-15,304,000","-15,023,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-700,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,"18,000",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-72,494,000","-58,575,000","-53,721,000","-108,462,000","-53,027,000","-38,543,000","-35,625,000","-28,146,000","-29,344,000","-30,372,000","-43,042,000","-26,969,000","-17,011,000","-15,304,000","-19,998,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"53,000","125,000",-,"268,000",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-72,547,000","-58,700,000","-53,721,000","-108,730,000","-53,027,000","-38,543,000","-35,625,000","-28,146,000","-29,344,000","-30,372,000","-43,042,000","-26,969,000","-17,011,000","-15,304,000","-19,998,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-72,547,000","-58,700,000","-53,721,000","-108,730,000","-53,027,000","-38,543,000","-35,625,000","-28,146,000","-29,344,000","-30,372,000","-43,042,000","-26,969,000","-17,011,000","-15,304,000","-19,998,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"159,576,000","158,984,000","157,943,000","152,832,000","46,691,000","30,125,000","29,277,000","28,305,000","27,646,000","26,849,597","26,015,063","25,132,991","20,810,063","19,210,327","15,981,035",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"159,576,000","158,984,000","157,943,000","152,832,000","46,691,000","30,125,000","29,277,000","28,305,000","27,646,000","26,849,597","26,015,063","25,132,991","20,810,063","19,210,327","15,981,035",Financials in USD,Fiscal year is January - December
Shares Change (YoY),241.770%,427.748%,439.478%,439.947%,68.889%,12.199%,12.539%,12.621%,32.849%,39.766%,62.787%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.455,-0.369,-0.340,-0.711,-1.136,-1.279,-1.217,-0.994,-1.061,-1.131,-1.655,-1.073,-0.817,-0.797,-1.251,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.455,-0.369,-0.340,-0.711,-1.136,-1.279,-1.217,-0.994,-1.061,-1.131,-1.655,-1.073,-0.817,-0.797,-1.251,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-33,483,000","-56,158,000","-43,730,000","-51,486,000","-47,810,000","-31,022,000","-33,077,000","-30,389,000","-25,894,000","-26,762,000","-32,362,000","-29,540,000","-13,706,000","-15,517,000","-17,812,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.210,-0.353,-0.277,-0.337,-1.024,-1.030,-1.130,-1.074,-0.937,-0.997,-1.244,-1.175,-0.659,-0.808,-1.115,Financials in USD,Fiscal year is January - December
EBITDA,"-76,490,000","-63,662,000","-59,916,000","-49,934,000","-56,691,000","-41,891,000","-39,010,000","-30,571,000","-30,456,000","-31,160,000","-30,089,000","-26,416,000","-17,075,000","-15,313,000","-14,890,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"156,000","160,000","158,000","166,000","173,000","171,000","158,000","147,000","146,000","154,000","147,000","131,000","125,000","132,000","63,000",Financials in USD,Fiscal year is January - December
