Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+7 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+7 Quarters,,
Revenue,-,-,"22,000","-44,000","22,000","22,000","30,000","-40,000","49,000","86,000","61,000","51,000","49,000","44,000","38,345,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-26.667%,-,-55.102%,-74.419%,-50.820%,-,0%,95.455%,-99.841%,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"44,713,000","50,355,000","52,259,000","54,661,000","45,977,000","62,038,000","80,238,000","75,419,000","63,641,000","57,171,000","60,156,000","53,983,000","58,720,000","52,290,000","55,183,000","52,228,000","51,421,000","47,296,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-44,713,000","-50,355,000","-52,237,000","-54,705,000","-45,955,000","-62,016,000","-80,208,000","-75,459,000","-63,592,000","-57,085,000","-60,095,000","-53,932,000","-58,671,000","-52,246,000","-16,838,000","-52,228,000","-51,421,000","-47,296,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","16,333,000","16,087,000","17,267,000","17,224,000","17,041,000","18,524,000","18,884,000","21,002,000","18,897,000","19,509,000","19,897,000","19,961,000","18,999,000","18,783,000","16,363,000","17,134,000","16,619,000","15,862,000","15,641,000","15,212,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"42,042,000","49,363,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"16,333,000","16,087,000","17,267,000","17,224,000","17,041,000","18,524,000","18,884,000","21,002,000","18,897,000","19,509,000","19,897,000","19,961,000","18,999,000","18,783,000","16,363,000","17,134,000","16,619,000","15,862,000","57,683,000","64,575,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-61,046,000","-66,442,000","-69,504,000","-71,929,000","-62,996,000","-80,540,000","-99,092,000","-96,461,000","-82,489,000","-76,594,000","-79,992,000","-73,893,000","-77,670,000","-71,029,000","-33,201,000","-69,362,000","-68,040,000","-63,158,000","-57,683,000","-64,575,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-100,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
