Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"117,085,000","109,332,000","92,761,000","93,401,000","86,742,000","82,491,000","68,778,000","79,545,000","75,827,000","65,532,000","49,923,000","47,158,000","40,994,000","49,959,000","19,059,000","4,016,000","6,102,000","2,871,000","4,823,000","39,725,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),34.981%,32.538%,34.870%,17.419%,14.395%,25.879%,37.768%,68.678%,84.971%,31.172%,161.939%,1074.253%,571.813%,1640.125%,295.169%,-89.890%,243.775%,98.273%,-18.074%,1355.661%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"44,309,000","39,357,000","47,885,000","67,115,000","48,015,000","52,197,000","49,326,000","75,703,000","56,353,000","62,237,000","65,598,000","63,948,000","50,586,000","53,216,000","48,322,000","35,435,000","31,771,000","27,498,000","29,936,000","29,345,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"72,776,000","69,975,000","44,876,000","26,286,000","38,727,000","30,294,000","19,452,000","3,842,000","19,474,000","3,295,000","-15,675,000","-16,790,000","-9,592,000","-3,257,000","-29,263,000","-31,419,000","-25,669,000","-24,627,000","-25,113,000","10,380,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","65,084,000","61,214,000","59,364,000","64,028,000","50,648,000","50,997,000","47,867,000","50,153,000","36,919,000","38,017,000","34,282,000","42,387,000","27,992,000","26,325,000","22,114,000","20,986,000","17,195,000","13,883,000","11,197,000","10,489,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"65,084,000","61,214,000","59,364,000","64,028,000","50,648,000","50,997,000","47,867,000","50,153,000","36,919,000","38,017,000","34,282,000","42,387,000","27,992,000","26,325,000","22,114,000","20,986,000","17,195,000","13,883,000","11,197,000","10,489,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"7,692,000","8,761,000","-14,488,000","-37,742,000","-11,921,000","-20,703,000","-28,415,000","-46,311,000","-17,445,000","-34,722,000","-49,957,000","-59,177,000","-37,584,000","-29,582,000","-51,377,000","-52,405,000","-42,864,000","-38,510,000","-36,310,000","-109,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-24,828,000","-24,733,000","-24,506,000","-24,583,000","-27,345,000","-28,915,000","-27,396,000","-26,458,000","-24,775,000","-24,022,000","-23,837,000","-18,780,000","-14,115,000","-13,495,000","-12,904,000","-5,609,000","-2,927,000","-2,918,000","-3,047,000","-3,087,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"3,591,000","3,554,000","4,031,000","4,465,000","4,184,000","3,750,000","3,378,000","2,704,000","1,760,000","609,000","54,000","14,000","9,000","13,000","26,000","526,000",-,"2,758,000","308,000","388,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"98,000","-84,000","-51,000","-374,000","-737,000","301,000","-229,000","-1,400,000","-538,000","132,000","-177,000","-421,000","-111,000","-134,000","-29,000","-996,000","-12,000","63,000","-20,000","186,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,000","-312,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-13,447,000","-12,502,000","-35,014,000","-58,234,000","-35,819,000","-45,567,000","-52,662,000","-71,465,000","-40,998,000","-58,003,000","-73,917,000","-78,364,000","-51,801,000","-43,198,000","-64,284,000","-58,482,000","-46,115,000","-38,607,000","-39,069,000","-2,622,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,"-3,380,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,"-1,548,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,470,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,"-29,019,000",-,-,-,-,-,"62,838,000","-7,000,000",-,-,"-2,011,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-13,447,000","-12,502,000","-35,014,000","-63,162,000","-35,819,000","-74,586,000","-52,662,000","-71,465,000","-40,998,000","-58,003,000","-73,917,000","-15,526,000","-58,801,000","-43,198,000","-64,284,000","-60,493,000","-46,115,000","-38,607,000","-37,599,000","-2,622,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"586,000","172,000","365,000","-1,431,000","330,000","740,000","671,000","76,000","1,522,000","856,000","279,000","2,253,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-14,033,000","-12,674,000","-35,379,000","-61,731,000","-36,149,000","-75,326,000","-53,333,000","-71,541,000","-42,520,000","-58,859,000","-74,196,000","-17,779,000","-58,801,000","-43,198,000","-64,284,000","-60,493,000","-46,115,000","-38,607,000","-37,599,000","-2,622,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-14,033,000","-12,674,000","-35,379,000","-61,731,000","-36,149,000","-75,326,000","-53,333,000","-71,541,000","-42,520,000","-58,859,000","-74,196,000","-17,779,000","-58,801,000","-43,198,000","-64,284,000","-60,493,000","-46,115,000","-38,607,000","-37,599,000","-2,622,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"206,905,000","206,425,000","206,064,000","201,409,000","189,644,000","189,118,000","188,509,000","186,922,000","186,180,000","185,605,000","184,898,000","181,843,000","179,106,000","178,127,000","177,343,000","176,618,000","176,521,000","161,569,000","154,156,000","131,303,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"206,905,000","206,425,000","206,064,000","201,409,000","189,644,000","189,118,000","188,509,000","186,922,000","186,180,000","185,605,000","184,898,000","181,843,000","179,106,000","178,127,000","177,343,000","176,618,000","176,521,000","161,569,000","154,156,000","131,303,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),9.102%,9.151%,9.313%,7.750%,1.861%,1.893%,1.953%,2.793%,3.950%,4.198%,4.260%,2.958%,1.464%,10.248%,15.041%,34.512%,59.869%,46.431%,39.929%,19.582%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.068,-0.061,-0.172,-0.306,-0.191,-0.398,-0.283,-0.383,-0.228,-0.317,-0.401,-0.098,-0.328,-0.243,-0.362,-0.343,-0.261,-0.239,-0.244,-0.020,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.068,-0.061,-0.172,-0.306,-0.191,-0.400,-0.283,-0.383,-0.228,-0.320,-0.401,-0.098,-0.328,-0.243,-0.362,-0.343,-0.261,-0.239,-0.244,-0.020,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"8,186,000","-1,523,000","-53,919,000","-9,472,000","-20,884,000","-19,281,000","-47,672,000","-24,375,000","-32,619,000","-28,001,000","-78,206,000","-33,567,000","-23,641,000","-26,224,000","-61,110,000","-42,686,000","-38,427,000","-31,112,000","-23,397,000","-10,528,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.040,-0.007,-0.262,-0.047,-0.110,-0.102,-0.253,-0.130,-0.175,-0.151,-0.423,-0.185,-0.132,-0.147,-0.345,-0.242,-0.218,-0.193,-0.152,-0.080,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,62.157%,64.002%,48.378%,28.143%,44.646%,36.724%,28.282%,4.830%,25.682%,5.028%,-31.398%,-35.604%,-23.398%,-6.519%,-153.539%,-,-,-,-,26.130%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,6.570%,8.013%,-15.619%,-40.409%,-13.743%,-25.097%,-41.314%,-58.220%,-23.006%,-52.985%,-100.068%,-125.487%,-91.682%,-59.213%,-269.568%,-1304.905%,-702.458%,-1341.344%,-752.851%,-0.274%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-11.985%,-11.592%,-38.140%,-66.092%,-41.674%,-91.314%,-77.544%,-89.938%,-56.075%,-89.817%,-148.621%,-37.701%,-143.438%,-86.467%,-337.289%,-1506.300%,-755.736%,-1344.723%,-779.577%,-6.600%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,6.992%,-1.393%,-58.127%,-10.141%,-24.076%,-23.373%,-69.313%,-30.643%,-43.018%,-42.729%,-156.653%,-71.180%,-57.669%,-52.491%,-320.636%,-1062.898%,-629.744%,-1083.664%,-485.113%,-26.502%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"8,003,000","9,081,000","-14,182,000","-36,107,000","-11,501,000","-20,296,000","-28,010,000","-45,099,000","-17,056,000","-34,387,000","-49,640,000","-59,006,000","-37,355,000","-29,383,000","-51,199,000","-52,225,000","-42,697,000","-38,327,000","-36,092,000","76,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,6.835%,8.306%,-15.289%,-38.658%,-13.259%,-24.604%,-40.725%,-56.696%,-22.493%,-52.474%,-99.433%,-125.124%,-91.123%,-58.814%,-268.634%,-,-,-,-,0.191%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"311,000","320,000","306,000","1,635,000","420,000","407,000","405,000","1,212,000","389,000","335,000","317,000","171,000","229,000","199,000","178,000","180,000","167,000","183,000","218,000","185,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"7,692,000","8,761,000","-14,488,000","-37,742,000","-11,921,000","-20,703,000","-28,415,000","-46,311,000","-17,445,000","-34,722,000","-49,957,000","-59,177,000","-37,584,000","-29,582,000","-51,377,000","-52,405,000","-42,864,000","-38,510,000","-36,310,000","-109,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,6.570%,8.013%,-15.619%,-40.408%,-13.743%,-25.097%,-41.314%,-58.220%,-23.006%,-52.985%,-100.068%,-125.487%,-91.682%,-59.212%,-269.568%,-,-,-,-,-0.274%,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,-,-,-,-,-,-,-,-,"47,158,000","40,994,000","49,959,000","19,059,000","4,016,000","6,102,000","2,871,000","4,823,000","39,725,000",Upgrade,Financials in USD,Fiscal year is January - December
Advertising Expenses,-,-,-,-,-,-,-,-,-,"4,095,000","3,984,000",-,"1,492,000","1,800,000","1,404,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
