Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021",,
Revenue,"684,000","204,000","191,000","10,358,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),258.115%,6.806%,-98.156%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"71,642,000","45,752,000","29,029,000","18,319,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-70,958,000","-45,548,000","-28,838,000","-7,961,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","25,014,000","9,901,000","6,408,000","4,645,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"25,014,000","9,901,000","6,408,000","4,645,000",Financials in USD,Fiscal year is January - December
Operating Income,"-95,972,000","-55,449,000","-35,246,000","-12,606,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,"-1,000","-451,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"23,183,000","6,904,000","1,600,000",-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"93,000","38,000","-1,796,000","-182,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-72,696,000","-48,507,000","-35,443,000","-13,239,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,"-100,000","-100,000",-,"400,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-72,796,000","-48,607,000","-35,443,000","-12,839,000",Financials in USD,Fiscal year is January - December
Net Income,"-72,796,000","-48,607,000","-35,443,000","-12,839,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"5,935,000","19,191,000","8,345,000","5,544,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-78,731,000","-67,798,000","-43,788,000","-18,383,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"46,524,180","4,330,933","3,740,892","3,650,550",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"46,524,180","4,330,933","3,740,892","3,650,550",Financials in USD,Fiscal year is January - December
Shares Change (YoY),1143.665%,15.773%,2.475%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.692,-15.654,-11.705,-5.036,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.692,-15.654,-11.705,-5.036,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-72,721,000","-45,679,000","-29,818,000","-13,751,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.563,-10.547,-7.971,-3.767,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-76.858%,Financials in USD,Fiscal year is January - December
Operating Margin,-14030.994%,-27180.882%,-18453.403%,-121.703%,Financials in USD,Fiscal year is January - December
Profit Margin,-11510.380%,-33234.314%,-22925.654%,-177.476%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-10631.725%,-22391.667%,-15611.518%,-132.757%,Financials in USD,Fiscal year is January - December
EBITDA,"-95,936,000","-55,432,000","-35,231,000","-12,596,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-121.606%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"36,000","17,000","15,000","10,000",Financials in USD,Fiscal year is January - December
EBIT,"-95,972,000","-55,449,000","-35,246,000","-12,606,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-121.703%,Financials in USD,Fiscal year is January - December
