Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021",,
Revenue,"2,068,000","500,000",-,-,-,"10,000","20,000",-,"189,000","464,000","663,000","754,000","528,000","2,112,000","2,112,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,4900.000%,-,-,-,-97.845%,-96.983%,-,-64.205%,-78.030%,-68.608%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"4,435,000","6,796,000","5,134,000","3,404,000","2,902,000","7,208,000","6,452,000","3,654,000","3,793,000","4,350,000","5,423,000","3,914,000","5,122,000","5,618,500","5,618,500",Financials in USD,Fiscal year is January - December
Gross Profit,"-2,367,000","-6,296,000","-5,134,000","-3,404,000","-2,902,000","-7,198,000","-6,432,000","-3,654,000","-3,604,000","-3,886,000","-4,760,000","-3,160,000","-4,594,000","-3,506,500","-3,506,500",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","19,381,000","9,044,000","8,058,000","6,822,000","15,076,000","13,405,000","12,281,000","10,733,000","3,026,000","2,458,000","2,339,000","1,801,000","1,022,000","932,000","932,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"19,381,000","9,044,000","8,058,000","6,822,000","15,076,000","13,405,000","12,281,000","10,733,000","3,026,000","2,458,000","2,339,000","1,801,000","1,022,000","932,000","932,000",Financials in USD,Fiscal year is January - December
Operating Income,"-21,748,000","-15,340,000","-13,192,000","-10,226,000","-17,978,000","-20,603,000","-18,713,000","-14,387,000","-6,630,000","-6,344,000","-7,099,000","-4,961,000","-5,616,000","-4,438,500","-4,438,500",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,"-800,000",-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"2,620,000","2,824,000","2,900,000","1,301,000","3,112,000","3,233,000","3,752,000","1,299,000","47,000","-76,000","-151,000","621,000","-194,000","-208,000","-208,000",Financials in USD,Fiscal year is January - December
