Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022",,
"Selling, General & Admin","369,000","159,000","122,000","1,082,000","254,000","176,000","120,000","132,000","124,000","114,000","114,000",Financials in USD,Fiscal year is January - December
Research & Development,"14,000","63,000","165,000","7,000","33,000","36,000","6,000","48,000",-,"6,000","33,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"383,000","222,000","287,000","1,089,000","287,000","212,000","126,000","180,000","124,000","120,000","147,000",Financials in USD,Fiscal year is January - December
Operating Income,"-383,000","-222,000","-287,000","-1,089,000","-287,000","-212,000","-126,000","-180,000","-124,000","-120,000","-147,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-664,000","-31,000","-36,000","-29,000","-25,000","-24,000","-20,000",-,"-110,000","-265,000","-88,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,-,-,"4,000",-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,"-20,000",-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-1,047,000","-253,000","-323,000","-1,118,000","-312,000","-236,000","-146,000","-196,000","-234,000","-385,000","-235,000",Financials in USD,Fiscal year is January - December
Net Income,"-1,047,000","-253,000","-323,000","-1,118,000","-312,000","-236,000","-146,000","-196,000","-234,000","-385,000","-235,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-1,047,000","-253,000","-323,000","-1,118,000","-312,000","-236,000","-146,000","-196,000","-234,000","-385,000","-235,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"10,910,227","10,562,640","10,562,640","10,526,989","10,334,357","10,334,357","10,334,357","10,335,419","10,251,696","10,179,575","10,179,575",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"10,910,227","10,562,640","10,562,640","10,526,989","10,334,357","10,334,357","10,334,357","10,335,419","10,251,696","10,179,575","10,179,575",Financials in USD,Fiscal year is January - December
Shares Change (YoY),5.572%,2.209%,2.209%,1.854%,0.806%,1.521%,1.521%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.096,-0.024,-0.031,-0.106,-0.030,-0.023,-0.014,-0.019,-0.023,-0.038,-0.023,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.096,-0.024,-0.031,-0.106,-0.030,-0.023,-0.014,-0.019,-0.023,-0.038,-0.023,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-2,020,000","-168,000","36,000","66,000","91,000","-68,000","-8,000","-69,000","-52,000","-84,000","-148,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.185,-0.016,0.003,0.006,0.009,-0.007,-0.001,-0.007,-0.005,-0.008,-0.015,Financials in USD,Fiscal year is January - December
EBITDA,"-343,000","-182,000","-247,000","-1,049,000","-247,000","-172,000","-86,000","-140,000","-84,000","-80,000","-107,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000",Financials in USD,Fiscal year is January - December
EBIT,"-383,000","-222,000","-287,000","-1,089,000","-287,000","-212,000","-126,000","-180,000","-124,000","-120,000","-147,000",Financials in USD,Fiscal year is January - December
