Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021",,
"Selling, General & Admin","7,376,495","6,916,054","6,806,440","6,931,099","5,391,607","4,482,041","5,516,469","5,327,311","5,746,064","6,251,636","5,687,452","12,894,292","5,597,688","2,814,781",Financials in USD,Fiscal year is January - December
Research & Development,"35,735,514","23,662,147","13,014,049","8,097,793","7,585,136","8,703,849","7,415,097","11,369,112","9,024,437","11,400,541","10,254,863","7,098,451","669,528","29,867,218",Financials in USD,Fiscal year is January - December
Operating Expenses,"43,112,009","30,578,201","19,820,489","15,028,892","12,976,743","13,185,890","12,931,566","16,696,423","14,770,501","17,652,177","15,942,315","19,992,743","6,267,216","32,681,999",Financials in USD,Fiscal year is January - December
Operating Income,"-43,112,009","-30,578,201","-19,820,489","-15,028,892","-12,976,743","-13,185,890","-12,931,566","-16,696,423","-14,770,501","-17,652,177","-15,942,315","-19,992,743","-6,267,216","-32,681,999",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"26,746","-39,293","59,541","-124,998","557,144","108,844","171,809","-19,597","4,361",-,-,"-47,049","-19,853",-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"7,062,945","5,937,441","5,855,679","7,310,808","829,169","733,808","551,780","259,102","33,232","245,130","69,505","-1,330",-987,"-3,780",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-36,022,318","-24,680,053","-13,905,269","-7,843,082","-11,590,430","-12,343,238","-12,207,977","-16,456,918","-14,732,908","-17,407,047","-15,872,810","-20,041,122","-6,288,056","-32,685,779",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,"-5,000,000",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-36,022,318","-24,680,053","-13,905,269","-7,843,082","-11,590,430","-12,343,238","-12,207,977","-16,456,918","-14,732,908","-17,407,047","-15,872,810","-25,041,122","-6,288,056","-32,685,779",Financials in USD,Fiscal year is January - December
