Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
"Selling, General & Admin","1,219,592","1,207,107","1,968,549","3,003,623","1,851,814","1,278,183",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"4,050,406","3,319,867","1,589,239","1,136,790","699,797","807,947",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"5,269,998","4,526,974","3,557,788","4,140,413","2,551,611","2,086,130",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-5,269,998","-4,526,974","-3,557,788","-4,140,413","-2,551,611","-2,086,130",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-12,852","-107,682","-137,456","-496,912","-246,178","-15,886",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"88,096","264,476","185,790","33,207",502,"2,813",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,"83,670","248,552","343,857",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-5,194,754","-4,370,180","-3,509,454","-4,520,448","-2,548,735","-1,755,346",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-432,031","-630,317","-46,051","-2,486",-,"4,435",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-5,647,785","-5,000,497","-3,555,505","-4,522,934","-2,548,735","-1,750,911",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-5,647,785","-5,000,497","-3,555,505","-4,522,934","-2,548,735","-1,750,911",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-5,647,785","-5,000,497","-3,555,505","-4,522,934","-2,548,735","-1,750,911",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"4,450,614","4,344,580","4,317,875","3,685,206","2,584,768","2,565,355",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"4,450,614","4,344,580","4,317,875","3,685,206","2,584,768","2,565,355",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),2.869%,0.618%,17.168%,42.574%,0.757%,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.269,-1.151,-0.823,-1.227,-0.986,-0.683,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.269,-1.151,-0.823,-1.227,-0.986,-0.683,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-4,635,129","-3,853,551","-1,995,619","-2,798,614","-1,348,779","-487,990",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.041,-0.887,-0.462,-0.759,-0.522,-0.190,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-5,205,665","-4,498,756","-3,557,758","-4,140,127","-2,551,325","-2,085,791",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"64,333","28,218",30,286,286,339,Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-5,269,998","-4,526,974","-3,557,788","-4,140,413","-2,551,611","-2,086,130",Upgrade,Financials in USD,Fiscal year is January - December
