Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"10,044,291","6,994,838","370,176","2,112,806","2,947,969","3,049,104",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),351.080%,1789.598%,-82.479%,-28.330%,-3.317%,-47.373%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"19,136,295","22,856,789","20,304,790","16,455,278","12,938,895","13,013,604",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-9,092,004","-15,861,951","-19,934,614","-14,342,472","-9,990,926","-9,964,500",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","22,218,206","26,170,221","20,130,546","16,828,229","14,934,436","9,431,015",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"22,218,206","26,170,221","20,130,546","16,828,229","14,934,436","9,431,015",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-31,310,210","-42,032,172","-40,065,160","-31,170,701","-24,925,362","-19,395,515",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-974,629","-776,838","-182,509",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"66,212","457,189","987,247","815,316","566,718","431,824",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"814,100","-104,822","-471,669","-100,520","-823,745","-25,557",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-31,404,527","-42,456,643","-39,732,091","-30,455,905","-25,182,389","-18,989,248",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,"-1,452,338",-,"-737,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"24,606","123,044","-1,701,428","-842,538",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"385,750",-,"3,342,515","-430,000","-1,199,000","-613,290",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-30,994,171","-42,333,599","-41,591,004","-35,546,781","-26,381,389","-20,339,538",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,"-571,120","-215,937","-145,974",-,"45,178",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-30,994,171","-41,762,479","-41,375,067","-35,400,807","-26,381,389","-20,384,716",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,"842,702","-5,070,707","-2,487,130",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Company,"-30,151,469","-46,833,186","-43,862,197","-35,400,807","-26,381,389","-20,384,716",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"1,336,892","1,616,018","427,491","329,339","331,652","367,148",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-28,814,577","-45,217,168","-43,434,706","-35,071,468","-26,049,737","-20,017,568",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-28,814,577","-45,217,168","-43,434,706","-35,071,468","-26,049,737","-20,017,568",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"1,926,724","130,233","128,032","124,570","79,913","23,773",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,926,724","130,233","128,032","124,570","79,913","23,773",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),1386.635%,1.719%,2.779%,55.882%,236.150%,90.336%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-14.955,-347.202,-339.249,-281.540,-325.976,-842.030,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-14.955,-347.202,-339.249,-282.000,-325.976,-842.030,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-22,624,011","-33,518,152","-25,818,362","-40,033,619","-22,359,331","-13,102,838",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-11.742,-257.371,-201.656,-321.374,-279.796,-551.165,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-90.519%,-226.767%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-311.721%,-600.903%,-10823.273%,-1475.322%,-845.510%,-636.105%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-286.875%,-646.436%,-11733.528%,-1659.947%,-883.650%,-656.507%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-225.242%,-479.184%,-6974.618%,-1894.808%,-758.466%,-429.727%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-24,133,295","-34,466,666","-36,919,520","-30,563,034","-24,592,210","-19,163,009",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-240.269%,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"7,176,915","7,565,506","3,145,640","607,667","333,152","232,506",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-31,310,210","-42,032,172","-40,065,160","-31,170,701","-24,925,362","-19,395,515",Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,"2,112,806",-,-,Upgrade,Financials in USD,Fiscal year is January - December
