Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters,,
Operating Revenue,"63,868","60,798","56,299","52,107","45,635","45,048","-129,227","197,840","-129,502","273,115",Upgrade,Financials in USD,Fiscal year is July - June
Other Revenue,"-4,243","141,436","131,908","144,961",-,"108,322","-31,287","58,237","41,629",-,Upgrade,Financials in USD,Fiscal year is July - June
Revenue,"59,625","202,234","188,207","197,068","45,635","153,370","-160,514","256,077","-87,873","273,115",Upgrade,Financials in USD,Fiscal year is July - June
Revenue Growth (YoY),-68.319%,2.621%,312.418%,28.492%,-,-40.108%,-,-6.238%,-,197.139%,Upgrade,Financials in USD,Fiscal year is July - June
Cost of Revenue,"-148,687","148,687","-81,621","81,621","123,654","36,847","355,736","73,165","216,147","203,982",Upgrade,Financials in USD,Fiscal year is July - June
Gross Profit,"208,312","53,547","269,828","115,447","-78,019","116,523","-516,250","182,912","-304,021","69,133",Upgrade,Financials in USD,Fiscal year is July - June
"Selling, General & Admin","6,542,044","9,049,600","4,094,339","17,355,401","12,550,447","5,199,088","9,551,847","3,847,580","2,915,847","2,426,708",Upgrade,Financials in USD,Fiscal year is July - June
Research & Development,"91,438,158","84,593,094","67,187,761","61,433,565","46,834,568","31,819,649","12,112,911","13,778,940","6,305,488","8,340,640",Upgrade,Financials in USD,Fiscal year is July - June
Other Operating Expenses,"334,080","147,616","203,574","136,429","172,884",-,"18,766",-,"134,845",-,Upgrade,Financials in USD,Fiscal year is July - June
Operating Expenses,"98,314,282","93,790,310","71,485,674","78,925,395","57,114,678","39,461,958","20,088,280","19,221,764","8,748,361","11,647,713",Upgrade,Financials in USD,Fiscal year is July - June
Operating Income,"-98,105,970","-93,736,763","-71,215,846","-78,809,948","-57,192,697","-39,345,435","-20,604,530","-19,038,852","-9,052,381","-11,578,580",Upgrade,Financials in USD,Fiscal year is July - June
