Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+15 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+15 Quarters,,
Revenue,-,"8,000",-,"3,000","6,000",-,-,"18,600","55,000",-,"15,000","67,754","10,000","10,000",-,"17,500","77,000","27,900","42,100","-4,400",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-83.871%,-89.091%,-,-,-72.548%,450.000%,-,-,287.166%,-87.013%,-64.158%,-,-,33.913%,-54.708%,-17.126%,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,"3,200",-,"1,200","2,400",-,-,"5,700","16,000",-,"6,791","39,449","4,000","4,500",-,"8,000","17,600","10,800","14,196","4,060",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,"4,800",-,"1,800","3,600",-,-,"12,900","39,000",-,"8,209","28,305","6,000","5,500",-,"9,500","59,400","17,100","27,904","-8,460",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","498,607","676,086","671,484","1,398,710","531,042","859,537","771,020","899,597","805,461","1,108,428","1,130,057","1,428,011","757,235","498,321","280,923","315,793","285,100","214,886","346,168","311,037",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"581,796","924,749","422,392","349,408","992,722","309,480","319,029","5,368,219","230,940","659,695","10,000","50,000","59,180",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"1,109,674","1,630,106","1,123,147","1,773,639","1,546,785","1,192,038","1,113,070","6,290,837","1,059,422","1,791,144","1,163,078","1,501,032","839,436","521,342","303,944","332,564","301,871","231,364","362,940","322,129",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-1,109,674","-1,625,306","-1,123,147","-1,771,839","-1,543,185","-1,192,038","-1,113,070","-6,277,937","-1,020,422","-1,791,144","-1,154,869","-1,472,727","-833,436","-515,842","-303,944","-323,064","-242,471","-214,264","-335,036","-330,589",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-50,-,-,-,-,"-2,402,746","-1,305,273","-234,338","-336,076","-319,354","-289,210","-297,803","-323,223","-407,544",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"69,539","67,578","81,603","93,265","89,233","89,913","61,197","62,245","38,083",-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,-,-,"-194,044","-2,251,446","28,476,039","-37,977,580","926,532","-1,330,496","4,400,739","-4,434,170",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-1,040,135","-1,557,728","-1,041,544","-1,678,574","-1,453,952","-1,102,125","-1,051,923","-6,215,692","-982,339","-1,791,144","-1,154,869","-3,875,473","-2,332,753","-3,001,626","27,836,019","-38,619,998","394,851","-1,842,563","3,742,480","-5,172,303",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,"489,157","96,444",-,-,-,-,-,"-19,647",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-1,040,135","-1,557,728","-1,041,544","-1,678,574","-1,453,952","-1,102,125","-1,051,923","-6,215,692","-982,339","-1,791,144","-1,154,869","-3,875,473","-1,843,596","-2,905,182","27,836,019","-38,619,998","394,851","-1,842,563","3,742,480","-5,191,950",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-1,040,135","-1,557,728","-1,041,544","-1,678,574","-1,453,952","-1,102,125","-1,051,923","-6,215,692","-982,339","-1,791,144","-1,154,869","-3,875,473","-1,843,596","-2,905,182","27,836,019","-38,619,998","394,851","-1,842,563","3,742,480","-5,191,950",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-1,040,135","-1,557,728","-1,041,544","-1,678,574","-1,453,952","-1,102,125","-1,051,923","-6,215,692","-982,339","-1,791,144","-1,154,869","-3,875,473","-1,843,596","-2,905,182","27,836,019","-38,619,998","394,851","-1,842,563","3,742,480","-5,191,950",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,643.785%,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"1,392,284","1,405,208","1,421,439","1,381,571","1,431,426","1,409,948","1,407,624","1,411,081","1,406,841","901,125","645,402","348,121","245,208","232,008","227,712","120,958","68,498","33,833",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,392,284","1,405,208","1,421,439","1,381,571","1,431,426","1,409,948","1,407,624","1,411,081","1,406,841","901,125","645,402","348,121","245,208","232,008","248,906","120,958","272,572","33,833",-,-,Upgrade,Financials in USD,Fiscal year is January - December
