Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,"89,046,000","56,206,000","37,944,000","34,755,000","55,430,000","80,568,000","80,702,000","98,285,000","66,398,000","144,618,000","168,405,000","148,494,000","77,610,000","43,636,000","44,097,000","32,058,000","13,302,000","10,163,000","21,134,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),60.646%,-30.238%,-52.983%,-64.639%,-16.519%,-44.289%,-52.079%,-33.812%,-14.447%,231.419%,281.897%,363.204%,483.446%,329.361%,108.654%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"12,003,000","13,721,000","9,202,000","6,611,000","6,923,000","18,096,000","22,375,000","30,218,000","24,655,000","63,911,000","85,432,000","66,578,000","22,302,000","17,110,000","23,700,000","13,842,000","1,769,000",-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"77,043,000","42,485,000","28,742,000","28,144,000","48,507,000","62,472,000","58,327,000","68,067,000","41,743,000","80,707,000","82,973,000","81,916,000","55,308,000","26,526,000","20,397,000","18,216,000","11,533,000","10,163,000","21,134,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","52,292,000","61,773,000","70,287,000","77,978,000","82,028,000","90,129,000","111,433,000","96,445,000","435,221,000","438,427,000","434,768,000","781,626,000","28,359,000","34,440,000","17,927,000","12,913,000","9,876,000","8,949,000","6,568,000",Financials in USD,Fiscal year is January - December
Research & Development,"77,006,000","134,221,000","136,457,000","129,338,000","156,662,000","144,282,000","162,639,000","177,548,000","261,460,000","290,059,000","323,576,000","985,025,000","53,021,000","52,031,000","59,585,000","61,191,000","36,070,000","32,270,000","30,236,000",Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,"766,000",-,-,-,"-3,224,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"129,298,000","196,760,000","206,744,000","207,316,000","238,690,000","231,187,000","274,072,000","273,993,000","696,681,000","728,486,000","758,344,000","1,766,651,000","81,380,000","86,471,000","77,512,000","74,104,000","45,946,000","41,219,000","36,804,000",Financials in USD,Fiscal year is January - December
Operating Income,"-52,255,000","-154,275,000","-178,002,000","-179,172,000","-190,183,000","-168,715,000","-215,745,000","-205,926,000","-654,938,000","-647,779,000","-675,371,000","-1,684,735,000","-26,072,000","-59,945,000","-57,115,000","-55,888,000","-34,413,000","-31,056,000","-15,670,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-93,000",-,-,-,"-106,000",-,-,-,"-892,000","-528,000","-478,000","-475,000","-3,573,000","-592,000","-597,000","-606,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"9,251,000","10,313,000","11,711,000","13,303,000","15,020,000","14,349,000","14,545,000","11,441,000","6,380,000","2,264,000","177,000","837,000",-,-,-,-,"3,318,000","428,000","1,819,000",Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,-,-,-,"-1,119,000",-,"-67,000","-1,449,000","10,003,000","-22,711,000","-10,166,000","-20,887,000","-4,663,000","-39,651,000","-4,346,000","-28,624,000","1,755,000","-237,000","1,686,000","-7,087,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"3,100,000","3,233,000","2,955,000","6,648,000","4,784,000","-4,482,000","4,132,000","35,032,000","-13,121,000","23,739,000","86,954,000","74,501,000","-23,393,000","7,119,000","-1,345,000","14,570,000","5,894,000","25,000","136,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-39,904,000","-140,729,000","-163,336,000","-160,433,000","-170,379,000","-158,915,000","-198,517,000","-149,556,000","-684,390,000","-631,942,000","-609,127,000","-1,614,952,000","-89,644,000","-57,650,000","-87,559,000","-43,136,000","-26,030,000","-29,514,000","-21,408,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-2,949,000","-21,578,000",-,"96,210,000","-96,210,000","-12,212,000",-,"-26,200,000",-,-,-,-,"-600,000",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,"-47,858,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-6,912,000","-6,826,000","-2,544,000","-10,012,000","-36,324,000","-2,121,000","-6,370,000","-13,354,000","-1,758,000","-38,673,000","450,000","-14,552,000","-12,368,000","2,755,000","12,622,000","1,245,000","-90,000","790,000","-2,191,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"-7,013,000",-,-,"-42,502,000",-,-,-,-,"15,989,000",-,"15,900,000",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,"-96,204,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"1,049,000",-,-,-,"1,262,000",-,-,-,"23,826,000",-,-,-,"-4,500,000",-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-56,778,000","-216,991,000","-165,880,000","-211,892,000","-302,913,000","-173,248,000","-204,887,000","-187,848,000","-670,159,000","-670,615,000","-592,777,000","-1,605,678,000","-102,612,000","-54,895,000","-74,937,000","-46,391,000","-26,120,000","-28,724,000","-23,599,000",Financials in USD,Fiscal year is January - December
