Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters,,
Operating Revenue,"168,637,000","305,125,000","359,183,000","224,362,000","202,047,000","198,766,000","157,362,000","121,211,000","106,765,000","102,693,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Revenue,"137,044,000",-,"173,691,000",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"305,681,000","305,125,000","532,874,000","224,362,000","202,047,000","198,766,000","157,362,000","121,211,000","106,765,000","102,693,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-42.635%,35.997%,163.738%,12.877%,28.396%,63.983%,47.391%,18.032%,4.470%,-8.244%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"180,135,000","333,491,000","208,324,000","378,937,000","319,059,000","311,021,000","246,299,000","205,749,000","157,546,000","150,465,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"125,546,000","-28,366,000","324,550,000","-154,575,000","-117,012,000","-112,255,000","-88,937,000","-84,538,000","-50,781,000","-47,772,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","57,811,000","64,913,000","68,263,000","56,364,000","79,742,000","72,328,000","54,797,000","33,965,000","27,384,000","26,603,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"95,256,000",-,"144,633,000",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"153,067,000","64,913,000","212,896,000","56,364,000","79,742,000","72,328,000","54,797,000","33,965,000","27,384,000","26,603,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-27,521,000","-93,279,000","111,654,000","-210,939,000","-196,754,000","-184,583,000","-143,734,000","-118,503,000","-78,165,000","-74,375,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,"-535,000",-,"-248,000","-404,000","-350,000","-242,000","-276,000","-511,000","-342,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,"36,145,000",-,"9,599,000",-,"2,076,000",-,"3,236,000",-,"4,944,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,"33,807,000","12,185,000","35,110,000","16,204,000","33,549,000","17,651,000","42,966,000","48,680,000","30,366,000","13,392,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,"8,661,000",-,"-5,704,000",-,"1,671,000",-,"3,265,000",-,"246,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"22,765,000","-24,006,000","25,434,000","-2,494,000","-3,478,000","-15,417,000","3,529,000","-876,000","2,096,000","-3,277,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"29,051,000","-60,829,000","172,198,000","-193,582,000","-167,087,000","-178,952,000","-97,481,000","-64,474,000","-46,214,000","-59,412,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,-,"121,310,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,"-5,766,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"29,051,000","-66,595,000","172,198,000","-193,582,000","-167,087,000","-57,642,000","-97,481,000","-64,474,000","-46,214,000","-59,412,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"2,886,000","1,779,000","2,730,000","3,932,000","-4,215,000","10,059,000","1,859,000","2,797,000","2,032,000","812,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"26,165,000","-68,374,000","169,468,000","-197,514,000","-162,872,000","-67,701,000","-99,340,000","-67,271,000","-48,246,000","-60,224,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Company,"26,165,000","-68,374,000","169,468,000","-197,514,000","-162,872,000","-67,701,000","-99,340,000","-67,271,000","-48,246,000","-60,224,000",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"-364,000","603,000","-917,000","-460,000","11,000","-24,550,000","-3,057,000","-8,765,000","-1,448,000","-431,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"25,801,000","-67,771,000","168,551,000","-197,974,000","-162,861,000","-92,251,000","-102,397,000","-76,036,000","-49,694,000","-60,655,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"25,801,000","-67,771,000","168,551,000","-197,974,000","-162,861,000","-92,251,000","-102,397,000","-76,036,000","-49,694,000","-60,655,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,-84.692%,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"856,030,704","852,379,729","846,928,863","845,003,527","849,283,553","856,129,867","729,239,181","710,577,033","685,285,841","665,812,653",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"872,534,466","871,402,086","866,990,610","845,003,527","849,283,553","856,129,867","729,239,181","710,577,033","685,285,841","665,812,653",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.639%,3.124%,2.085%,-1.300%,16.462%,20.484%,6.414%,6.723%,2.965%,0.177%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),0.030,-0.080,0.199,-0.234,-0.192,-0.108,-0.140,-0.107,-0.073,-0.091,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),0.030,-0.080,0.190,-0.240,-0.192,-0.108,-0.140,-0.107,-0.073,-0.091,Upgrade,Financials in USD,Fiscal year is January - December
EPS Growth,-84.211%,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-49,940,000","-15,398,000","202,044,000","-199,650,000","-105,613,000","-140,391,000","-80,233,000","-37,581,000","-32,434,000","-55,584,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.057,-0.018,0.233,-0.236,-0.124,-0.164,-0.110,-0.053,-0.047,-0.083,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-9.003%,-30.571%,20.953%,-94.017%,-97.380%,-92.864%,-91.340%,-97.766%,-73.212%,-72.425%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,8.440%,-22.211%,31.631%,-88.239%,-80.606%,-46.412%,-65.071%,-62.730%,-46.545%,-59.064%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-16.337%,-5.046%,37.916%,-88.986%,-52.272%,-70.631%,-50.986%,-31.005%,-30.379%,-54.126%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-21,269,000","-88,884,000","115,466,000","-206,651,000","-192,378,000","-180,915,000","-140,212,000","-115,365,000","-75,242,000","-71,838,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"6,252,000","4,395,000","3,812,000","4,288,000","4,376,000","3,668,000","3,522,000","3,138,000","2,923,000","2,537,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-27,521,000","-93,279,000","111,654,000","-210,939,000","-196,754,000","-184,583,000","-143,734,000","-118,503,000","-78,165,000","-74,375,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"305,681,000","305,125,000","532,874,000","224,362,000","202,047,000","198,766,000","157,362,000","121,211,000","106,765,000","102,693,000",Upgrade,Financials in USD,Fiscal year is January - December
