Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"84,512,000","415,484,000","93,855,000","291,342,000","186,986,000","424,426,000","80,951,000","357,399,000","734,577,000","185,925,000","703,971,000","222,200,000","178,844,000","298,017,000","447,229,000","279,659,000","157,024,000","35,538,000","3,377,000","8,816,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-54.803%,-2.107%,15.941%,-18.483%,-74.545%,128.278%,-88.501%,60.846%,310.736%,-37.613%,57.407%,-20.546%,13.896%,738.587%,13143.382%,3072.176%,6163.422%,958.624%,-15.193%,43.888%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"147,383,000","152,388,000","150,288,000","319,673,000","205,158,000","272,052,000","281,187,000","439,615,000","738,890,000","560,725,000","398,687,000","962,957,000","408,195,000","570,685,000","592,671,000","401,199,000","294,087,000","34,846,000","16,895,000","29,340,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-62,871,000","263,096,000","-56,433,000","-28,331,000","-18,172,000","152,374,000","-200,236,000","-82,216,000","-4,313,000","-374,800,000","305,284,000","-740,757,000","-229,351,000","-272,668,000","-145,442,000","-121,540,000","-137,063,000","692,000","-13,518,000","-20,524,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","66,947,000","100,998,000","82,298,000","155,237,000","107,460,000","82,217,000","112,532,000","161,663,000","122,876,000","108,160,000","95,992,000","84,214,000","77,793,000","73,161,000","63,190,000","58,613,000","56,879,000","17,719,000","9,379,000","8,181,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"66,947,000","100,998,000","82,298,000","155,237,000","107,460,000","82,217,000","112,532,000","161,663,000","122,876,000","108,160,000","95,992,000","84,214,000","77,793,000","73,161,000","63,190,000","58,613,000","56,879,000","17,719,000","9,379,000","8,181,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-129,818,000","162,098,000","-138,731,000","-183,568,000","-125,632,000","70,157,000","-312,768,000","-243,879,000","-127,189,000","-482,960,000","209,292,000","-824,971,000","-307,144,000","-345,829,000","-208,632,000","-180,153,000","-193,942,000","-17,027,000","-22,897,000","-28,705,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-4,236,000","-4,143,000","-4,111,000","-4,117,000","-2,859,000","-3,124,000","-4,316,000","-4,601,000","-4,169,000","-6,234,000","-4,876,000","-5,138,000","-5,182,000","-5,968,000","-4,839,000","-3,879,000","-4,460,000","-3,403,000","-3,403,000","-3,403,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"142,000","140,000","297,000","436,000","276,000",Upgrade,Financials in USD,Fiscal year is January - December
