Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+3 Quarters,,
"Selling, General & Admin","1,462,930","1,519,724","1,481,215","1,304,127","1,313,727","1,632,080","1,733,321","1,574,680","1,442,961","1,405,998","1,406,160","1,348,983","1,184,486","1,314,201","1,173,258","1,547,675","1,100,719","676,399","340,172","497,700",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"3,716,646","3,888,737","4,250,786","3,573,257","2,209,894","3,558,217","2,552,947","2,251,598","702,296","2,988,823","2,660,237","1,162,260","2,964,391","1,164,892","1,279,037","1,348,329","600,769","157,023","137,104","177,467",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"5,179,576","5,408,461","5,732,001","4,877,384","3,523,621","5,190,297","4,286,268","3,826,278","2,145,257","4,394,821","4,066,397","2,511,243","4,148,877","2,479,093","2,452,295","2,896,004","1,701,488","833,422","477,276","675,167",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-5,179,576","-5,408,461","-5,732,001","-4,877,384","-3,523,621","-5,190,297","-4,286,268","-3,826,278","-2,145,257","-4,394,821","-4,066,397","-2,511,243","-4,148,877","-2,479,093","-2,452,295","-2,896,004","-1,701,488","-833,422","-477,276","-675,167",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,"-57,179",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"191,352","188,660","200,950","267,389","246,394","117,823","133,782","74,684","52,224","55,026","22,421",-,"77,219","47,889",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"482,527","260,295","86,291","424,074","115,777","326,076","242,571","370,489","-171,648","-152,591","-77,798","-81,852","17,679","114,723",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-4,505,697","-4,959,506","-5,444,760","-4,185,921","-3,161,450","-4,746,398","-3,909,915","-3,381,105","-2,264,681","-4,492,386","-4,121,774","-2,650,274","-4,053,979","-2,316,481","-2,452,295","-2,896,004","-1,701,488","-833,422","-477,276","-675,167",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,"3,950",-,-,-,"42,150",-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,"-890,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
