Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+7 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+7 Quarters,,
Revenue,-,"80,000,000",-,"871,000","759,000","880,000","295,000","685,000","1,183,000","1,882,000","2,592,000","5,058,000","4,935,000","4,381,000","4,789,000","4,225,000","1,848,000","2,000,000","750,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,8990.909%,-,27.153%,-35.841%,-53.241%,-88.619%,-86.457%,-76.028%,-57.042%,-45.876%,19.716%,167.045%,119.050%,538.533%,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"14,639,000","17,261,000","19,773,000","18,999,000","18,238,000","17,849,000","16,715,000","18,566,000","15,366,000","25,019,000","17,831,000","18,912,000","17,077,000","17,378,000","16,334,000","16,145,000","15,640,000","12,775,000","14,482,000","12,087,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-14,639,000","62,739,000","-19,773,000","-18,128,000","-17,479,000","-16,969,000","-16,420,000","-17,881,000","-14,183,000","-23,137,000","-15,239,000","-13,854,000","-12,142,000","-12,997,000","-11,545,000","-11,920,000","-13,792,000","-10,775,000","-13,732,000","-12,087,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","8,424,000","10,247,000","10,061,000","9,864,000","9,961,000","10,323,000","11,520,000","10,130,000","9,707,000","11,098,000","10,759,000","9,705,000","8,628,000","6,685,000","5,498,000","5,867,000","5,312,000","5,149,000","5,064,000","4,403,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"8,424,000","10,247,000","10,061,000","9,864,000","9,961,000","10,323,000","11,520,000","10,130,000","9,707,000","11,098,000","10,759,000","9,705,000","8,628,000","6,685,000","5,498,000","5,867,000","5,312,000","5,149,000","5,064,000","4,403,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-23,063,000","52,492,000","-29,834,000","-27,992,000","-27,440,000","-27,292,000","-27,940,000","-28,011,000","-23,890,000","-34,235,000","-25,998,000","-23,559,000","-20,770,000","-19,682,000","-17,043,000","-17,787,000","-19,104,000","-15,924,000","-18,796,000","-16,490,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"3,430,000","2,917,000","2,964,000","3,236,000","3,423,000","3,509,000","3,161,000","1,838,000","617,000","165,000","70,000","75,000","54,000","34,000","44,000","67,000","142,000","239,000","344,000","367,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-19,633,000","55,409,000","-26,870,000","-24,756,000","-24,017,000","-23,783,000","-24,779,000","-26,173,000","-23,273,000","-34,070,000","-25,928,000","-23,484,000","-20,716,000","-19,648,000","-16,999,000","-17,720,000","-18,962,000","-15,685,000","-18,452,000","-16,123,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-2,063,000",-,-,-,-,-,-,"38,000","-465,000",-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-21,696,000","55,409,000","-26,870,000","-24,756,000","-24,017,000","-23,783,000","-24,779,000","-26,135,000","-23,738,000","-34,070,000","-25,928,000","-23,484,000","-20,716,000","-19,648,000","-16,999,000","-17,720,000","-18,962,000","-15,685,000","-18,452,000","-16,123,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-21,696,000","55,409,000","-26,870,000","-24,756,000","-24,017,000","-23,783,000","-24,779,000","-26,135,000","-23,738,000","-34,070,000","-25,928,000","-23,484,000","-20,716,000","-19,648,000","-16,999,000","-17,720,000","-18,962,000","-15,685,000","-18,452,000","-16,123,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-21,696,000","55,409,000","-26,870,000","-24,756,000","-24,017,000","-23,783,000","-24,779,000","-26,135,000","-23,738,000","-34,070,000","-25,928,000","-23,484,000","-20,716,000","-19,648,000","-16,999,000","-17,720,000","-18,962,000","-15,685,000","-18,452,000","-16,123,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"62,409,000","62,205,000","61,984,000","61,871,000","61,823,000","61,794,000","59,722,000","52,077,000","46,213,000","40,890,000","40,644,000","40,579,000","36,606,000","32,636,000","31,510,000","27,537,000","27,261,000","23,854,000","22,719,000","22,610,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"62,409,000","63,587,000","61,984,000","61,871,000","61,823,000","61,794,000","59,722,000","52,077,000","46,213,000","40,890,000","40,644,000","40,579,000","36,606,000","32,636,000","31,510,000","27,537,000","27,261,000","23,854,000","22,719,000","22,610,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.948%,2.902%,3.788%,18.807%,33.778%,51.123%,46.939%,28.335%,26.244%,25.291%,28.988%,47.362%,34.280%,36.816%,38.694%,21.791%,53.281%,1234.863%,1283.618%,1419.489%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.348,0.891,-0.433,-0.400,-0.388,-0.385,-0.415,-0.502,-0.514,-0.833,-0.638,-0.579,-0.566,-0.602,-0.539,-0.643,-0.696,-0.658,-0.812,-0.713,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.350,0.870,-0.433,-0.400,-0.390,-0.385,-0.415,-0.502,-0.514,-0.833,-0.638,-0.579,-0.566,-0.602,-0.539,-0.643,-0.696,-0.658,-0.812,-0.713,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-19,091,000","58,899,000","-25,312,000","-23,235,000","-22,971,000","-20,980,000","-24,287,000","-19,812,000","-28,165,000","-28,684,000","-22,352,000","-22,377,000","-22,940,000","-18,386,000","-16,488,000","-20,298,000","-4,597,000","-14,331,000","-15,771,000","-4,603,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.306,0.926,-0.408,-0.376,-0.372,-0.340,-0.407,-0.380,-0.609,-0.701,-0.550,-0.551,-0.627,-0.563,-0.523,-0.737,-0.169,-0.601,-0.694,-0.204,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,78.424%,-,-,-,-,-,-,-,-,-,-273.903%,-246.038%,-296.667%,-241.073%,-282.130%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,65.615%,-,-3213.777%,-3615.283%,-3101.364%,-9471.186%,-4089.197%,-2019.442%,-1819.075%,-1003.009%,-465.777%,-420.871%,-449.258%,-355.878%,-420.994%,-1033.766%,-796.200%,-2506.133%,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,69.261%,-,-2842.250%,-3164.295%,-2702.614%,-8399.661%,-3815.328%,-2006.593%,-1810.308%,-1000.309%,-464.294%,-419.777%,-448.482%,-354.959%,-419.408%,-1026.082%,-784.250%,-2460.267%,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,73.624%,-,-2667.623%,-3026.482%,-2384.091%,-8232.881%,-2892.263%,-2380.811%,-1524.123%,-862.346%,-442.408%,-464.843%,-419.676%,-344.289%,-480.426%,-248.755%,-716.550%,-2102.800%,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-22,694,000","52,868,000","-29,355,000","-27,484,000","-26,909,000","-26,725,000","-27,374,000","-27,420,000","-23,279,000","-33,559,000","-25,462,000","-22,938,000","-20,151,000","-19,010,000","-16,440,000","-17,054,000","-18,550,000","-15,371,000","-18,257,000","-15,971,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,66.085%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"369,000","376,000","479,000","508,000","531,000","567,000","566,000","591,000","611,000","676,000","536,000","621,000","619,000","672,000","603,000","733,000","554,000","553,000","539,000","519,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-23,063,000","52,492,000","-29,834,000","-27,992,000","-27,440,000","-27,292,000","-27,940,000","-28,011,000","-23,890,000","-34,235,000","-25,998,000","-23,559,000","-20,770,000","-19,682,000","-17,043,000","-17,787,000","-19,104,000","-15,924,000","-18,796,000","-16,490,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,65.615%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
