Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+15 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+15 Quarters,,
"Selling, General & Admin","590,624","657,806","757,281","876,397","749,474","733,496","871,675","806,030","675,115","684,877","779,254","698,441","631,698","615,965","687,936","628,377","392,063","631,629","791,607","641,117",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"984,278","1,130,978","966,110","1,035,591","1,316,520","1,594,713","1,653,369","2,102,968","1,732,230","2,078,471","1,677,932","1,982,677","1,827,322","1,476,430","1,206,779","1,632,373","1,255,916","832,503","344,407","583,778",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"1,574,902","1,788,784","1,723,391","1,911,988","2,065,994","2,328,209","2,525,044","2,908,998","2,407,345","2,763,348","2,457,186","2,681,118","2,459,020","2,092,395","1,894,715","2,260,750","1,647,979","1,464,132","1,136,014","1,224,895",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-1,574,902","-1,788,784","-1,723,391","-1,911,988","-2,065,994","-2,328,209","-2,525,044","-2,908,998","-2,407,345","-2,763,348","-2,457,186","-2,681,118","-2,459,020","-2,092,395","-1,894,715","-2,260,750","-1,647,979","-1,464,132","-1,136,014","-1,224,895",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"99,344","73,475","82,165","98,073","112,260","128,218","90,488","12,660","7,698",417,464,525,577,"12,226","10,696","9,902","8,541","18,322","45,137","18,036",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"171,282",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-1,304,276","-1,715,309","-1,641,226","-1,813,915","-1,953,734","-2,199,991","-2,434,556","-2,896,338","-2,399,647","-2,762,931","-2,456,722","-2,680,593","-2,458,443","-2,080,169","-1,884,019","-2,250,848","-1,639,438","-1,445,810","-1,090,877","-1,206,859",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"122,400",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-1,304,276","-1,715,309","-1,641,226","-1,813,915","-1,953,734","-2,199,991","-2,434,556","-2,896,338","-2,399,647","-2,762,931","-2,456,722","-2,680,593","-2,458,443","-2,080,169","-1,884,019","-2,128,448","-1,639,438","-1,445,810","-1,090,877","-1,206,859",Upgrade,Financials in USD,Fiscal year is January - December
